Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0280441617121565,0.0115893446163244,0.0320991882892135,NaN,NaN,NaN,0.0726217870178824,0.0342724684090815,NaN,NaN,NaN,NaN,NaN,NaN,0.00573325828242061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262921946604516,NaN,NaN,NaN,0.0202903403205978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0194204415336338,NaN,0.0178975362690476,NaN,NaN,0.0418864624885083,NaN,NaN,0.0375686191646044,0.0188432206986512,0.0104205733069382,NaN,NaN,NaN,0.0151016340518964,NaN,0.0287036120837938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0243507375483867,0.0216428509037926
601,NaN,0.0120312609080643,0.0027651170364675,0.0279373157102706,NaN,NaN,NaN,0.0556333223262766,0.0243386782629641,NaN,NaN,NaN,NaN,NaN,NaN,0.0189036506273456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014314860558775,NaN,NaN,NaN,0.0268038697490172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0212471633850638,NaN,0.0279046223899874,NaN,NaN,0.0408925825404641,NaN,NaN,0.0528122180318022,0.0201796335436909,0.0285401950460731,NaN,NaN,NaN,0.0254425736367039,NaN,0.0165829056421272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0244896418205306,0.0105458213659164
901,NaN,0.0231604506623082,0.0152345652268098,0.0380562554829634,NaN,NaN,NaN,0.0249424255145398,0.0117901146280252,NaN,NaN,NaN,NaN,NaN,NaN,0.00954390134005886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191872809874375,NaN,NaN,NaN,0.0159080579592345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0167069848778527,NaN,0.0318864043766234,NaN,NaN,0.0127418688983593,NaN,NaN,0.0377293871815405,0.00784830049686867,0.0110352215848397,NaN,NaN,NaN,0.0184415716476275,NaN,0.0112641191853377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0138155990642232,0.0278587487255327
1201,NaN,0.0179100732811938,0.0132951009411246,0.0250037750040249,NaN,NaN,NaN,0.0296958009427641,0.0139794809135987,NaN,NaN,NaN,NaN,NaN,NaN,0.0165041276157106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0574072727522426,NaN,NaN,NaN,0.0374964804336614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015802492773337,NaN,0.0371613142841502,NaN,NaN,0.0306252012768538,NaN,NaN,0.0391178888054428,0.01852721850906,0.00743544929353802,NaN,NaN,NaN,0.0253272038865829,NaN,0.0149419964841706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0327676103804552,0.0143393109146275
1501,0,0.017073358128407,NaN,0.0305011479191261,NaN,NaN,NaN,0.0668068592036336,0.0170548107348147,NaN,NaN,NaN,NaN,NaN,NaN,0.02024049451381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00890703162208625,NaN,NaN,NaN,0.0213045733798862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0277000219484797,NaN,0.00633223739017814,NaN,NaN,0.0267466320217347,NaN,NaN,0.0344132641011555,0.0124791200559187,0.0192443971462066,NaN,NaN,NaN,0.036399856492796,NaN,0.00862504673433761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00264876194310958,0.0274621867124583
1801,0.0169834631302311,0.0296527867693247,NaN,0.0377361438647913,NaN,NaN,NaN,0.0544720741743114,0.0311539583239514,NaN,NaN,NaN,NaN,NaN,NaN,0.0323088399137587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.018935159888809,NaN,NaN,NaN,0.013630339832871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033775293334597,NaN,0.023963024674892,NaN,NaN,0.030346296686191,NaN,NaN,0.0182807785231379,0.00913683710221874,0.0185911916534109,NaN,NaN,NaN,0.0192837349538238,NaN,0.0214707695454329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019689842721887,0.0190734681968637
2101,0.0169733515386238,0.027866837790089,NaN,0.0144094043568098,NaN,NaN,NaN,0.0959492812571562,0.0713591803227985,NaN,NaN,NaN,NaN,NaN,NaN,0.0225746447664797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0211473503577624,NaN,NaN,NaN,0.0211416363714311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0283324997950694,NaN,0.0442028461066764,NaN,NaN,0.0413297232532214,NaN,NaN,0.0281507855797678,NaN,0.0154709790314781,NaN,NaN,NaN,0.0301928807942582,NaN,0.0320786399904491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0179132204242113,0.0171779602691487
2401,0.0274631927362683,0.0342665519849343,NaN,0.0226985253008756,NaN,NaN,NaN,0.032801655676107,0.0647051990620219,NaN,NaN,NaN,NaN,NaN,NaN,0.0124074252159373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010391377206049,NaN,NaN,NaN,0.0349250615361562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0436705588030193,NaN,0.0224293773146805,NaN,NaN,0.022735643023296,NaN,NaN,0.0205330488563737,NaN,0.0131645078550268,NaN,NaN,NaN,0.0226485022445773,NaN,0.0279262778311519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0160038260695835,0.0155062629300881
2701,0.0452852671763467,0.0223726993914832,NaN,0.0545452261779086,NaN,NaN,0.0634109343057555,0.0401531201080199,0.0337580048480256,NaN,NaN,NaN,NaN,NaN,NaN,0.0177015271405868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0224054853497909,NaN,NaN,NaN,0.0160221255953489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115444685934583,NaN,0.022014644311744,NaN,NaN,0.0255703753581906,NaN,NaN,0.053653936925112,NaN,0.0268410157518,NaN,NaN,NaN,0.0224203631920705,NaN,0.0184386308244611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0155824383616803,0.0237860203933451
