Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.053644943426772,0.0496896908085967,0.0763521350851922,NaN,NaN,NaN,0.0362550028100224,0.0363260780867605,NaN,NaN,NaN,NaN,NaN,NaN,0.0315744246537705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0241223721784311,NaN,NaN,NaN,0.0426228567161661,NaN,0.0315641096464825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0170260184552274,0.195191136613329,0.0775126109267451,NaN,NaN,NaN,0.0302379204214406,0.0177948290401805,NaN,NaN,NaN,NaN,NaN,NaN,0.0143260180612303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0143935412711876,NaN,NaN,NaN,0.0236878489961347,NaN,0.0200614401365147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,0.0208600027582197,0.0140439819683842,0.0394039440051216,NaN,NaN,NaN,0.0440538511881602,0.01757926064332,NaN,NaN,NaN,NaN,NaN,NaN,0.0267438732772483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0151306434905445,NaN,NaN,NaN,0.0468401495810266,NaN,0.00841367016776294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,NaN,0.032915359624361,0.0305068954392989,NaN,NaN,NaN,0.0385178785201182,0.0226041102800715,NaN,NaN,NaN,NaN,NaN,NaN,0.0318377123653599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111148196074144,NaN,NaN,NaN,0.0281521724622206,NaN,0.00981782511921593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,0.0130947986969735,NaN,0.0267504060518945,NaN,NaN,NaN,0.0425038774164249,0.0106018039194528,NaN,NaN,NaN,NaN,NaN,NaN,0.0268438009957283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0103341846258082,NaN,NaN,NaN,0.0208262769411198,NaN,0.0159714298521671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0550739927791055,0.0408975468194657,NaN,0.00831684422470355,NaN,NaN,0.0620695812731881,0.0276913301413496,0.021531271420853,NaN,NaN,NaN,NaN,NaN,NaN,0.126227132441193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00936277575310763,NaN,NaN,NaN,0.012451449737196,NaN,0.00935946278466189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0228329979550556,0.015446425175691,NaN,0.00622936197638801,NaN,NaN,0.0132105220607044,0.0343744954093643,0.0178367668266522,NaN,NaN,NaN,NaN,NaN,NaN,0.0272690409224916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0478831676221688,NaN,NaN,NaN,NaN,NaN,0.0200812190410632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.032918761113018,0.0407080355707582,NaN,0.0230665892125619,NaN,NaN,0.0364497746126594,0.0604121717566425,0.0227222442926698,NaN,NaN,NaN,NaN,NaN,NaN,0.0223919316960597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00616825462759387,NaN,NaN,NaN,NaN,NaN,0.0152300736028855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.024670021283126,0.0138858060076605,NaN,0.0233644275353739,NaN,NaN,0.0381940548641033,0.0114457733873261,0.0165795128392089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0164233176857132,NaN,NaN,NaN,NaN,NaN,0.0274738829614907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
