Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,NaN,NaN,0.0276353849306026,NaN,NaN,NaN,0.0154250993685257,0.0223850637820733,NaN,NaN,NaN,NaN,NaN,NaN,0.0494373045117562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0269744979259167,NaN,NaN,NaN,0.0195473909589017,NaN,0.0464122980297616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0274970010056552,NaN,NaN,NaN
601,NaN,NaN,NaN,0.0220075426314117,NaN,NaN,0.114808609098745,0.0224285338871367,0.0128902656140995,NaN,NaN,NaN,NaN,NaN,NaN,0.00695874327355435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0164186013464745,NaN,NaN,NaN,NaN,NaN,0.0315895088678348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0259343267079323,NaN,NaN,NaN
901,NaN,0.063754592547458,NaN,0.0376401307539999,NaN,NaN,0.0701715107394548,0.0193594265980111,0.0215220792479841,NaN,NaN,NaN,NaN,NaN,NaN,0.0108694529597233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100761411615463,NaN,NaN,NaN,NaN,NaN,0.0396622809600977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0332602461904857,NaN,NaN,NaN
1201,NaN,0.106454521425131,NaN,0.0376674544278976,NaN,NaN,0.0279782533939863,0.0248759149906129,0.0235459415919411,NaN,NaN,NaN,NaN,NaN,NaN,0.00477584060905023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131169979254086,NaN,NaN,NaN,NaN,NaN,0.0292159846032298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0178046921685058,NaN,NaN,NaN
1501,NaN,0.211555889736167,NaN,0.00633930853310557,NaN,NaN,0.052514952052707,0.0882783567178556,0.0175749511399816,NaN,NaN,NaN,NaN,NaN,NaN,0.0115565743043938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0216578777462126,NaN,NaN,NaN,NaN,NaN,0.0262943474793158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00634746566122473,NaN,NaN,NaN
1801,NaN,0.114745513397291,NaN,0.0230736414098266,NaN,NaN,0.0525693536196715,0.0280604353416219,0.0157729377262389,NaN,NaN,NaN,NaN,NaN,NaN,0.0157088018755162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00804702665405359,NaN,NaN,NaN,NaN,NaN,0.00933387474335927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0286472508869882,NaN,NaN,NaN
2101,NaN,0.0952603183325724,NaN,0.0164915582324237,NaN,NaN,0.0601820756418478,0.0531487776633074,0.0170688352106685,NaN,NaN,NaN,NaN,NaN,NaN,0.0162140028517906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0253342149300352,NaN,NaN,NaN,NaN,NaN,0.0362741097061737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0535868454366376,NaN,NaN,NaN
2401,NaN,0.0222265304004799,NaN,0.0116841003402485,NaN,NaN,0.0377202776391643,0.0611434659215501,0.00973285512032542,NaN,NaN,NaN,NaN,NaN,NaN,0.031223605097373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0349278222684098,NaN,NaN,NaN,NaN,NaN,0.0152739328132034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0265067657559406,NaN,NaN,NaN
2701,NaN,0.0772773137501026,NaN,0.0220199960740019,NaN,NaN,0.0214172442529081,0.054447687998966,0.0224057904144691,NaN,NaN,NaN,NaN,NaN,NaN,0.0410922623039252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012563085883666,NaN,NaN,NaN,NaN,NaN,0.0385757854903041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.032150377461365,NaN,NaN,NaN
