Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,NaN,NaN,0.0284927649928633,NaN,NaN,0.0566401865668199,0.0826361669118893,0.0524804418502157,NaN,NaN,NaN,NaN,NaN,NaN,0.0605749709458077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0663742936236523,NaN,NaN,NaN,0.120466965680881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0351195432095514,NaN,0.0535928802739291,NaN,NaN,NaN,NaN,NaN,0.0203104349319183,0.0386204253531519,0.0570688004022765,NaN,NaN,NaN,0.0382158614003414,NaN,0.107910505551261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0272014724130337,0.019498603454435
601,NaN,NaN,NaN,0.0553796004940122,NaN,NaN,0.0734376540197027,0.0524320739704502,0.0517909627252153,NaN,NaN,NaN,NaN,NaN,NaN,0.0361533684126774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0536632065384562,NaN,NaN,NaN,0.0674289786751213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0983792094400457,NaN,0.0305182728540298,NaN,NaN,0.0229434362958898,NaN,NaN,0.0260323933971343,NaN,0.061125228973813,NaN,NaN,NaN,0.0302386252980788,NaN,0.166609910363363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0320325609905271,0.0216501245203207
901,NaN,0.111582345208161,NaN,0.0430297864138587,NaN,NaN,0.0728020913443949,0.0367213198100866,0.031685641105293,NaN,NaN,NaN,NaN,NaN,NaN,0.0365670612156235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0445701740986969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0366910259367853,NaN,0.023424326144087,NaN,NaN,0.0279160076157369,NaN,NaN,0.0225294552888026,NaN,0.103266412901745,NaN,NaN,NaN,0.0566142959978939,NaN,0.0990036476888152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0475955287715768,0.0237303520841282
1201,NaN,0.0952197162020779,NaN,0.018588394652813,NaN,NaN,0.0360305047677728,0.0853290550539796,0.0725802856124078,NaN,NaN,NaN,NaN,NaN,NaN,0.0518531500566404,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0.122423110445429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.118313968224379,NaN,0.0589626982522479,NaN,NaN,0.0544874814991384,NaN,NaN,0.0146940860749571,NaN,0.0340051051355533,NaN,NaN,NaN,0.0152397481635817,NaN,0.0651527442275803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020879081062047,0.0465271220559257
1501,NaN,0.122286404585074,NaN,0.0355635504046556,NaN,NaN,0.033191056003119,0.108233123097707,0.0419494719772515,NaN,NaN,NaN,NaN,NaN,NaN,0.03882716476457,NaN,NaN,NaN,NaN,0.016264810563559,NaN,NaN,NaN,NaN,NaN,0.120418002851131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02325555079169,NaN,0.0426241276566587,NaN,NaN,0.0366699398764832,NaN,NaN,0.025624026878867,NaN,0.040817721980784,NaN,NaN,NaN,0.0216712631395518,NaN,0.382041520002693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0537428991215838,0.0527366633344153
1801,NaN,0.033268995821889,NaN,0.0528563965828346,NaN,NaN,0.0780735272898174,0.0312544464924185,0.0196617335013368,NaN,NaN,NaN,NaN,NaN,NaN,0.023098757592965,NaN,NaN,NaN,NaN,0.0547163638710337,NaN,NaN,NaN,NaN,NaN,0.104175698495392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0251360786660338,NaN,0.154528609116174,NaN,NaN,0.0741473783146583,NaN,NaN,0.0435807882465638,NaN,0.0387276303366705,NaN,NaN,NaN,0.0310010910404886,NaN,0.0607718614190298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0142857383452691,0.0365109676037483
2101,NaN,0.0967653014652197,NaN,0.0416746282158812,NaN,NaN,0.0496004858080923,0.0760430463604227,0.0652545595857429,NaN,NaN,NaN,NaN,NaN,NaN,0.0324149987979267,NaN,NaN,NaN,NaN,0.0981090044438403,NaN,NaN,NaN,NaN,NaN,0.131648859315481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0595254741196461,NaN,0.139045557017654,NaN,NaN,0.0712253579751019,NaN,NaN,0.0353342598071657,NaN,0.0224362827911895,NaN,NaN,NaN,0.0181576886059093,NaN,0.0507964097513687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0455358250697184,0.0166773278124623
2401,NaN,0.0788254503434373,NaN,0.0572482737688936,NaN,NaN,0.0805313477403856,0.116872839145237,0.0376693497584868,NaN,NaN,NaN,NaN,NaN,NaN,0.0600786124947768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0812822276003878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0186015338508656,NaN,0.18668959431841,NaN,NaN,0.0251716805748641,NaN,NaN,0.0409862846750296,NaN,0.0801955260243736,NaN,NaN,NaN,0.0272383958663747,NaN,0.022861525916573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0755977854096801,0.0318741937988608
2701,NaN,0.05472714264493,NaN,0.0299396350112123,NaN,NaN,0.050944878372058,0.071125969978441,0.0395560806770141,NaN,NaN,NaN,NaN,NaN,NaN,0.0225347358803383,NaN,NaN,NaN,NaN,0.00740753534343872,NaN,NaN,NaN,NaN,NaN,0.038198149559652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.105075495566882,NaN,0.0269435426969272,NaN,NaN,0.0591486498167902,NaN,NaN,0.0148684704675047,NaN,0.00452881882627792,NaN,NaN,0.0310437330864612,0.0411734244620633,NaN,0.0867072928465148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0462316619639357,0.049929923982284
