Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0617007446449958,0.22056403371881,0.0339232536289512,NaN,NaN,NaN,0.0549386028786777,0.0293936926039109,NaN,NaN,NaN,NaN,NaN,NaN,0.0460768802559067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0268215561759026,NaN,NaN,NaN,0.0500934131715009,NaN,0.0196374469331031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0106056037910035,0.0152229202376279,0.0264222781994369,NaN,NaN,NaN,0.0440205969481434,0.0367297076936939,NaN,NaN,NaN,NaN,NaN,NaN,0.0605874429714776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0254611254249006,NaN,NaN,NaN,0.0371382676423477,NaN,0.0238913191153409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,0.0746038483564689,0.0163119201183787,0.0186591418006681,NaN,NaN,NaN,0.0226182134511892,0.0209873921457075,NaN,NaN,NaN,NaN,NaN,NaN,0.0170513135194324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0260128605541492,NaN,NaN,NaN,0.0175809752596237,NaN,0.0175505115598928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,0.0194822447661165,0.0117806783925657,0.0273570564092894,NaN,NaN,NaN,0.0380785005500367,0.0132139480586011,NaN,NaN,NaN,NaN,NaN,NaN,0.03836514443666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0198406327065486,NaN,NaN,NaN,0.0162035640112229,NaN,0.0376848492072497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,0.0154768761897233,NaN,0.0257402712395126,NaN,NaN,0.0302718638481152,0.0548810128451638,0.0294731435148175,NaN,NaN,NaN,NaN,NaN,NaN,0.0442173253293249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0188933663952634,NaN,NaN,NaN,0.0135776219003821,NaN,0.0311525264026231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,0.0258621997970219,NaN,0.0408740940249733,NaN,NaN,0.0439357632824373,0.0373897748053858,0.0203336824915115,NaN,NaN,NaN,NaN,NaN,NaN,0.0270583816479228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0259320835461724,NaN,NaN,NaN,NaN,NaN,0.0402978033790243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.00892637899945984,0.0236423488063399,NaN,0.052849864339955,NaN,NaN,0.0635227168203688,0.0296063699312279,0.0302327468281903,NaN,NaN,NaN,NaN,NaN,NaN,0.0378540082620559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0316674998926065,NaN,NaN,NaN,NaN,NaN,0.0561425943236877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0447408688316519,0.0231117992428767,NaN,0.0511536721666722,NaN,NaN,0.0470871919743649,0.0384874155966528,0.0331373057923626,NaN,NaN,NaN,NaN,NaN,NaN,0.0243405994915272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010458061266843,NaN,NaN,NaN,NaN,NaN,0.0426199715250748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0186117441986763,0.0169407827472045,NaN,0.0360228911254568,NaN,NaN,0.0242269572095756,0.050170647441789,0.0177687163192776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0113928599554435,NaN,NaN,NaN,NaN,NaN,0.0258577110699873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
