Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0596232741384468,NaN,0.0105961138294734,NaN,NaN,NaN,0.0938388768291396,0.0254991006951913,NaN,NaN,NaN,NaN,NaN,NaN,0.0335287572570774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0321902544181449,NaN,NaN,NaN,0.0526609253327099,NaN,0.06296032494986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0437853406548687,NaN,0.0240755558483738,NaN,NaN,NaN,0.0447856917978257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.108840296396173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0224938092690375,NaN,NaN,NaN,0.0933628481849798,NaN,0.0297521262117314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,0.0251547897949674,NaN,0.0734908046182005,NaN,NaN,NaN,0.0807231501439236,0.0586181707449372,NaN,NaN,NaN,NaN,NaN,NaN,0.0431420138064883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0304839713004533,NaN,NaN,NaN,0.110870929024188,NaN,0.0402882720758633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,0.0361487677807619,NaN,0.014069301130556,NaN,NaN,0,0.0327577081118668,0.0256385215012101,NaN,NaN,NaN,NaN,NaN,NaN,0.022960040758216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0346599477884351,NaN,NaN,NaN,0.0179734532962844,NaN,0.0153745476465881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,0.0313098243210353,NaN,0.0857056042728259,NaN,NaN,0.079143139181052,0.0650285104032442,0.0560577614973303,NaN,NaN,NaN,NaN,NaN,NaN,0.248373791875024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0362884326550957,NaN,NaN,NaN,NaN,NaN,0.0329803155369696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,0.0338187693461115,NaN,0.217737029157251,NaN,NaN,0.0326357090846262,0.0284619442968961,0.0320021192388484,NaN,NaN,NaN,NaN,NaN,NaN,0.00782517647220698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0126192022610949,NaN,NaN,NaN,NaN,NaN,0.025393425403898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0,NaN,NaN,0.0267856151814666,NaN,NaN,0.0680357475878487,0.0277854653364227,0.0594546255667838,NaN,NaN,NaN,NaN,NaN,NaN,0.0707773395198702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0143202105072683,NaN,NaN,NaN,NaN,NaN,0.0391221881989202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.22048799827029,0.0559001267428078,NaN,0.222054036429914,NaN,NaN,0.0719094757674375,0.194948460813781,0.0200605973599745,NaN,NaN,NaN,NaN,NaN,NaN,0.261494037506389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0404936031194488,NaN,NaN,NaN,NaN,NaN,0.0311829570788637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.103907759365146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0450782862057731,NaN,NaN,NaN,NaN,NaN,0.0248033696421035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0890186553682042,0.0810843401131891,NaN,0.0157926841437895,NaN,NaN,0.0331600992282201,0.0315390326152876,0.0213634325541919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0252899657800872,NaN,NaN,NaN,NaN,NaN,0.0189375387373543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0626253748417935,0.0449245969408847,NaN,NaN,NaN,NaN,0.0302190267469223,0.00912781099198778,0.0178895551292508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0150626913175638,NaN,NaN,NaN,NaN,NaN,0.0301302472008311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
