Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0429911703298358,NaN,0.0236847570567755,NaN,NaN,NaN,0.055016726857368,0.0416244061214732,NaN,NaN,NaN,NaN,NaN,NaN,0.0392486977975414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00832749580792046,NaN,NaN,NaN,0.00962869493200371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133206684851162,NaN,0.0229113357040316,NaN,NaN,0,NaN,NaN,0.0609032638244253,0.00642461836279885,0.0326333254599311,NaN,NaN,NaN,0.0402404874401398,NaN,0.0100689164823358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0219476315079412,0.0496418734435818
601,NaN,0.0335077799119331,NaN,0.0359938108114533,NaN,NaN,NaN,0.0781074447592585,0.0936060545229828,NaN,NaN,NaN,NaN,NaN,NaN,0.0201618998881565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0326194280816398,NaN,NaN,NaN,0.0473728642097763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0141869387757792,NaN,0.0160089120698461,NaN,NaN,0.0376464659018806,NaN,NaN,0.0465386984097793,0.0171682807706153,0.0123557440538899,NaN,NaN,NaN,0.0184472340419459,NaN,0.0364389342564515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0205640707906154,0.0934011709022544
901,NaN,0.0170934363991698,NaN,0.0346242847337235,NaN,NaN,NaN,0.0367787556186827,0.0195184165593456,NaN,NaN,NaN,NaN,NaN,NaN,0.033409793113989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139355025263796,NaN,NaN,NaN,0.0690495997618643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0223562376304317,NaN,0.0221798379033438,NaN,NaN,0.0455116698539702,NaN,NaN,0.0237774857093866,0.0374200253706703,0.0138569679881198,NaN,NaN,NaN,0.0286036612149891,NaN,0.0415389148813563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00892659468074402,0.028073634710427
1201,NaN,0.0427953918316544,NaN,0.040953536978222,NaN,NaN,NaN,0.0594545135605313,0.0260058424817756,NaN,NaN,NaN,NaN,NaN,NaN,0.0459695571717216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0232622540818655,NaN,NaN,NaN,0.0578047754870449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0500389057663703,NaN,0.0268338309921049,NaN,NaN,0.0393723864011363,NaN,NaN,0.0273169185937652,NaN,0.0218750989300906,NaN,NaN,NaN,0.0447800336980966,NaN,0.0167507211335275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0210778419766676,0.023494449180967
1501,NaN,0.0356279820604699,NaN,0.035224975955422,NaN,NaN,NaN,0.0694306510257401,0.0526807477491445,NaN,NaN,NaN,NaN,NaN,NaN,0.0473383352045771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0224535095788933,NaN,NaN,NaN,0.0477049185163402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0373309670517197,NaN,0.036293440886603,NaN,NaN,0.0132053185565222,NaN,NaN,0.0155838294807784,NaN,0.0300733163507439,NaN,NaN,NaN,0.0294187189001983,NaN,0.0303131644829255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0213832115384376,NaN
1801,NaN,0.00977373660588458,NaN,0.0170931611640811,NaN,NaN,NaN,0.0926343981600556,0.0120180639918949,NaN,NaN,NaN,NaN,NaN,NaN,0.0359143249511405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0515144864446956,NaN,NaN,NaN,0.0531216435826604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0520896498182706,NaN,0.0383775097631098,NaN,NaN,0.0384867650263947,NaN,NaN,0.0482004193604279,NaN,0.00732440026979644,NaN,NaN,NaN,0.0236871658323109,NaN,0.0258334307683357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0129155476164151,0.0722218666498739
2101,NaN,0.0292203742520869,NaN,0.014868840376537,NaN,NaN,0.0312780774440067,0.0330309712899795,0.0326079611085862,NaN,NaN,NaN,NaN,NaN,NaN,0.0275851259448197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0184170799591645,NaN,NaN,NaN,0.125496069453714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0254316377655792,NaN,0.0335521030841706,NaN,NaN,0.0204413267060291,NaN,NaN,0.0294331938166608,NaN,0.0153154866056716,NaN,NaN,NaN,0.0185426704200791,NaN,0.029716345831727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023020282246117,0.19892430655489
2401,NaN,0.0304629681446217,NaN,0.0348309185635432,NaN,NaN,0.0327061284088513,0.0188868725544435,0.0238106824003535,NaN,NaN,NaN,NaN,NaN,NaN,0.0332315264656387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0464169727191202,NaN,NaN,NaN,0.152384496401801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0228624896148416,NaN,0.0283158807646851,NaN,NaN,0.0212292729372167,NaN,NaN,0.0408771166567209,NaN,0.00704771340466751,NaN,NaN,NaN,0.0256881136337373,NaN,0.0240942898811055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0161206672565892,0.0119888103700594
2701,NaN,0.019099445281037,NaN,0.0250754600049054,NaN,NaN,0.0403055144828279,0.0481526750105904,0.058621617494966,NaN,NaN,NaN,NaN,NaN,NaN,0.0390244131095334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0242822088329149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0502351494979117,NaN,0.0114607603416677,NaN,NaN,0.0373678033026752,NaN,NaN,0.0367939822869042,NaN,0.00916403017368952,NaN,NaN,NaN,0.0198525257652745,NaN,0.0397625287313189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0240217076172267,0.0141479904734378
