Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0247234818804977,0.0129315048922365,0.0293068237841717,NaN,NaN,NaN,0.0744543914138145,0.0407841880273595,NaN,NaN,NaN,NaN,NaN,NaN,0.0185449167997485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0166126985358932,NaN,NaN,NaN,0.13759863117172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0209127138345302,NaN,0.0261815253272323,NaN,NaN,0.0398450634149734,NaN,NaN,0.0167648427423413,0.032267675035826,0.0094747501195388,NaN,NaN,NaN,0.0193548663113821,NaN,0.0298487291565432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00862636377097613,0.027730881720113
601,NaN,0.0274787504421543,0.0359559989332396,0.0498800365428265,NaN,NaN,NaN,0.056790714363172,0.0360563915316477,NaN,NaN,NaN,NaN,NaN,NaN,0.0268444456483564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.031045170646465,NaN,NaN,NaN,0.0498508265520163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0125031605420181,NaN,0.0260505990762651,NaN,NaN,0.0554478306755395,NaN,NaN,0.0250501268602916,0.0321032481879054,0.01993008566348,NaN,NaN,NaN,0.0280812234565659,NaN,0.0294992213543187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0185556813220755,0.0047919216289163
901,NaN,0.0277276894824025,0.0201208818850401,0.0394638924736876,NaN,NaN,NaN,0.0314826702469185,0.0142381033799425,NaN,NaN,NaN,NaN,NaN,NaN,0.0230685908158005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01719739560538,NaN,NaN,NaN,0.0120719440006286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0183818380202273,NaN,0.0308677806910043,NaN,NaN,0.0308670548764056,NaN,NaN,0.0323051292229875,0.0112372009217139,0.0158714731214991,NaN,NaN,NaN,0.0218528679953978,NaN,0.0184878754466087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0253550239007414,0.00963076309372604
1201,NaN,0.0280727836064593,0.0142601169650829,0.0259892148542087,NaN,NaN,NaN,0.0232267407585815,0.016501231935548,NaN,NaN,NaN,NaN,NaN,NaN,0.0140022442984629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0316717952025312,NaN,NaN,NaN,0.03564686104048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010253287560984,NaN,0.032793335426702,NaN,NaN,0.0547970745016488,NaN,NaN,0.0046108003825703,0.0234930235745215,0.101506068777789,NaN,NaN,NaN,0.0359252536282592,NaN,0.0187543130486109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0254503389874639,0.0166798745824564
1501,NaN,0.0301554972218259,NaN,0.0139348426113317,NaN,NaN,NaN,0.0865524637098601,0.0311087583544272,NaN,NaN,NaN,NaN,NaN,NaN,0.029433157837144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131632554714434,NaN,NaN,NaN,0.0191147244353707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0461984354874279,NaN,0.0225098638750028,NaN,NaN,0.046591617427957,NaN,NaN,0.0267955633433282,0.0258092238629653,0.122614941891028,NaN,NaN,NaN,0.0203722642206331,NaN,0.0319714013509773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0142858712296699,0.0264296011866583
1801,NaN,0.058194642561871,NaN,0.0239501327013566,NaN,NaN,NaN,0.0579765065456645,0.0254987695399783,NaN,NaN,NaN,NaN,NaN,NaN,0.0256145484952411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00426914281161168,NaN,NaN,NaN,0.0284274179871954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149804551479399,NaN,0.0105000248704938,NaN,NaN,0.0282473985984369,NaN,NaN,0.0176146728043688,0.0361580850671441,0.0973108472221395,NaN,NaN,NaN,0.0200608721963845,NaN,0.015442504149903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0081386092295566,0.0292227083314245
2101,0.0199532998596041,0.0336720665062727,NaN,0.014517256925123,NaN,NaN,NaN,0.0970171922180663,0.0696452272953678,NaN,NaN,NaN,NaN,NaN,NaN,0.0319697622027486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0127569704829416,NaN,NaN,NaN,0.0254420836667847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0234059197354333,NaN,0.0417307333200598,NaN,NaN,0.0376696221676038,NaN,NaN,0.0252374890745518,NaN,0.00909194436560783,NaN,NaN,NaN,0.0526068290113409,NaN,0.022805875575993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0121140047426943,0.0240510754355636
2401,0.0330444843835257,0.0604302225201098,NaN,0.0198501011587384,NaN,NaN,NaN,0.0502037389981194,0.0660010627638697,NaN,NaN,NaN,NaN,NaN,NaN,0.0238850529167606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0205487012848473,NaN,NaN,NaN,0.0217309131242755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0369338069583525,NaN,0.0181826165886224,NaN,NaN,0.032337327137533,NaN,NaN,0.0386579196823628,NaN,0.0163566045767434,NaN,NaN,NaN,0.0333869531339044,NaN,0.0336525218390135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0148314107061739,0.0211635780451127
2701,0.0601172698027302,0.0152583538687716,NaN,0.0477251699712084,NaN,NaN,0.0728109983765803,0.0444648497217118,0.0361561135159792,NaN,NaN,NaN,NaN,NaN,NaN,0.0164163921857394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0274744336647286,NaN,NaN,NaN,0.0257373310765615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0190537723571473,NaN,0.0396491293758971,NaN,NaN,0.0379405002359145,NaN,NaN,0.0494028607315858,NaN,0.0114298801490418,NaN,NaN,NaN,0.0434671421650447,NaN,0.0205156836557894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006653096854598,0.0141588454102913
