Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13,C16
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0518897470887758,0.0114057995271971,0.0258236372420479,NaN,NaN,NaN,0.0368195824102398,0.0294510281282334,NaN,NaN,NaN,NaN,NaN,NaN,0.0158034545609124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0195863330865272,NaN,NaN,NaN,0.0449737539126585,NaN,0.0115824271489497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00765021030535635
601,NaN,0.0233538759719549,0.0246702171904259,0.0102349394821883,NaN,NaN,NaN,0.0389123901422247,0.0322348510967599,NaN,NaN,NaN,NaN,NaN,NaN,0.0232722174124489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00504714281013268,NaN,NaN,NaN,0.0150428779621684,NaN,0.0183099117033176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0165063619348143
901,NaN,0.03684611838185,0.0255267119318998,0.028415209057424,NaN,NaN,NaN,0.0282798831410954,0.0205540974806622,NaN,NaN,NaN,NaN,NaN,NaN,0.015884645047762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0194393229956785,NaN,NaN,NaN,0.0289166767540635,NaN,0.0162914622646323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0213490010448306
1201,NaN,0.0281291663168724,0.00587768989696919,0.0151085963757638,NaN,NaN,NaN,0.0513256176478036,0.0199205745287186,NaN,NaN,NaN,NaN,NaN,NaN,0.0195893535596435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133332561907246,NaN,NaN,NaN,0.0256571425513324,NaN,0.0111993985491272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197206168398193
1501,NaN,0.0256505111114289,NaN,0.0227634177478028,NaN,NaN,0.0398763888522537,0.0228228997410867,0.0171892064650589,NaN,NaN,NaN,NaN,NaN,NaN,0.0327937553891615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0375831798389146,NaN,NaN,NaN,NaN,NaN,0.0166281861534606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0433238148770731
1801,NaN,0.0338304144691562,NaN,0.0335720383579844,NaN,NaN,0.0278344459363968,0.0399938674392168,0.0914618057694822,NaN,NaN,NaN,NaN,NaN,NaN,0.0160390164368188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0331736288615654,NaN,NaN,NaN,NaN,NaN,0.0262751041042085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0215232845779032
2101,0,0.0371482352864765,NaN,0.0250645167050889,NaN,NaN,0.0155790051858561,0.0326643034834512,0.0704815380778696,NaN,NaN,NaN,NaN,NaN,NaN,0.0151220651179437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00720474121384214,NaN,NaN,NaN,NaN,NaN,0.0139229498248817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0380702850670962
2401,0.0166330348212352,0.0150855369828615,NaN,0.00348432300131703,NaN,NaN,0.0446662393552888,0.00663485221162837,0.0676074129831634,NaN,NaN,NaN,NaN,NaN,NaN,0.0229966211182128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0173586490310106,NaN,NaN,NaN,NaN,NaN,0.026451166669444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0312574992002876
2701,0.0121315658536296,0.0231267635868823,NaN,0.00985973537670906,NaN,NaN,0.015153097740195,0.0482437380639008,0.0074401641632429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0200352663309757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0266759767971678
3001,0.0274453243558929,0.0103754613091563,NaN,0.0308965761704175,NaN,NaN,0.0256516615401907,0.0419457312016229,0.0248515514539458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133508496837538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0406775070676518
3301,0.0208171376807845,0.0279537479093305,NaN,0.0263729409614311,NaN,NaN,0.038732382946556,0.0337403225751571,0.0316359218011672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0138769864842737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0274430375684384
3601,0.0443876904781927,0.0196719552630256,NaN,0.0185826102426345,NaN,NaN,0.0447325302607975,0.0148042437835107,0.0780089378192592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262426932370383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0150840524713009
3901,0.0472150211560338,0.0347800551290045,NaN,0.0488538926801072,NaN,NaN,0.0199828111207889,0.0192829665750197,0.0143622261875831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0244247959519248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0320073301585026
4201,0.0126303589850455,0.0333886477030901,NaN,0.0222178427624082,NaN,NaN,0.033572104141616,0.0205161954068943,0.0215186634012648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00846324163046848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0053970661577784
4501,0.0604028529571626,0.0327759946460362,NaN,0.0147785449600976,NaN,NaN,0.0101714189269461,0.0432000728916718,0.0655336932907929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0263122121043752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0242813919841062
4801,0.0338097379559747,0.0293763734331933,NaN,0.0387075233707851,NaN,NaN,0.0128820612781665,0.0149893146730304,0.0346720207725656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0145155498516143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016222761663525
5101,0.0217291990192702,0.0243112091023095,NaN,0.0059815365228149,NaN,NaN,0.0140738709977619,0.017354992176662,0.0238025029302787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023242484712374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0284279454435761
5401,0.0126810802695413,0.011921406850199,NaN,0.0142720979400093,NaN,NaN,0.0132584561853221,0.0259094624181139,0.0263552452026943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012918759698485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131353560309451
5701,0.0238816820257421,0.0149935443893217,NaN,0.0272051798292409,NaN,NaN,0.0184958338517844,0.0165977873625274,0.0144277867781597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191946077094932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0177687082468596
6001,0.0278334890919273,0.017522356870907,NaN,0.0135895811519198,NaN,NaN,0.028268477434925,0.0569067852551475,0.0373573474943422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0184709743973926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0150056431487037
6301,0.0165870279117278,0.0329777104965339,NaN,0.0132208535015719,NaN,NaN,0.0506958169176639,0.0139411245395413,0.0208057311044247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0343462724907006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00920051935899261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0213953307046919
6601,0.021658591349518,0.0214800958302783,NaN,0.0185965325499921,NaN,NaN,0.0315980676362876,0.0261580608342336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0465041429203743
6901,0.0269778326129781,0.0150578980006206,NaN,0.0192899140192877,NaN,NaN,0.0262709836894151,0.0159823454854832,0.013882340308283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0211367319456529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0339024964733166
7201,0.0146082786600494,0.0204255767221976,NaN,0.0337027401789233,NaN,NaN,0.0294595124755088,0.0185981624571904,0.0284712073443272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00420367854551224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0851774606262499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0298068412499143
7501,0.0265734358934186,0.00799900705582691,NaN,0.0155274588494939,NaN,NaN,0.0459652779023657,0.0213778545258913,0.0224198225636799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149524685132025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0372736869681968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0173268625840536
7801,0.00369465412404517,0.0132472225866886,NaN,0.0103411092464685,NaN,NaN,0.0404212602675624,0.0161386211695375,0.018002751289179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0303990535856808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0330103188915002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0376634357740397
8101,0.0132787585342836,0.0183625144298582,NaN,0.01494754864114,NaN,NaN,0.0300691947721662,0.0300597314593731,0.0168806893661619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0158644916162482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0170508223216422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00996737630119506
8401,0.0117805829380416,0.0172144595931584,NaN,0.00698722485023419,NaN,NaN,0.0192000454832157,0.0384324496692377,0.359805163394126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0349206694986916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0553342849783217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0311158805758691
8701,0.020158041839045,0.0121164368995724,NaN,0.0246266151833551,NaN,NaN,0.0332162743984266,0.0167294471722295,0.0259373490145213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0349610849169553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0416957722504872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00720114488607241
9001,0.0136390057677654,0.0319864625102202,NaN,0.0322540862134532,NaN,NaN,0.0434153478348815,0.0335547782199031,0.0197987705230692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0211496726761774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0224084051911015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0245055854115661
9301,0.0190462316137568,0.0245153906924463,NaN,0.00904302721022477,NaN,NaN,0.0352371458017257,0.0254271715376897,0.0193478521251004,NaN,NaN,NaN,NaN,0.0490806891257418,NaN,NaN,0.0453483556868185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0219080735557444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0311820786590477
9601,0.0110005032142054,0.0172417396324898,NaN,0.0103510917054631,NaN,NaN,0.0389614429166172,0.0200404888556682,0.0088451797045265,NaN,NaN,NaN,NaN,0.00964107913046826,NaN,NaN,0.033132473344277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0257255741305983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028991819450424
9901,0.00363286038503457,0.0130428678989297,NaN,0.267843063396628,NaN,NaN,0.051890876526672,0.00502402133611663,0.132086464493451,NaN,NaN,NaN,NaN,0.0234920972397018,NaN,NaN,0.0261005007486539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0287207407256756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0298430143198417
10201,0.0164810943107344,0.0154621326250855,NaN,0.0231074114242653,NaN,NaN,0.0314142326460042,0.0195624339255625,0.00747355830349537,NaN,NaN,NaN,NaN,0.0672224213968723,NaN,NaN,0.0177332113628538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0389373963728645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0192911203472512
10501,0.0121119554906609,0.0108152761507326,NaN,0.0178899889130528,NaN,NaN,0.0375854534414679,0.0188118709244113,0.0115078848585971,NaN,NaN,NaN,NaN,0.0273960864817336,NaN,NaN,0.0834071501667567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0260176168049909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0357108368833564
10801,0.0274794538460107,0.0193841623987256,NaN,NaN,NaN,NaN,0.0175840347734517,0.0231224989293446,0.0266794554300423,NaN,NaN,NaN,NaN,0.0207866177083132,NaN,NaN,0.0179883046642306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0233480443847384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0322629213687671
11101,0.00790304499019465,0.0196746630619334,NaN,NaN,NaN,NaN,0.0372817988330672,0.0121329508190107,0.00820674597196371,NaN,NaN,NaN,NaN,0.0122345268929611,NaN,NaN,0.016574665027201,NaN,0.0260649299038754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00750119898862209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021498231927688
11401,0.013820774747684,0.0178350754295409,NaN,NaN,NaN,NaN,0.0156461002916054,0.208993156697712,0.0216573045417472,NaN,NaN,NaN,NaN,0.0230384504109687,NaN,NaN,0.0122135218829129,NaN,0.0356215565397095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04361744879477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262226022292294
11701,0.0157443752185155,0.0215342260879934,NaN,NaN,NaN,NaN,0.0160600473062067,0.190549480929057,0.0229518032182698,NaN,NaN,NaN,NaN,0.0389976390112064,NaN,NaN,0.015206707651409,NaN,0.0495889421323471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0269821581964348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0291815890467906
12001,0.00850192070226775,0.0147815355620471,NaN,NaN,NaN,NaN,0.0151666900409734,NaN,0.019339491637587,NaN,NaN,NaN,NaN,0.0175677951157464,NaN,NaN,0.0226058450903643,NaN,0.0441257944355545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0178098211169891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0476985118663678
12301,0.0240826388707887,0.0231257288749891,NaN,NaN,NaN,NaN,0.0338691123721679,NaN,0.0123174068646084,NaN,NaN,NaN,NaN,0.0176599840286623,NaN,NaN,0.0110056918827117,NaN,0.0160637631199627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014087526824364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0180903183714066
12601,0.024466222605228,0.0283138265928076,NaN,NaN,NaN,NaN,0.0369695223086789,NaN,0.0134569330454784,NaN,NaN,NaN,NaN,0.0134470688525449,NaN,NaN,0.0400246394305902,NaN,0.00810865815502318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0155560185293283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0175531685737259
12901,0.0172354556220583,0.00495757033014281,NaN,NaN,NaN,NaN,0.0510164028911863,NaN,0.110696264144582,NaN,NaN,NaN,NaN,0.0175736087979333,NaN,NaN,0.0260045023125746,NaN,0.0166952281124795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0270790252108008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0226110066474689
