Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0290827208385245,0.0199238166639367,0.0495115161838081,NaN,NaN,NaN,0.0489221116598501,0.0339361986098642,NaN,NaN,NaN,NaN,NaN,NaN,0.112885914322062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0238317113056913,NaN,NaN,NaN,0.0591684843876755,NaN,0.0147794453886794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0115017297158356,0.0143854042417291,0.037885642570572,NaN,NaN,NaN,0.0389486219659523,0.0394005317333978,NaN,NaN,NaN,NaN,NaN,NaN,0.0180876298923024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0545538189035171,NaN,NaN,NaN,0.0222044715512194,NaN,0.0409923416184954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,0.0171251048847888,0.01950979471087,0.0603099633560395,NaN,NaN,NaN,0.0725028102173835,0.0113580060305449,NaN,NaN,NaN,NaN,NaN,NaN,0.0491893131129886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0199316210375819,NaN,NaN,NaN,0.016303326600872,NaN,0.0276963548704305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,0.00764726864633603,NaN,NaN,NaN,NaN,0.0585933701382625,0.0673213488156728,0.0235917361005357,NaN,NaN,NaN,NaN,NaN,NaN,0.0868598260114953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0423545664885148,NaN,NaN,NaN,0.0192051639869091,NaN,0.0294781580515093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,0.0462854884952045,NaN,0.0146659853595716,NaN,NaN,0.0169633404088708,0.0482614345510531,0.02291793128258,NaN,NaN,NaN,NaN,NaN,NaN,0.042539236351266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0220138560651549,NaN,NaN,NaN,NaN,NaN,0.036886062398702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,0.0141844977494425,NaN,0.0441676538911097,NaN,NaN,0.0190090323846309,0.0328897267835429,0.0291654650295413,NaN,NaN,NaN,NaN,NaN,NaN,0.0275681573851701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0241435500204966,NaN,NaN,NaN,NaN,NaN,0.0347622201117857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,0.0197735858743281,NaN,0.0652726358227104,NaN,NaN,0.00972746399779563,0.0490861130411048,0.0149990970005072,NaN,NaN,NaN,NaN,NaN,NaN,0.048879523072041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0335311967669022,NaN,NaN,NaN,NaN,NaN,0.0387123936722325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.00922508128475787,0.0181915076641799,NaN,0.0584092642855461,NaN,NaN,0.0258332896647611,0.0323752562608302,0.0364462102326927,NaN,NaN,NaN,NaN,NaN,NaN,0.0172317126822422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0411755823299039,NaN,NaN,NaN,NaN,NaN,0.016484102568297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.128092157286919,0.00796121146685214,NaN,0.0279447695593245,NaN,NaN,0.0490062292024263,0.0547550339839434,0.0219782011460845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0405840767021343,NaN,NaN,NaN,NaN,NaN,0.0510465633580783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
