Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0841736522052189,0.0175116532856312,0.0372341815914513,NaN,NaN,NaN,0.0495520115668097,0.0126603853829409,NaN,NaN,NaN,NaN,NaN,NaN,0.0451735160038295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0194753567718141,NaN,NaN,NaN,0.019731907783057,NaN,0.0345867292209723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0222712379552183,0.0244578932076584,0.017128778344784,NaN,NaN,NaN,0.0337766319143493,0.00850137442278931,NaN,NaN,NaN,NaN,NaN,NaN,0.0284355780175043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0253841951596857,NaN,NaN,NaN,0.0294065898230899,NaN,0.0117075105422636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,0.0359860085575496,0.0273971169501365,0.00523868318408235,NaN,NaN,NaN,0.0302478320172019,0.0282046488969571,NaN,NaN,NaN,NaN,NaN,NaN,0.0461193772694588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0216440860817434,NaN,NaN,NaN,0.0177617754460417,NaN,0.0324703583616525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,0.0636733406819175,NaN,0.0223257482573785,NaN,NaN,NaN,0.0357045987059809,0.0336870955976286,NaN,NaN,NaN,NaN,NaN,NaN,0.0448849477495595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0454638846296961,NaN,NaN,NaN,0.0348187194466991,NaN,0.00884583967443131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,0.0456957089529134,NaN,0.0197990026877384,NaN,NaN,0.038692563083892,0.0391290167182335,0.00983189215218616,NaN,NaN,NaN,NaN,NaN,NaN,0.0648673793928445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0168656898969535,NaN,NaN,NaN,0.0372965247606534,NaN,0.0435673597832484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,0.0642071622058797,NaN,0.0500188522153313,NaN,NaN,0.0438810895880579,0.0317558864236833,0.0202053236741859,NaN,NaN,NaN,NaN,NaN,NaN,0.0552747616007446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0259085302658475,NaN,NaN,NaN,NaN,NaN,0.0250308938886617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,0.0135744568807613,NaN,0.0457362763994981,NaN,NaN,0.0188741642269164,0.0254263582289176,0.0267842922715633,NaN,NaN,NaN,NaN,NaN,NaN,0.0631897411360695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262132287901695,NaN,NaN,NaN,NaN,NaN,0.0326943114576525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0876914197825693,0.0295616417026011,NaN,0.0280614735752949,NaN,NaN,0.135470700240024,0.0375642666096093,0.0062326815136194,NaN,NaN,NaN,NaN,NaN,NaN,0.0488597830372714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0180499833437215,NaN,NaN,NaN,NaN,NaN,0.0359267271029554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.102138721213095,0.0438040849423475,NaN,0.00774066342767189,NaN,NaN,0.0328912529843277,0.0479434409039778,0.0340259863875468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0385311555525409,NaN,NaN,NaN,NaN,NaN,0.0448125380278566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
