Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0281081372421061,0.0909630037146206,0.0127764908642162,NaN,NaN,NaN,0.0254650339650681,0.0390305242169287,NaN,NaN,NaN,NaN,NaN,NaN,0.0365033125371164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025982652273566,NaN,NaN,NaN,0.0221141724900317,NaN,0.0344961542041504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0337195449777515,0.0289021795187145,0.0100850476139719,NaN,NaN,NaN,0.0219104792295351,0.0198276310103443,NaN,NaN,NaN,NaN,NaN,NaN,0.0116883429811961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109385064555038,NaN,NaN,NaN,0.0230783114205402,NaN,0.0407895692598553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,0.0352297048832232,NaN,0.0205358988285906,NaN,NaN,NaN,0.15672812058774,0.00883582489449348,NaN,NaN,NaN,NaN,NaN,NaN,0.0257659701731433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0242987514887516,NaN,NaN,NaN,0.0110519183022833,NaN,0.0304368905412563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,0.0288711105999549,NaN,0.0143191843915416,NaN,NaN,NaN,0.141304269172965,0.0649342267311879,NaN,NaN,NaN,NaN,NaN,NaN,0.0336120094846987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0207346547028876,NaN,NaN,NaN,0.0140245290343051,NaN,0.0344659476975963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,0.0277160196267034,NaN,0.153591312376942,NaN,NaN,NaN,0.108467633855765,0.103441168770254,NaN,NaN,NaN,NaN,NaN,NaN,0.0321378356053666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0321098180525124,NaN,NaN,NaN,0.032423477424842,NaN,0.0137588180249742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,0.0304023048519514,NaN,0.155154970662997,NaN,NaN,NaN,0.0636277769909993,0.0258038475751685,NaN,NaN,NaN,NaN,NaN,NaN,0.0402898650663918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109306316043176,NaN,NaN,NaN,NaN,NaN,0.0198709323950665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,0.0118092672391042,NaN,0.103255031770089,NaN,NaN,NaN,0.0556637801827728,0.0290730280963566,NaN,NaN,NaN,NaN,NaN,NaN,0.130215118956281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0169872949947532,NaN,NaN,NaN,NaN,NaN,0.023119167524518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0379510151684797,0.0421302271459178,NaN,0.105864899301772,NaN,NaN,NaN,0.0709600067652213,0.0109077349337687,NaN,NaN,NaN,NaN,NaN,NaN,0.0316219774565419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0248750012989225,NaN,NaN,NaN,NaN,NaN,0.0293337445109568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
2701,0.0283354192115293,0.0461802969783409,NaN,0.00717339691398319,NaN,NaN,0.0174713632709487,0.0417593867584388,0.0186690230518019,NaN,NaN,NaN,NaN,NaN,NaN,0.0310576865477163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.052566603641104,NaN,NaN,NaN,NaN,NaN,0.0351684892890137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0727822240742285,NaN,NaN,NaN
