Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0653994265172506,0.0382837728888276,0.0611678851794273,NaN,NaN,NaN,0.0218906741704163,0.0298581094888038,NaN,NaN,NaN,NaN,NaN,NaN,0.014460296517944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.171035982657789,NaN,NaN,NaN,0.00962302518571048,NaN,0.0495257462471029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0235444733211888,NaN,NaN,NaN
601,NaN,0.0331301317031566,0.0273264285830108,0.0482045785487489,NaN,NaN,NaN,0.0565665388469019,0.0283953948254446,NaN,NaN,NaN,NaN,NaN,NaN,0.036559029092772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.127677505193095,NaN,NaN,NaN,0.0383136690668876,NaN,0.0509719576996112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0683896544979979,NaN,NaN,NaN
901,NaN,0.0156943245927602,NaN,0.0956940023461715,NaN,NaN,NaN,0.0366080907287293,0.0300401065182402,NaN,NaN,NaN,NaN,NaN,NaN,0.0223402218079043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206188716365414,NaN,NaN,NaN,0.0244038579153416,NaN,0.0847994017641052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.148163750820657,NaN,NaN,NaN
1201,NaN,0.0436850026434154,NaN,0.0379921247767962,NaN,NaN,NaN,0.0958134623402889,0.0376880408245735,NaN,NaN,NaN,NaN,NaN,NaN,0.0154723459665899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.237767291515379,NaN,NaN,NaN,NaN,NaN,0.0877002979574791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0495210002421925,NaN,NaN,NaN
1501,NaN,0.0318034696616009,NaN,0.0507314679917322,NaN,NaN,NaN,0.00787713073571635,0.0250505491323233,NaN,NaN,NaN,NaN,NaN,NaN,0.0409391456889514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.142236867855327,NaN,NaN,NaN,NaN,NaN,0.173820403368094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18298156417511,NaN,NaN,NaN
1801,NaN,0.0561039282895443,NaN,0.0330521984689907,NaN,NaN,NaN,0.0990093178142205,0.0318793461318689,NaN,NaN,NaN,NaN,NaN,NaN,0.0176095841751695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0596967829518467,NaN,NaN,NaN,NaN,NaN,0.102200847244216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0358405679061418,NaN,NaN,NaN
2101,NaN,0.0230956756081881,NaN,0.0260781148826178,NaN,NaN,NaN,0.0218679770492889,0.0532979342921485,NaN,NaN,NaN,NaN,NaN,NaN,0.0102258451850843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0770203961047447,NaN,NaN,NaN,NaN,NaN,0.0703842582664401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0296292888432338,NaN,NaN,NaN
2401,NaN,0.0411152798980406,NaN,0.0365812344724033,NaN,NaN,NaN,0.0915067830013671,0.0247353716340347,NaN,NaN,NaN,NaN,NaN,NaN,0.0162243680400572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0581567940670994,NaN,NaN,NaN,NaN,NaN,0.0919212264245568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0644731351235834,NaN,NaN,NaN
2701,0.0283639610141601,0.0179750363524778,NaN,0.0512834654215845,NaN,NaN,0,0.0533004452809947,0.0414305949857562,NaN,NaN,NaN,NaN,NaN,NaN,0.0361251177922852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0477319278141097,NaN,NaN,NaN,NaN,NaN,0.305560301121063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0267270583776302,NaN,NaN,NaN
