Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C22,C23,C24,C25,C27,C28,C29,C30,C32,C34,C35,C36,C37,C41,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0696072429101801,NaN,0.0219455741989515,NaN,NaN,NaN,0.0578706836803004,0.0115322305566551,NaN,NaN,NaN,NaN,NaN,NaN,0.0268884967863594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0428694876129394,NaN,NaN,NaN,0.0158891685050649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0261398041477147,NaN,0.0255887587690495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0208527450798519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0229951046514207,0.022441687877544
601,NaN,0.088620204097623,NaN,0.0377981862926175,NaN,NaN,NaN,0.0523457361028741,0.0338444830469253,NaN,NaN,NaN,NaN,NaN,NaN,0.0379279782761846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0482680982570173,NaN,NaN,NaN,0.0115178037700646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0316592728626399,NaN,0.0497381437977462,NaN,0.0202433244820771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0172790791595398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010521204688708,0.0279878162801679
901,NaN,0.0325370852023374,NaN,0.0285547262423001,NaN,NaN,0.00594278037471666,0.0445339827145609,0.00821862371866524,NaN,NaN,NaN,NaN,NaN,NaN,0.0226076503261889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0404475082934514,NaN,NaN,NaN,0.0166708051538039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0343178832675618,NaN,0.0149220841738447,NaN,0.0396027232388687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0307694798265785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0285258376113619,0.029073040028469
1201,NaN,0.04952979016628,NaN,0.0294975781243853,NaN,NaN,0.0195349838954274,0.0454887814729041,0.00338379952944429,NaN,NaN,NaN,NaN,NaN,NaN,0.0215382775285789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0340630709591815,NaN,NaN,NaN,0.0261467250843588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221865824953627,NaN,0.0339386896813119,NaN,0.0416109610322643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024070819967861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0179195238549322,0.0102232018874206
1501,NaN,0.012540189031802,NaN,0.0509267192955802,NaN,NaN,0.0269098662765848,0.0216558287557336,0.033223678147534,NaN,NaN,NaN,NaN,NaN,NaN,0.021322502106324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0298254063503896,NaN,NaN,NaN,0.026662702227927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0245441339985206,NaN,0.0140599524710339,NaN,0.0180399878290457,NaN,NaN,NaN,0.0259713552045965,NaN,NaN,NaN,0.0205467504978264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0226594006095432,0.0157191383939115
1801,NaN,0.0180363785185118,NaN,0.00490703468550238,NaN,NaN,0.0185971087942444,0.0517760157555819,0.0178253003255574,NaN,NaN,NaN,NaN,NaN,NaN,0.0210069242804995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0335059385049271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0168531275140795,NaN,0.0231268604075878,NaN,0.020494902095349,NaN,NaN,NaN,0.0290151880388763,NaN,NaN,NaN,0.0313808816132169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00959363635902888,0.00976519631122057
2101,NaN,0.0362026614105208,NaN,0.0176844263394024,NaN,NaN,0.0377758086060301,0.0563870273391705,0.0356084655566869,NaN,NaN,NaN,NaN,NaN,NaN,0.0296134480213578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012511893527696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021792762180315,NaN,0.0294612796426111,NaN,0.0264078521732814,NaN,NaN,NaN,0.0184586760664671,NaN,NaN,NaN,0.025996947754471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0134608785698039,0.00909129856754698
2401,NaN,0.0241032946921483,NaN,0.0231394852208593,NaN,NaN,0.0268355954379926,0.059803349562589,0.0417174051451865,NaN,NaN,NaN,NaN,NaN,NaN,0.0283356991019703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0217760098443642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0526717149034032,NaN,0.0322565486871161,NaN,0.0335618959837066,NaN,NaN,NaN,0.0172860075883883,NaN,NaN,NaN,0.02231195478787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0199172780208862,0.00752461692760899
2701,NaN,0.0266728488709576,NaN,0.0274475419379237,NaN,NaN,0.030065871885619,0.0479356185737078,0.0487258220553215,NaN,NaN,NaN,NaN,NaN,NaN,0.0385492193485748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0103302863108887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0279383676187872,NaN,0.0633474011274033,NaN,0.0187953480420735,NaN,NaN,NaN,0.0200408287341508,NaN,NaN,NaN,0.0209898626551587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109752872292565,0.0261721857789308
