Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0278301545346004,0.0283823775956168,0.130678447548247,NaN,NaN,NaN,0.0575208762557794,0.031355392072684,NaN,NaN,NaN,NaN,NaN,NaN,0.0446154282310258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0134083337945216,NaN,NaN,NaN,0.024144879744115,NaN,0.0251934790185389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0384798840645916,0.0928046265227543,0.00533580937701539,NaN,NaN,NaN,0.0319277300157385,0.044973899799023,NaN,NaN,NaN,NaN,NaN,NaN,0.053717749134234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139332267970423,NaN,NaN,NaN,0.0118500356928469,NaN,0.0572502315193572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,0.0233919919363412,0.0295017860490384,0.0106714526912265,NaN,NaN,NaN,0.033266417767816,0.0490782047068451,NaN,NaN,NaN,NaN,NaN,NaN,0.0742942673320721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0205818306077556,NaN,NaN,NaN,0.0112000731939175,NaN,0.0207543538987601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,0.0133329653636152,0.0115593745307429,0.0176881235147294,NaN,NaN,NaN,0.0376113424019986,0.0249422800328749,NaN,NaN,NaN,NaN,NaN,NaN,0.0338516785373999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0275648657570017,NaN,NaN,NaN,0.00843002247396069,NaN,0.0204391465166623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,0.0321060272056515,0.0985959231387612,0.00303829817576222,NaN,NaN,0,0.0378028526379309,0.015716693329239,NaN,NaN,NaN,NaN,NaN,NaN,0.0275346711024286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0231279049860466,NaN,NaN,NaN,NaN,NaN,0.0087586361406701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.042182921085983,0.0361730275494514,0.0133417769661284,0.0158122027652047,NaN,NaN,0.0215858997315943,0.0423215629072377,0.0139142421590006,NaN,NaN,NaN,NaN,NaN,NaN,0.258561133272061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01301856426216,NaN,NaN,NaN,NaN,NaN,0.00673506954660857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0769291474471688,0.0204961309279012,NaN,0.197413024941615,NaN,NaN,0.0912267631245918,0.0267934130606336,0.0178166312799947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0186963326260803,NaN,NaN,NaN,NaN,NaN,0.0172338495094345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0356771171298398,NaN,NaN,0.0167659937087114,NaN,NaN,0.0206146931001904,0.0213234126845739,0.0222804641828509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0103611435578574,NaN,NaN,NaN,NaN,NaN,0.0122627077130167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0478319694612821,0.0250229451343259,NaN,0.0380623367190071,NaN,NaN,0.0427863299875891,0.028352149573117,0.0382342298478746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0164933384676518,NaN,NaN,NaN,NaN,NaN,0.0163537544189388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0434136780919105,0.0124736151365998,NaN,0.0307746742383892,NaN,NaN,0.0308533275462869,0.0494851138089864,0.0367025268817398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0190778251461266,NaN,NaN,NaN,NaN,NaN,0.032477266244316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0921353665254326,0.0226164791359901,NaN,0.0328181277385589,NaN,NaN,0.0235043072047582,0.0506928576011481,0.0146840153146128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0217646848588525,NaN,NaN,NaN,NaN,NaN,0.0175389548714488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.0306969850641664,0.0177025229416333,NaN,0.157486635113731,NaN,NaN,0.015161190509966,0.0137474249709883,0.0202758730172998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0550300680647516,NaN,NaN,NaN,NaN,NaN,0.0251033566827831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
