Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,NaN,0.0188370402499679,0.0169380189764622,NaN,NaN,NaN,0.0429808286648413,0.0151223242811968,NaN,NaN,NaN,NaN,NaN,NaN,0.0306213029164291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139347078802081,NaN,NaN,NaN,0.0126077508774317,NaN,0.0290625221504128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,NaN,NaN,0.0214733308889208,NaN,NaN,NaN,0.0685872653267253,0.0109121080975277,NaN,NaN,NaN,NaN,NaN,NaN,0.212520311096937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0294950324144391,NaN,NaN,NaN,0.0223528641190928,NaN,0.0264015351313726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,NaN,NaN,0.0248448217896385,NaN,NaN,NaN,0.0275682974689557,0.0126216127314581,NaN,NaN,NaN,NaN,NaN,NaN,0.147189841770816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0201771384068775,NaN,NaN,NaN,0.0521529424901608,NaN,0.0194252190286712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,NaN,NaN,0.0347318437473081,NaN,NaN,NaN,0.0504734200689192,0.0693937832448525,NaN,NaN,NaN,NaN,NaN,NaN,0.0240656360528554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0244831677997588,NaN,NaN,NaN,0.0102184012709883,NaN,0.0285965758705215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0950188985611519,NaN,NaN,NaN
1501,NaN,0.030004082536024,NaN,0.0301484615613075,NaN,NaN,NaN,0.0529478047242952,0.0199794019736724,NaN,NaN,NaN,NaN,NaN,NaN,0.0203338915128185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0170022063968695,NaN,NaN,NaN,0.030597140996359,NaN,0.0331103189508088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.211075668789039,NaN,NaN,NaN
1801,NaN,0.0723908215124407,NaN,0.0113739072728356,NaN,NaN,0.0736736862036539,0.182316002779584,0.0277580083099279,NaN,NaN,NaN,NaN,NaN,NaN,0.032121446511634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0135639331768186,NaN,NaN,NaN,0.0362102457190732,NaN,0.0392000324999006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.127484494989161,NaN,NaN,NaN
2101,NaN,0.0614996816620371,NaN,0.0123031968349834,NaN,NaN,0.046390705413073,0.072628716949238,0.016069566391962,NaN,NaN,NaN,NaN,NaN,NaN,0.0453567310782728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0125408419309338,NaN,NaN,NaN,0.0205591079693223,NaN,0.0230394495865786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0775538109125887,NaN,NaN,NaN
2401,NaN,0.0423759757216576,NaN,0.0324557605894016,NaN,NaN,0.0387683337140758,0.0678850776004079,0.0770435054608263,NaN,NaN,NaN,NaN,NaN,NaN,0.00915381241004133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0286835286382133,NaN,NaN,NaN,NaN,NaN,0.0434909433211213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.253268173615253,NaN,NaN,NaN
2701,NaN,0.0134327248698264,NaN,0.00769615595272767,NaN,NaN,0.0196868025942287,0.0712208110132748,0.0781932962011914,NaN,NaN,NaN,NaN,NaN,NaN,0.0264790217687561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0118933784857549,NaN,NaN,NaN,NaN,NaN,0.0172573581628634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0140797898168182,NaN,NaN,NaN
3001,NaN,0.0263542885424719,NaN,0.024085942674168,NaN,NaN,0.0240377560414522,0.0479551782754195,0.0211039565090999,NaN,NaN,NaN,NaN,NaN,NaN,0.0294991065954511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0266777238235012,NaN,NaN,NaN,NaN,NaN,0.0377386890426188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00438024456779544,NaN,NaN,NaN
3301,NaN,0.0188080499425787,NaN,0.037002079418171,NaN,NaN,0.0127266213826694,NaN,0.047255959349717,NaN,NaN,NaN,NaN,NaN,NaN,0.0262270694122818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0196555786169807,NaN,NaN,NaN,NaN,NaN,0.0244599171293006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01358015400421,NaN,NaN,NaN
3601,NaN,0.0398032961342225,NaN,0.00816291942246336,NaN,NaN,0.0105558311424627,0.0293901530631006,0.0191966384662688,NaN,NaN,NaN,NaN,NaN,NaN,0.2850595643145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0203998346323288,NaN,NaN,NaN,NaN,NaN,0.0457296056053551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0241855855167096,NaN,NaN,NaN
3901,NaN,0.0507792255953719,NaN,0.0306746562776627,NaN,NaN,0.0137399644568702,0.167451361283677,0.0231720711078554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0268417281018754,NaN,NaN,NaN,NaN,NaN,0.0254084052983097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023537489462538,NaN,NaN,NaN
4201,NaN,0.0358593955982318,NaN,0.0259506416200948,NaN,NaN,0.0337507192024029,0.0275518461585338,0.175275922963891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0387785744437301,NaN,NaN,NaN,NaN,NaN,0.0165212550814875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0168271545506814,NaN,NaN,NaN
4501,0.0349948094374535,0.0532495794401851,NaN,0.0220011499239359,NaN,NaN,0.053360379028327,0.133273954600171,0.143272438487111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00827530092789673,NaN,NaN,NaN,NaN,NaN,0.0313862240021417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0144967713355593,NaN,NaN,NaN
4801,0.0829380241422395,0.0337470509549432,NaN,0.0265035896596567,NaN,NaN,0.0455693663265345,0.0279622632962366,0.0301869119209324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0383461532354401,NaN,NaN,NaN,NaN,NaN,0.026279769139495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011297869107662,NaN,NaN,NaN
5101,0.00613412379031592,0.019269397103282,NaN,0.0124728761762148,NaN,NaN,0.0239009528231844,0.0308823483838226,0.0258388579551193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00688588687541374,NaN,NaN,NaN,NaN,NaN,0.0259448937180201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0249247337463302,NaN,NaN,NaN
5401,0.02741497776364,0.0427727820824152,NaN,0.0304010319449467,NaN,NaN,0.0354564979483084,0.0372823013876794,0.0353051016227089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05630472900263,NaN,NaN,NaN,NaN,NaN,0.0634056789428369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0232323759822958,NaN,NaN,NaN
5701,0.0540590864365768,0.0263427180593082,NaN,0.0356969221765353,NaN,NaN,0.0200983868876972,0.00829652415338177,0.0411521793833775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0323203054375444,NaN,NaN,NaN,NaN,NaN,0.0361440046122614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00901426446984143,NaN,NaN,NaN
6001,0.035061235461658,0.0534649854193349,NaN,0.0354849179479029,NaN,NaN,NaN,0.00979035484187861,0.0249191497061256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0213477338150947,NaN,NaN,NaN,NaN,NaN,0.0202235447817326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0234322816306804,NaN,NaN,NaN
6301,0.0464559924748718,0.0417946854082348,NaN,0.0247006157735956,NaN,NaN,0.0368022735584548,0.34121265450477,0.018747655694102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0448428452323943,NaN,NaN,NaN,NaN,NaN,0.0314758287931606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0239514970023523,NaN,NaN,NaN
6601,0.0572976505436226,0.0228315264641449,NaN,0.0412093838629958,NaN,NaN,0.0458491784226989,0.258348871744927,0.0288077449864294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0229134239696638,NaN,NaN,NaN,NaN,NaN,0.0286132642832877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0182389932465658,NaN,NaN,NaN
6901,0.0243539883685752,0.032951038901601,NaN,NaN,NaN,NaN,0.0286597834054356,0.018931397228548,0.0135494039396245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0276637062545825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.197307925999072,NaN,NaN,NaN,NaN,NaN,0.0533466259782557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111622960810093,NaN,NaN,NaN
7201,0.0390691643732413,0.0351682400511788,NaN,0.0397904978723828,NaN,NaN,0.0226583397932826,0.0172499529929734,0.0127588979886979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0373342503923262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0730968284674558,NaN,NaN,0.0150877987808152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100222919228499,NaN,NaN,NaN
7501,0.0357756695720514,0.0143611515835737,NaN,0.0646312909430199,NaN,NaN,0.0297042934930642,0.0131278868909607,0.0280951403088251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0204659359519425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0257372877492152,NaN,NaN,0.0391334342296721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037405803264446,NaN,NaN,NaN
7801,0.0260265280440861,0.0202252075000955,NaN,0.177397886715712,NaN,NaN,0.0460286186838171,0.0129741212076707,0.0264273983091021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0159329362353201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0487588710977096,NaN,NaN,0.0427083359771924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0474837291143943,NaN,NaN,NaN
