Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0400002260180914,0.0137117819935497,0.0274292239895487,0.0144138192817184,NaN,NaN,NaN,0.0250793832422683,0.0286946439276532,NaN,NaN,NaN,NaN,NaN,NaN,0.0431809148165752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0201826894308315,NaN,NaN,NaN,0.00614256265536178,NaN,0.0163249039072581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0181920376550093,0.0199822939227504,0.0167745528626595,0.0146879828539307,NaN,NaN,NaN,0.0425230584553929,0.0498109547715659,NaN,NaN,NaN,NaN,NaN,NaN,0.027959302085896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0178200476013242,NaN,NaN,NaN,0.0155506333983819,NaN,0.012088215060857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0235303169380978,0.0404049289706611,0.0207658094606603,0.0172740812481818,NaN,NaN,NaN,0.0288620050755095,0.0343048633483231,NaN,NaN,NaN,NaN,NaN,NaN,0.0174781875471168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023893399878841,NaN,NaN,NaN,0.193135236036401,NaN,0.0322573187542603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0425576237416821,0.0197413764163729,0.0154325144032714,0.0215461572994329,NaN,NaN,NaN,0.0377492724640676,0.0269215716595673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00784200184350232,NaN,NaN,NaN,0.0233237768041241,NaN,0.0191204271128353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1501,NaN,0.0311667305515179,0.00901685017551641,0.0119358937063399,NaN,NaN,NaN,0.0292837265275807,0.0237416432324761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0320424096677256,NaN,NaN,NaN,0.0233861356673936,NaN,0.0277266176830669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0298716830061745,NaN,NaN,NaN
1801,0.0539786808457658,0.0259079316028479,0.0100765194108705,0.0161719571425703,NaN,NaN,NaN,0.0360671122179251,0.0112374253108954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0610649683400695,NaN,NaN,NaN,0.0299898483824744,NaN,0.05540678821024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0347464759247725,NaN,NaN,NaN
2101,0.0594275560056337,0.0170209675319536,0.020957444333322,0.0216269870356151,NaN,NaN,NaN,0.0484889440704274,0.0204242359130603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00863181996818174,NaN,NaN,NaN,NaN,NaN,0.0537501907091266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0175105483428345,NaN,NaN,NaN
2401,0.0108359644863382,0.00935822217463187,0.0139448443551816,0.0190061654060742,NaN,NaN,NaN,0.0377245622719077,0.0144253342462029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020777408177787,NaN,NaN,NaN,NaN,NaN,0.0122418219686703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021667282684366,NaN,NaN,NaN
2701,0.0259892403899846,0.0134580868011798,0.0568288539414296,0.0499744861427009,NaN,NaN,0.006017798932942,0.0414888833365638,0.0332654882791523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0393727082035178,NaN,NaN,NaN,NaN,NaN,0.0221459018646481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0233412366317234,NaN,NaN,NaN
