Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0407944190284726,0.00825506303985749,0.0217634389535814,NaN,NaN,NaN,0.0329200665457687,0.0476306757403665,NaN,NaN,NaN,NaN,NaN,NaN,0.023696787706994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131602894324633,NaN,NaN,NaN,0.0257054238303366,NaN,0.0289832923959542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0279131559628512,0.0118488991239772,0.0420924453207149,NaN,NaN,NaN,0.0183683196797351,0.0525119973253233,NaN,NaN,NaN,NaN,NaN,NaN,0.0160703413300824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0470344925174006,NaN,NaN,NaN,0.0422877251935153,NaN,0.0225558292739005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,0.059926583084419,0.0163813728518013,0.0289728217761457,NaN,NaN,NaN,0.0457330842782215,0.0521526368214415,NaN,NaN,NaN,NaN,NaN,NaN,0.0214192889505892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0347995545995702,NaN,NaN,NaN,0.0175471439605421,NaN,0.0360523524270405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,0.0859247682930674,NaN,0.0148848549960296,NaN,NaN,0.0403743449962746,0.040013220681698,0.0333047759560727,NaN,NaN,NaN,NaN,NaN,NaN,0.0220533387776772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0334157605129883,NaN,NaN,NaN,NaN,NaN,0.0213887577148535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,0.0453908218095915,NaN,0.0184974833904646,NaN,NaN,0.0433418573915282,0.0663769806947803,0.0290246320892718,NaN,NaN,NaN,NaN,NaN,NaN,0.0543064985818491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0508197318634444,NaN,NaN,NaN,NaN,NaN,0.0555771215768938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,0.0419975723638961,NaN,0.0183327086548701,NaN,NaN,0.0292711814833202,0.050122673798867,0.0131269617288116,NaN,NaN,NaN,NaN,NaN,NaN,0.0350565903628012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0177106443011799,NaN,NaN,NaN,NaN,NaN,0.0243759234881083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,0.0129482095463244,NaN,0.0192503365924048,NaN,NaN,0.0217801208182792,0.0232485585083901,0.0294363623242249,NaN,NaN,NaN,NaN,NaN,NaN,0.0507100623077201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0507063066012666,NaN,NaN,NaN,NaN,NaN,0.0275662649626599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0342782275766391,0.0131079146819757,NaN,0.0217289471616013,NaN,NaN,0.0685540835593488,0.0472057817010616,0.041065574051515,NaN,NaN,NaN,NaN,NaN,NaN,0.050492302343876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0509842914275254,NaN,NaN,NaN,NaN,NaN,0.0518562305272707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0050406761281371,0.0514234770972677,NaN,0.0333621592811706,NaN,NaN,0.0976524289335088,0.0234718363860965,0.0400630190248284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0167302597962355,NaN,NaN,NaN,NaN,NaN,0.0515561935615382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
