Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0159554841210516,0.0149999050238134,0.00895594116031995,NaN,NaN,NaN,0.0193537082341098,0.0234077508856942,NaN,NaN,NaN,NaN,NaN,NaN,0.0266713368631334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131569361111744,NaN,NaN,NaN,0.0967147568339342,NaN,0.0353988707098945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0144447326269972,0.00724018369923498,0.0224033111588102,NaN,NaN,NaN,0.0352542934200357,0.0103315494090395,NaN,NaN,NaN,NaN,NaN,NaN,0.00935050731721894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0168777750557836,NaN,NaN,NaN,0.0865315673315689,NaN,0.0099551746076952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0206221694695084,0.0108221275158123,0.000768440591626762,0.0216927136391016,NaN,NaN,NaN,0.0335172471953478,0.0136921859087159,NaN,NaN,NaN,NaN,NaN,NaN,0.0341847165016904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0140894481247544,NaN,NaN,NaN,0.0458706575985065,NaN,0.0177379158112743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0217262665687443,0.0672202962306479,0.015989064259118,0.0208506272185334,NaN,NaN,NaN,0.0239282129469661,0.0315188830396197,NaN,NaN,NaN,NaN,NaN,NaN,0.00723089392422535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0232380605654939,NaN,NaN,NaN,0.0171994430287565,NaN,0.00670534821927625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0276304372013414,0.0390752726971648,0.010380857863508,0.014517231223651,NaN,NaN,NaN,0.0470080261949713,0.0314153832059622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00799769844268039,NaN,NaN,NaN,NaN,NaN,0.0216270024134618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0411271644702267,0.0698180772965681,0.0470127944926488,0.0165579337546665,NaN,NaN,NaN,0.0326928258388482,0.0191245161174895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0180073631332637,NaN,NaN,NaN,NaN,NaN,0.0211103701319153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,0.00606565682177299,0.0127827198972762,0.0126809863139074,NaN,NaN,0.0132581750721082,0.0327308040978968,0.0170081798913446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0217928288943568,NaN,NaN,NaN,NaN,NaN,0.0302278765900738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0615010753247835,0.0466121435056842,0.209382622500236,0.0182585749788543,NaN,NaN,0.0286408140861232,0.0453705953115641,0.00210577478004536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035414065318277,NaN,NaN,NaN,NaN,NaN,0.0187930445054974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0272286774792896,0.0154966376830409,0.0751774108689183,0.0649281372924605,NaN,NaN,0.0295662272740103,0.0330151778413216,0.00953292844926295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149118170483575,NaN,NaN,NaN,NaN,NaN,0.0132896479829962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0133162748122328,0.0253298268361607,NaN,0.00534395808208282,NaN,NaN,0.0187409481693406,NaN,0.0211924901352557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00672928900280272,NaN,NaN,NaN,NaN,NaN,0.0259666840961651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.00860437618969627,0.0274687947240217,NaN,0.0272230030806758,NaN,NaN,0.03716365857173,0.0615295959281282,0.0069067100672936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0182614948625391,NaN,NaN,NaN,NaN,NaN,0.00841525713691124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
