Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0454936241671493,0.0207878110401764,0.0132016514704102,NaN,NaN,NaN,0.031073960256792,0.0275266510468753,NaN,NaN,NaN,NaN,NaN,NaN,0.0326576248199863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0175158776472386,NaN,NaN,NaN,0.0539652054300895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191662931353062,NaN,0.0256195158849414,NaN,NaN,0.0333599380011505,NaN,NaN,0.021004344911334,0.0137445257365304,0.016238098834358,NaN,NaN,NaN,0.00833835490794868,NaN,0.0330866387464583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0222933476611063,0.0231854129768542
601,NaN,0.024274258529526,0.00716812417578372,0.0121357243326663,NaN,NaN,NaN,0.00689056297695686,0.0248173861521163,NaN,NaN,NaN,NaN,NaN,NaN,0.0135099819056349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00878012881752125,NaN,NaN,NaN,0.0228803682699643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0178467736988855,NaN,0.0276645722660125,NaN,NaN,0.0307094454963934,NaN,NaN,0.0123221673322988,0.0124735590840482,0.0183154719379419,NaN,NaN,NaN,0.029787364867099,NaN,0.0124217020368654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0136480255039053,0.0218935735791064
901,NaN,0.0146061092951219,0.02165669542045,0.0278786397311669,NaN,NaN,NaN,0.0169205793685196,0.0258042541254797,NaN,NaN,NaN,NaN,NaN,NaN,0.0250291278269796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0243350344314696,NaN,NaN,NaN,0.0477139931809279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00463961794912055,NaN,0.019566576962013,NaN,NaN,0.0263641760462093,NaN,NaN,0.0326538002933963,0.0369108728822733,0.0124285675152488,NaN,NaN,NaN,0.0107173275663284,NaN,0.0231754360617188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00948036202954558,0.0223059299580851
1201,NaN,0.0211028109245739,0.0159166695988017,0.00506717403939787,NaN,NaN,NaN,0.0505778334667193,0.0199534337495199,NaN,NaN,NaN,NaN,NaN,NaN,0.010348207146585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111450068783128,NaN,NaN,NaN,0.0297536291528709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01817428504057,NaN,0.028858663545106,NaN,NaN,0.017315227551384,NaN,NaN,0.0142591249266119,0.0138504097985632,0.0105066559101732,NaN,NaN,NaN,0.00927278416684165,NaN,0.018909822708448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0103479045912487,0.0109404234481011
1501,NaN,0.0313551937887888,NaN,0.0218438890530296,NaN,NaN,0.0136319220400305,0.0237454861115663,0.0219624585263803,NaN,NaN,NaN,NaN,NaN,NaN,0.0226088299646957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0317745482259511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010504327091589,NaN,0.0190945610743553,NaN,NaN,0.026194997704287,NaN,NaN,0.0251022182241076,NaN,0.0156708005211841,NaN,NaN,NaN,0.0105314368624481,NaN,0.0111039033012941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.124527769299166,0.022643247121206
1801,NaN,0.0125474853063204,NaN,0.0302500778980735,NaN,NaN,0.0309596747822396,0.0241441506654616,0.0332720268519271,NaN,NaN,NaN,NaN,NaN,NaN,0.0155818385949181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0238946289184041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015913998624408,NaN,0.0161335572169684,NaN,NaN,0.0150215178080336,NaN,NaN,0.0259517744511224,NaN,0.0308199884293263,NaN,NaN,NaN,0.0149918088033022,NaN,0.0254903928959899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0267287460600353,0.0184251192781742
2101,0,0.0308678622528399,NaN,0.00952671334571527,NaN,NaN,0.015218607207797,0.0281199424700339,0.0196357120052242,NaN,NaN,NaN,NaN,NaN,NaN,0.0400476281476377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01035273520802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0368164057854516,NaN,0.00741109193135637,NaN,NaN,0.0324043828401197,NaN,NaN,0.0153047065023934,NaN,0.0169107228010168,NaN,NaN,NaN,0.00572072059096433,NaN,0.0236518385130597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012316858955532,0.030459140853537
2401,0.0384860234646389,0.0113805074118918,NaN,0.0165039444161562,NaN,NaN,0.0401719324795458,0.0160072014679816,0.0189439233156048,NaN,NaN,NaN,NaN,NaN,NaN,0.00685927658916475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0261358968273866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0112402017522823,NaN,0.039306419531451,NaN,NaN,0.0250493169274222,NaN,NaN,0.0128005256436574,NaN,0.0163940730414743,NaN,NaN,NaN,0.0144579568016179,NaN,0.0206961610533678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0241802038400781,0.024887699757675
2701,0.00791649117560205,0.0200513750032805,NaN,0.0163430860762049,NaN,NaN,0.0160578781423969,0.0557937182260832,0.0103303249867893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0638304041536388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020075401159954,NaN,0.0784370951693191,NaN,NaN,0.0345589523490986,NaN,NaN,0.0185121418683895,NaN,0.0216721114684879,NaN,NaN,NaN,0.0324516449574453,NaN,0.00963303573083182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0146869573107608,0.0103565252078036
3001,0.0336292261858326,0.0147057606037545,NaN,0.0127718813927934,NaN,NaN,0.0389060013198347,0.0357516805177353,0.0182183969264844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0190915822639904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0427242725447308,NaN,0.03109924427222,NaN,NaN,0.0208613109588983,NaN,NaN,0.0150972162379822,NaN,0.0348188958179553,NaN,NaN,NaN,0.00707661838023089,NaN,0.0458914854058355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0138535480733927,0.0233509089867444
3301,0.0252709808445048,0.0171536028594426,NaN,0.0372897111717091,NaN,NaN,0.0216194320014862,0.00966649502983324,0.0216833309675491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0110357433147774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0368659215445226,NaN,0.0256095289209884,NaN,NaN,0.0464207915273607,NaN,NaN,0.00985053585548816,NaN,0.0302659823368872,NaN,NaN,NaN,0.0140718654428654,NaN,0.0375200156327802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0219946688936445,0.0109026483445097
3601,0.0466994858620126,0.0182017208995368,NaN,0.0195570392759232,NaN,NaN,0.0321063193803264,0.033430188362117,0.0336413664032543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0146541400069816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0196657437950439,NaN,0.0217951998671579,NaN,NaN,0.0367644564754548,NaN,NaN,0.0130548540563637,NaN,NaN,NaN,NaN,NaN,0.00975073222888696,NaN,0.0135486766738431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00879005858213949,0.0140473727952488
