Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0228304814447566,NaN,NaN,NaN,NaN,NaN,0.058101988625889,0.012977816514089,NaN,NaN,NaN,NaN,NaN,NaN,0.0431297080824217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0283128616633129,NaN,NaN,NaN,0.0198446040357713,NaN,0.0242877589816321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,0.0207661388071217,NaN,0.0290561992410298,NaN,NaN,NaN,0.0254548267638161,0.00530940173059773,NaN,NaN,NaN,NaN,NaN,NaN,0.0216130897824001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0415136711514056,NaN,NaN,NaN,0.0298563086196197,NaN,0.031934550401938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,0.0449081580621618,NaN,0.045677744162833,NaN,NaN,0,0.045796238364703,0.0231169545876563,NaN,NaN,NaN,NaN,NaN,NaN,0.00922211579766171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0125059566272947,NaN,NaN,NaN,0.017873257132345,NaN,0.0158440300919865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,0.0157618292071869,NaN,0.0259420196353429,NaN,NaN,0.0238602851942251,0.0553844442148452,0.028447826031022,NaN,NaN,NaN,NaN,NaN,NaN,0.0273753400936409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00893774775828762,NaN,NaN,NaN,0.048990333592927,NaN,0.00893601651779344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,0.0195806393426638,NaN,0.031995299498357,NaN,NaN,0.0290261054762133,0.0178818487828596,0.012129526350622,NaN,NaN,NaN,NaN,NaN,NaN,0.0194056283500234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0200141625295756,NaN,NaN,NaN,0.00561669836436718,NaN,0.0361646574523049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,0.0277190677034166,NaN,0.124798196501473,NaN,NaN,0.0500594717289285,0.10904761379669,0.0279044156795975,NaN,NaN,NaN,NaN,NaN,NaN,0.0339587947344343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00989991427616246,NaN,NaN,NaN,NaN,NaN,0.0135633124107072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,0.0233361699651712,NaN,0.0329359423975259,NaN,NaN,0.0109255649335903,0.0467879555817574,0.0245916577800293,NaN,NaN,NaN,NaN,NaN,NaN,0.0203211197086638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0240512459073173,NaN,NaN,NaN,NaN,NaN,0.033554343077999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.111644216398624,NaN,NaN,NaN
2401,NaN,0.0388337455489686,NaN,0.0293157597015236,NaN,NaN,0.0505639762648286,0.0970475081850781,0.0300557273591208,NaN,NaN,NaN,NaN,NaN,NaN,0.0146433231269317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0147751887983797,NaN,NaN,NaN,NaN,NaN,0.0133682352493425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0126978582668928,NaN,NaN,NaN
2701,NaN,0.027863981872444,NaN,0.0169636170116532,NaN,NaN,NaN,0.0269051435229827,0.0100945482992014,NaN,NaN,NaN,NaN,NaN,NaN,0.0150650575904555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0163012668811798,NaN,NaN,NaN,NaN,NaN,0.0360183868203491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0128378013311357,NaN,NaN,NaN
3001,0.00663840466305944,0.0104110780391011,NaN,0.11240017502982,NaN,NaN,0.0277951229222898,0.067522517960612,0.0265078608624025,NaN,NaN,NaN,NaN,NaN,NaN,0.0268088727114822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0108960536446564,NaN,NaN,NaN,NaN,NaN,0.0318493291084457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00760043557335711,NaN,NaN,NaN
3301,0.0094730858881749,0.0163635203257785,NaN,0.0244079688329641,NaN,NaN,0.0229179270185547,0.0349438537905089,0.0380206961864159,NaN,NaN,NaN,NaN,NaN,NaN,0.0192635512115479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0225020267356334,NaN,NaN,NaN,NaN,NaN,0.0159756233664602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0438024998808045,NaN,NaN,NaN
3601,0.0180471354838577,0.0086785929755204,NaN,0.0610624450137489,NaN,NaN,0.0278727115276932,0.00693134003091716,0.0252435177607584,NaN,NaN,NaN,NaN,NaN,NaN,0.043604185498634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0303734998643021,NaN,NaN,NaN,NaN,NaN,0.0363897268617117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0127843843123334,NaN,NaN,NaN
3901,0.0155777695723513,0.0125634194396184,NaN,0.00577381752685971,NaN,NaN,0.016222914240535,0.0266970389668189,0.0193569085659191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0326352755142441,NaN,NaN,NaN,NaN,NaN,0.0383768631241379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0359860285923662,NaN,NaN,NaN
4201,0.0231826027280349,0.00484333319175927,NaN,0.00634542862307741,NaN,NaN,0.0483851135678051,0.0592855866257492,0.0200815973383608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0549977572754143,NaN,NaN,NaN,NaN,NaN,0.018549268788687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0170771299153219,NaN,NaN,NaN
4501,0.0458329344622812,0.0464371709929572,NaN,0.0255107826425496,NaN,NaN,0.044464199092004,0.0315955109804473,0.0326543437675088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0733951868338378,NaN,NaN,NaN,NaN,NaN,0.0332966065866384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00728245629511632,NaN,NaN,NaN
