Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,NaN,NaN,0.0168132542059962,NaN,NaN,NaN,0.0147116764740239,0.00588524430843748,NaN,NaN,NaN,NaN,NaN,NaN,0.0211606328296256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0203732800931037,NaN,NaN,NaN,0.0290542725865052,NaN,0.0264922948280815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0236284447913344,NaN,NaN,NaN
601,NaN,0.0347343744546854,NaN,0.0235199060834563,NaN,NaN,0.0727894228594947,0.0582651885878295,0.0349075366420053,NaN,NaN,NaN,NaN,NaN,NaN,0.0305656725496191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0303836818895177,NaN,NaN,NaN,0.065131721916628,NaN,0.048553109946194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0278136336866478,NaN,NaN,NaN
901,NaN,0.0364437475563607,NaN,0.019114262260949,NaN,NaN,0.0837821898212641,0.0234844591845917,0.0160366219799011,NaN,NaN,NaN,NaN,NaN,NaN,0.0178051161690228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00659846770214108,NaN,NaN,NaN,0.0328639534290533,NaN,0.0182751251721622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0107248065789374,NaN,NaN,NaN
1201,NaN,0.0452666916795553,NaN,0.0342937487722246,NaN,NaN,0.0395818722216832,0.0666675203317826,0.00925600452803865,NaN,NaN,NaN,NaN,NaN,NaN,0.0394009986804445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0214298652878198,NaN,NaN,NaN,NaN,NaN,0.0154907802126086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03611541218735,NaN,NaN,NaN
1501,NaN,0.0404639870398378,NaN,0.0197173833490686,NaN,NaN,0.0606165293428794,0.029767529257385,0.0458449527715791,NaN,NaN,NaN,NaN,NaN,NaN,0.0342912733235443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0284854907333416,NaN,NaN,NaN,NaN,NaN,0.0638936751772712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0176814655689103,NaN,NaN,NaN
1801,NaN,0.0319262797254571,NaN,0.0046770364185774,NaN,NaN,0.0474549969703785,0.0228554571151649,0.0418732825700836,NaN,NaN,NaN,NaN,NaN,NaN,0.0453486211363987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131561058643779,NaN,NaN,NaN,NaN,NaN,0.0442934102616125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0265892743863047,NaN,NaN,NaN
2101,NaN,0.00844720797035345,NaN,0.0184758084871428,NaN,NaN,0.0518643854129925,0.0195902416296267,0.0104740145952802,NaN,NaN,NaN,NaN,NaN,NaN,0.0181325235309068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0158389815458244,NaN,NaN,NaN,NaN,NaN,0.0302956213356207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0176359784898424,NaN,NaN,NaN
2401,NaN,0.0526525342545384,NaN,0.0266501873704612,NaN,NaN,0.0313264028970023,0.0525021552994515,0.0272266965556723,NaN,NaN,NaN,NaN,NaN,NaN,0.023632380452829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0293923126725351,NaN,NaN,NaN,NaN,NaN,0.0516179008876841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0230362596123712,NaN,NaN,NaN
2701,NaN,0.0223359586687246,NaN,0.0294066433600661,NaN,NaN,0.0644064373704553,0.0333477117223447,0.0192235789538582,NaN,NaN,NaN,NaN,NaN,NaN,0.0706857020410971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0138268753752126,NaN,NaN,NaN,NaN,NaN,0.0863277958544376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114068727962259,NaN,NaN,NaN
