Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,25.1859943118379,64.120741989157,20.5516618933274,NaN,NaN,NaN,22.679119629999,21.1837450491482,NaN,NaN,NaN,NaN,NaN,NaN,22.8320806465878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9262004293362,NaN,NaN,NaN,30.9889327896497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.248832441101823,NaN,21.456297930624,NaN,NaN,25.16447779787,NaN,NaN,33.5232297770513,127.158522523121,34.472428598209,NaN,NaN,NaN,89.9539857039355,NaN,41.7718311573145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.84596810193779,18.8257204844807
601,NaN,26.5272539204363,64.4818815107365,21.9647447382629,NaN,NaN,NaN,24.2903384899632,22.4251168943459,NaN,NaN,NaN,NaN,NaN,NaN,24.3471417124612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.2594308259031,NaN,NaN,NaN,32.6260038537268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.02694090978808,NaN,23.2984839507417,NaN,NaN,27.1852286313879,NaN,NaN,35.1649161099525,124.307419896399,35.7072751307577,NaN,NaN,NaN,90.0751101235902,NaN,43.4382146607446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1546867809394,20.1639179097541
901,NaN,27.8958981139579,64.9620771089336,23.5392429283925,NaN,NaN,NaN,25.7043980123375,23.9138998191253,NaN,NaN,NaN,NaN,NaN,NaN,25.7713363927971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6356547513432,NaN,NaN,NaN,34.337214981449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.33084466973209,NaN,24.8349267044499,NaN,NaN,28.8340775556966,NaN,NaN,37.0183991780619,121.641595024271,36.9287838892789,NaN,NaN,NaN,90.2610133183341,NaN,45.1003575552962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.6603265422542,21.6640067704035
1201,NaN,29.5636514251783,65.3195230175365,25.0183976448823,NaN,NaN,NaN,27.0903907610589,25.3824928347087,NaN,NaN,NaN,NaN,NaN,NaN,27.4547944050866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.0578535557295,NaN,NaN,NaN,35.9742152868192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.28971246419027,NaN,26.3269523091484,NaN,NaN,30.2041364935248,NaN,NaN,38.2234273473678,119.113517611532,38.1325387612927,NaN,NaN,NaN,90.3856008717838,NaN,46.7302133179741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.0587318086737,22.8774663221407
1501,27.773932417809,31.0323808592153,NaN,26.4916994683504,NaN,NaN,NaN,28.6976900255382,27.092492103069,NaN,NaN,NaN,NaN,NaN,NaN,29.3165936739157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5816604522882,NaN,NaN,NaN,37.6396517601845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5042116386248,NaN,27.9765046917234,NaN,NaN,31.8632407875765,NaN,NaN,39.657635279024,116.5956755928,39.349250570224,NaN,NaN,NaN,90.1368211624136,NaN,48.401188022996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.2705038882601,24.3967115758851
1801,29.2738647569755,32.6393365872166,NaN,27.9384588157741,NaN,NaN,NaN,30.1478867430607,28.2475945069061,NaN,NaN,NaN,NaN,NaN,NaN,30.977534514757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.8797156575088,NaN,NaN,NaN,39.548534801973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9674326316719,NaN,29.7381931872366,NaN,NaN,33.7872788101384,NaN,NaN,41.1714028007782,114.121073616131,40.4295965965842,NaN,NaN,NaN,90.1170420076176,NaN,49.9986569526492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7547759818713,25.917836859347
2101,30.6909886275692,34.3962107246695,NaN,29.3611418518475,NaN,NaN,NaN,31.6437697892969,29.8785100837108,NaN,NaN,NaN,NaN,NaN,NaN,32.6186611670954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.1709016897421,NaN,NaN,NaN,41.2715137965803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.16391836919733,NaN,31.3142032258257,NaN,NaN,35.5329469096244,NaN,NaN,42.6025962206582,NaN,41.4437414079485,NaN,NaN,NaN,89.829849544068,NaN,51.4669970636833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.0783283125764,27.2590738560147
2401,32.307001805044,35.9828406834909,NaN,30.6818670203598,NaN,NaN,27.4875520591692,32.8242518183229,31.3143681498154,NaN,NaN,NaN,NaN,NaN,NaN,34.5889668488838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.4859396227185,NaN,NaN,NaN,43.0921420318346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.48290490400238,NaN,32.9454982058338,NaN,NaN,37.0810506475021,NaN,NaN,44.1045550605792,NaN,42.6229940515128,NaN,NaN,NaN,89.6123424646238,NaN,52.7625204399517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4982837824981,28.6008838985044
2701,33.9012880946505,37.2514619079356,NaN,32.2380135466688,NaN,NaN,28.8759709045725,34.0224697459243,32.7956063713783,NaN,NaN,NaN,NaN,NaN,NaN,36.4650155908133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.8762045202955,NaN,NaN,NaN,44.620130584257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.58227052779044,NaN,34.6367591678346,NaN,NaN,39.0352585885345,NaN,NaN,45.5786809932867,NaN,43.8017403490824,NaN,NaN,NaN,89.2779374826125,NaN,54.2210645596266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.7122868810758,29.7183441024179
