Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,22.6631468911746,14.7994145479232,17.44681983261,NaN,NaN,NaN,16.1124029708287,16.3291999626401,NaN,NaN,NaN,NaN,NaN,NaN,19.0357954644758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1774881482299,NaN,NaN,NaN,26.7396805295528,NaN,-27.187109694973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,24.0428684452458,15.9561471935137,18.5559044782852,NaN,NaN,NaN,17.7173182099677,17.668187658556,NaN,NaN,NaN,NaN,NaN,NaN,20.5940444624213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5345552576527,NaN,NaN,NaN,28.5223686226215,NaN,-25.72299759879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,25.2263278369073,17.5257686481838,19.9964040646615,NaN,NaN,NaN,19.3327003840195,19.1320977543851,NaN,NaN,NaN,NaN,NaN,NaN,22.053966355861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.0538858048322,NaN,NaN,NaN,30.2811439814429,NaN,-24.2684834255486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,NaN,19.0420746852726,21.4839233764613,NaN,NaN,NaN,20.6416376800004,20.6355997271611,NaN,NaN,NaN,NaN,NaN,NaN,23.8867193319654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.3875124250851,NaN,NaN,NaN,32.1052142255351,NaN,-22.7974592547525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,28.4655847426875,NaN,22.9231010531735,NaN,NaN,NaN,22.015581259825,21.7733154855038,NaN,NaN,NaN,NaN,NaN,NaN,25.7258808564626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.7576795692226,NaN,NaN,NaN,33.9875670281591,NaN,-20.9949387511018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,28.5934948878344,29.9985344440321,NaN,24.3087639052281,NaN,NaN,23.5125056363463,23.3049010600154,23.0754254430417,NaN,NaN,NaN,NaN,NaN,NaN,27.2422582397054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.2605406875949,NaN,NaN,NaN,36.0781292830157,NaN,-19.1737844223983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,30.0909177468752,31.3846875593974,NaN,25.8799405615762,NaN,NaN,24.6069575508641,24.5775196423732,24.5987553785969,NaN,NaN,NaN,NaN,NaN,NaN,29.0948947105886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.5696326121952,NaN,NaN,NaN,NaN,NaN,-17.453904711193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,31.7228063373861,32.97552465087,NaN,27.2240275457503,NaN,NaN,25.6508598947337,26.2585836282137,25.9570824295131,NaN,NaN,NaN,NaN,NaN,NaN,30.8213830024922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.0219344410745,NaN,NaN,NaN,NaN,NaN,-15.4907151765986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,33.5032885670126,34.5150362432733,NaN,28.8160573123242,NaN,NaN,26.9406498235699,27.7197102139624,27.357400155314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.3339386898934,NaN,NaN,NaN,NaN,NaN,-13.5659602905168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
