Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,NaN,NaN,6.26811279013731,NaN,NaN,NaN,8.12092982946703,6.87897655042978,NaN,NaN,NaN,NaN,NaN,NaN,12.4073016840137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.38132977961436,NaN,NaN,NaN,21.453898760252,NaN,-29.9312094004466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.9702703435137,NaN,NaN,NaN
601,NaN,18.6949342827556,NaN,7.63699577882519,NaN,NaN,11.7424948418328,9.05096231544946,7.76045270312249,NaN,NaN,NaN,NaN,NaN,NaN,14.1675974130664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5050086855177,NaN,NaN,NaN,NaN,NaN,-29.3169805054605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.2064568218117,NaN,NaN,NaN
901,NaN,20.3652558092837,NaN,8.8755400578485,NaN,NaN,12.7212176771235,9.93577040600206,8.81412829449224,NaN,NaN,NaN,NaN,NaN,NaN,16.0519118363606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6459625216886,NaN,NaN,NaN,NaN,NaN,-28.4580583883276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23.5313751435592,NaN,NaN,NaN
1201,NaN,21.8752930791942,NaN,10.3382748530581,NaN,NaN,14.0764282505719,11.1032265723782,10.0244133925339,NaN,NaN,NaN,NaN,NaN,NaN,18.0418099213654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0095052017573,NaN,NaN,NaN,NaN,NaN,-27.5468414568615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.5414949364867,NaN,NaN,NaN
1501,NaN,23.1763157582518,NaN,11.7425172115507,NaN,NaN,14.6374968841104,12.2018924427668,11.122240598791,NaN,NaN,NaN,NaN,NaN,NaN,19.9578389720882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3599827879149,NaN,NaN,NaN,NaN,NaN,-26.551720956991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21.6561771871938,NaN,NaN,NaN
1801,NaN,24.4458860108695,NaN,13.2424954087271,NaN,NaN,15.4771375406417,13.2119142810498,12.2404211424182,NaN,NaN,NaN,NaN,NaN,NaN,21.8500061411412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8464744968575,NaN,NaN,NaN,NaN,NaN,-25.2988684750886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.7929171837867,NaN,NaN,NaN
2101,NaN,25.6794295369707,NaN,14.6820643744947,NaN,NaN,16.6845750668741,14.2148312696045,13.5486742524063,NaN,NaN,NaN,NaN,NaN,NaN,23.6191242031272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.1794429443266,NaN,NaN,NaN,NaN,NaN,-24.0755883334305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.7479215681637,NaN,NaN,NaN
2401,NaN,26.9476764816324,NaN,16.0754314615607,NaN,NaN,17.5442237540812,15.1369066172749,14.662298807828,NaN,NaN,NaN,NaN,NaN,NaN,25.3538841037684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6373312756141,NaN,NaN,NaN,NaN,NaN,-22.8032743147945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.9088184255247,NaN,NaN,NaN
2701,NaN,28.3510440631926,NaN,17.6098955684253,NaN,NaN,18.5867048952451,16.1874134766994,15.9251129463313,NaN,NaN,NaN,NaN,NaN,NaN,27.2063242430011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.9818324408893,NaN,NaN,NaN,NaN,NaN,-21.3404652788617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.0329172793522,NaN,NaN,NaN
3001,NaN,29.1363848167995,NaN,19.0647396122626,NaN,NaN,19.8728725019207,17.2189286143073,17.1509599931445,NaN,NaN,NaN,NaN,NaN,NaN,29.078764097464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.2109928855968,NaN,NaN,NaN,NaN,NaN,-19.8739037259601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17.0648855400287,NaN,NaN,NaN
3301,32.3256464996274,30.2131408237953,NaN,20.6695302625321,NaN,NaN,20.5831106536982,18.5036251656857,18.1348736572822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.5644362054676,NaN,NaN,NaN,NaN,NaN,-18.2068064378063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.1640491080057,NaN,NaN,NaN
3601,33.3780515103786,31.4839515188906,NaN,22.5027286600442,NaN,NaN,20.8825353501177,19.6149787030948,19.2845371692176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.6776224063614,NaN,NaN,NaN,NaN,NaN,-16.4682672590701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.3277583008324,NaN,NaN,NaN
3901,34.6969146754234,32.6659195280161,NaN,24.1654501930003,NaN,NaN,21.7910181425833,20.6271944779829,20.623530251437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.2841144371403,NaN,NaN,NaN,NaN,NaN,-14.4041875422428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.3972400697992,NaN,NaN,NaN
4201,35.5684713339829,33.6091917357548,NaN,25.9616274077759,NaN,NaN,22.4398173252764,21.7355129893215,21.8941017963661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.0059157139012,NaN,NaN,NaN,NaN,NaN,-12.4380931661933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.4573020793846,NaN,NaN,NaN
4501,36.6280481520235,34.6540417760066,NaN,27.6035985378803,NaN,NaN,23.0841336669882,23.0395430394161,23.2857857413858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.7084462283578,NaN,NaN,NaN,NaN,NaN,-10.5285308189151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.3746305299403,NaN,NaN,NaN
4801,37.8512983884521,35.3917054012959,NaN,29.3085944821823,NaN,NaN,23.650924165246,24.2754042495744,24.9185179446337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.439530873511,NaN,NaN,NaN,NaN,NaN,-8.42657952596976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.2736551294291,NaN,NaN,NaN
5101,39.2542903673421,36.2572529468552,NaN,31.0598413115439,NaN,NaN,24.5076058874283,25.319875173983,26.3161358739012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.128342957311,NaN,NaN,NaN,NaN,NaN,-6.09285858746548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.4745236552519,NaN,NaN,NaN
