Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,NaN,NaN,3.47373020542664,NaN,NaN,7.95037149293197,14.5982845170277,8.85778760454526,NaN,NaN,NaN,NaN,NaN,NaN,17.115127416882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.30448234424926,NaN,NaN,NaN,24.4083346237796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.2383236685717,NaN,7.81856402909219,NaN,NaN,NaN,NaN,NaN,21.2515440011593,97.9749398135933,21.1663460162924,NaN,NaN,NaN,73.1173370110386,NaN,23.4179047582228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.35831140334265,2.12005966025357
601,NaN,22.5565539918106,NaN,4.80862804173761,NaN,NaN,9.40594704297913,15.7199120176977,9.72973713802332,NaN,NaN,NaN,NaN,NaN,NaN,18.7108907437149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.36335012133147,NaN,NaN,NaN,25.8206358595376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21.4752662082533,NaN,9.3103550090874,NaN,NaN,14.5706675021682,NaN,NaN,22.5458920400948,NaN,22.3290036923398,NaN,NaN,NaN,72.9678174404854,NaN,24.3918839116507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.51497865353916,2.99285804499462
901,NaN,24.0673559019785,NaN,6.09365850795709,NaN,NaN,10.7816815178398,16.5436052602263,10.8610399156254,NaN,NaN,NaN,NaN,NaN,NaN,20.4312206476521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6139489651893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.3638770472854,NaN,10.947900524356,NaN,NaN,16.0949919274721,NaN,NaN,23.7918157268274,NaN,23.4787226916413,NaN,NaN,NaN,72.7215387100062,NaN,25.8876406909511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.34640265654238,4.08784237661409
1201,NaN,NaN,NaN,7.65613339220319,NaN,NaN,12.1946967720696,17.8798978657989,12.2296926363929,NaN,NaN,NaN,NaN,NaN,NaN,22.2779568580071,NaN,NaN,NaN,NaN,28.5958385348277,NaN,NaN,NaN,NaN,NaN,11.8525089586629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.5171134586261,NaN,12.440161127002,NaN,NaN,17.6898813870109,NaN,NaN,25.0370437024751,NaN,24.6889482171053,NaN,NaN,NaN,72.6054210639107,NaN,26.7625940489373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.33156633307318,5.14081948587874
1501,NaN,26.5628330646866,NaN,9.01194475241621,NaN,NaN,13.0980572317912,18.9494405067065,13.2142673079468,NaN,NaN,NaN,NaN,NaN,NaN,24.0006558949874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2250844243121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.3930269787318,NaN,13.9509407891186,NaN,NaN,19.125689399101,NaN,NaN,25.904744487518,NaN,26.0532096126792,NaN,NaN,NaN,72.5739288952318,NaN,26.9909501755073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.24396722392434,6.18502594793591
1801,NaN,27.6150533244443,NaN,10.5007257865935,NaN,NaN,13.8289476478085,19.9409328671795,14.4123465715911,NaN,NaN,NaN,NaN,NaN,NaN,25.8357640546753,NaN,NaN,NaN,NaN,30.7125075511322,NaN,NaN,NaN,NaN,NaN,14.7156460254395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17.3990040127482,NaN,15.679886551782,NaN,NaN,20.5443034592751,NaN,NaN,27.0152114442828,NaN,27.427450518186,NaN,NaN,NaN,72.3219841029224,NaN,28.1612109644859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.649762494445378,7.18916960786492
2101,NaN,28.9996223058786,NaN,12.071278350162,NaN,NaN,14.9954884841014,20.954084111376,15.7160190294062,NaN,NaN,NaN,NaN,NaN,NaN,27.353840595552,NaN,NaN,NaN,NaN,32.1470266562365,NaN,NaN,NaN,NaN,NaN,16.0612178399093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.4652371321053,NaN,17.045109670009,NaN,NaN,21.9199830598846,NaN,NaN,28.4954854543746,NaN,28.7660018134741,NaN,NaN,NaN,72.0870094525152,NaN,29.1058015711967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.85085625754574,8.22838699094075
2401,NaN,30.4492060080563,NaN,13.3643293386071,NaN,NaN,15.7825447006562,21.9893002119527,16.9152002275063,NaN,NaN,NaN,NaN,NaN,NaN,29.0587306079403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.5404816464752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.2425247421002,NaN,18.2063304296593,NaN,NaN,23.1365797276884,NaN,NaN,29.8482449812921,NaN,29.996352885357,NaN,NaN,30.775861710517,71.6576072849986,NaN,30.1342056496969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.58257846875232,9.18149267024977
2701,NaN,31.8967551856,NaN,14.9892809490547,NaN,NaN,16.7100500281682,23.0432844535882,18.1400428153262,NaN,NaN,NaN,NaN,NaN,NaN,30.910227376411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.9401085858002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.4605020029331,NaN,19.7195757387917,NaN,NaN,24.3840319893968,NaN,NaN,31.1260155000146,NaN,31.2790021066973,NaN,NaN,32.1213748859954,71.3919885401187,NaN,31.3000949059245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.67985039886743,10.1007136432155
