Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,21.3036900003826,13.3625219693368,16.1799068239718,NaN,NaN,NaN,15.9857726433881,16.0954781481036,NaN,NaN,NaN,NaN,NaN,NaN,17.1651712132217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2239005154189,NaN,NaN,NaN,25.818047369928,NaN,-31.2845810661112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,22.6947258806312,14.8229646568348,17.6705083305455,NaN,NaN,NaN,17.4076561103065,17.2929378758024,NaN,NaN,NaN,NaN,NaN,NaN,18.7665471143078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.5216042674876,NaN,NaN,NaN,27.5115543556878,NaN,-30.0960281046196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,24.0246665660798,16.3799969966827,19.2132722790908,NaN,NaN,NaN,18.6614117122313,18.458963251407,NaN,NaN,NaN,NaN,NaN,NaN,20.3274940469894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.9442962000304,NaN,NaN,NaN,29.4362973648448,NaN,-28.6287515170654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,25.4642677620383,17.8697928926309,20.5934210392521,NaN,NaN,NaN,20.1627714482827,19.8054075464305,NaN,NaN,NaN,NaN,NaN,NaN,21.8485462053124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.264391002974,NaN,NaN,NaN,31.4402243118675,NaN,-27.0352406902963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,27.1839144210059,NaN,22.0861045597721,NaN,NaN,20.3862250710291,21.5942874234126,20.9591798908558,NaN,NaN,NaN,NaN,NaN,NaN,23.5521266853836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7084846964037,NaN,NaN,NaN,33.540067393855,NaN,-25.6112109075047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,28.5706780863861,NaN,23.4283643477745,NaN,NaN,22.0814436539556,22.7270948181238,22.5187679516244,NaN,NaN,NaN,NaN,NaN,NaN,25.3258470872993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.9560907318972,NaN,NaN,NaN,NaN,NaN,-23.8221653040988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,29.2880217497823,30.2116586541032,NaN,24.9799672153514,NaN,NaN,23.9197783932704,24.2860988096914,23.7291295930252,NaN,NaN,NaN,NaN,NaN,NaN,27.1897906544923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4195016021677,NaN,NaN,NaN,NaN,NaN,-22.1055076436195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,30.8275580087148,31.7290382087365,NaN,26.6253135775989,NaN,NaN,24.986717663153,25.6647555410903,25.1574532950851,NaN,NaN,NaN,NaN,NaN,NaN,29.1511114797468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.6838736363804,NaN,NaN,NaN,NaN,NaN,-20.1793417821341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,32.7122175143251,33.2151601549394,NaN,28.1198061952058,NaN,NaN,26.1337756890322,27.1158572880302,26.5899959320487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9631177047798,NaN,NaN,NaN,NaN,NaN,-18.4259323332105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
