Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,21.7998542916928,NaN,16.8996202275746,NaN,NaN,NaN,17.8265812104937,17.3094528384006,NaN,NaN,NaN,NaN,NaN,NaN,19.35754166304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.3716400171367,NaN,NaN,NaN,26.4199361621137,NaN,-29.2689804728151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,23.1494532862612,NaN,18.2447518720102,NaN,NaN,NaN,19.339232987926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.5137871534791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5255094471966,NaN,NaN,NaN,27.9610998277968,NaN,-28.0238811534234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,24.6129069851891,NaN,19.5345915458601,NaN,NaN,NaN,20.4542024818365,19.4699981000091,NaN,NaN,NaN,NaN,NaN,NaN,22.0632570068008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8497695668813,NaN,NaN,NaN,29.5699216402431,NaN,-26.6787117186307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,26.0585485649036,NaN,20.9821213737476,NaN,NaN,19.5593626217411,21.9422203153801,20.7581655404542,NaN,NaN,NaN,NaN,NaN,NaN,23.5873913181466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.2165735418677,NaN,NaN,NaN,31.5199928426781,NaN,-25.2620805288935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,27.7184475370026,NaN,22.1820263161399,NaN,NaN,20.6727120651629,23.0862666153265,22.0001916561133,NaN,NaN,NaN,NaN,NaN,NaN,24.4938072038443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5191666564502,NaN,NaN,NaN,NaN,NaN,-23.7776284525956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,29.3563414090197,NaN,23.0887106293115,NaN,NaN,22.1757807945897,24.5070499149743,23.214356454158,NaN,NaN,NaN,NaN,NaN,NaN,26.1134464992676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.9597814775983,NaN,NaN,NaN,NaN,NaN,-22.08285929059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,29.2707487176308,NaN,NaN,24.636840416115,NaN,NaN,23.7981957033917,25.7750736134821,24.7021419388744,NaN,NaN,NaN,NaN,NaN,NaN,27.9790332563394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.1017300884681,NaN,NaN,NaN,NaN,NaN,-20.4710609885095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,30.5723806329529,32.2608743947563,NaN,26.0376027150752,NaN,NaN,25.1194823453681,27.019108491572,25.9792072461148,NaN,NaN,NaN,NaN,NaN,NaN,29.0146922543095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.226781932254,NaN,NaN,NaN,NaN,NaN,-18.7163489791513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,32.4017006826695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.3726834321877,NaN,NaN,NaN,NaN,NaN,-16.9908403019189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
