Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,26.0993445487532,NaN,15.9108425671022,NaN,NaN,NaN,17.4581542356786,17.9157205470066,NaN,NaN,NaN,NaN,NaN,NaN,20.0700602702687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.5378240886974,NaN,NaN,NaN,28.7489935049232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.80412031758238,NaN,15.3372402273917,NaN,NaN,23.8040045268631,NaN,NaN,30.8731510010373,113.889494336839,30.372951527141,NaN,NaN,NaN,79.3977173985744,NaN,34.7230806365915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.79756109648617,15.6456932434892
601,NaN,28.0029331450805,NaN,17.254459027661,NaN,NaN,NaN,18.5262374487067,18.9603674444007,NaN,NaN,NaN,NaN,NaN,NaN,21.669811224817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.7632355001282,NaN,NaN,NaN,30.4273649527676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.33003920260054,NaN,16.5569533869453,NaN,NaN,25.5145672413925,NaN,NaN,32.3303690003812,111.796452887975,31.4398604610873,NaN,NaN,NaN,79.6031444087965,NaN,35.8077952615087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.77966314045308,16.428309725896
901,NaN,29.2054733337441,NaN,18.5856739253657,NaN,NaN,NaN,19.3621340078749,19.9804430899707,NaN,NaN,NaN,NaN,NaN,NaN,23.4155171670078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.9733932129431,NaN,NaN,NaN,32.1598277292181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.52246360235506,NaN,17.9353137966221,NaN,NaN,27.2656354706084,NaN,NaN,33.3947736477147,110.086349744511,32.6363599024685,NaN,NaN,NaN,79.5379530620457,NaN,37.2688316233337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.97335674661367,17.7610723740361
1201,NaN,30.3969039067769,NaN,19.9706003989579,NaN,NaN,NaN,20.6861846746599,21.047159140634,NaN,NaN,NaN,NaN,NaN,NaN,24.8667353667399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.1553690984938,NaN,NaN,NaN,34.1746242223431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.4434928786189,NaN,19.6917767472901,NaN,NaN,28.8362308163504,NaN,NaN,34.1403549212366,NaN,33.8681291342258,NaN,NaN,NaN,79.4991131915324,NaN,38.6675413252854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.99960560816177,18.8873189378965
1501,NaN,31.8725051793993,NaN,21.263793847742,NaN,NaN,NaN,21.8226019405479,22.2625692926887,NaN,NaN,NaN,NaN,NaN,NaN,26.527522960182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.6445010632124,NaN,NaN,NaN,36.2165238101406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.35820929728334,NaN,21.0006537492055,NaN,NaN,30.5234013772734,NaN,NaN,35.2098233007387,NaN,35.1899118871531,NaN,NaN,NaN,79.5090606505472,NaN,40.0010764797105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.22240538243732,NaN
1801,NaN,33.6423015092829,NaN,22.615005213824,NaN,NaN,NaN,22.766619529211,23.6349503196339,NaN,NaN,NaN,NaN,NaN,NaN,28.3030817576855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.9844754132573,NaN,NaN,NaN,37.9582327929638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.42093534826433,NaN,22.3889691603048,NaN,NaN,32.2145959842014,NaN,NaN,36.5364726750236,NaN,36.4184960728266,NaN,NaN,NaN,79.5132215400031,NaN,41.1253659635576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6048305562936,20.6767115798392
2101,NaN,35.4329683502429,NaN,24.3463830548937,NaN,NaN,24.6079133908151,23.8712517901545,24.8362669914932,NaN,NaN,NaN,NaN,NaN,NaN,29.8253100757912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.3618400114394,NaN,NaN,NaN,39.4754369379818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.614251569322721,NaN,23.9758372229521,NaN,NaN,33.8654489925487,NaN,NaN,37.9539558788066,NaN,37.6547809121824,NaN,NaN,NaN,79.4781030432118,NaN,42.6371352045614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.8295418450263,21.5761887336137
2401,NaN,36.8133800676422,NaN,25.7541026660284,NaN,NaN,25.1399112515676,24.9137970878013,25.9047476432285,NaN,NaN,NaN,NaN,NaN,NaN,31.41201514083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.8936714052364,NaN,NaN,NaN,40.4523532715918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.446968432894876,NaN,25.5281641019053,NaN,NaN,35.467719721337,NaN,NaN,39.1741361699855,NaN,38.7973722877039,NaN,NaN,NaN,79.6113547474369,NaN,43.8359451371498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0095656629672,22.8009836043129
2701,NaN,37.9854944662189,NaN,27.3679338908356,NaN,NaN,26.0888011821002,25.9856450151419,27.0708404454887,NaN,NaN,NaN,NaN,NaN,NaN,33.1187970956882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.5337525764651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.45915353760042,NaN,27.3678248880621,NaN,NaN,36.9034968493153,NaN,NaN,40.4004900525762,NaN,39.9487182327124,NaN,NaN,NaN,79.6967614825616,NaN,45.1372526328658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.4589911447034,24.0820654368957
