Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,25.6062855474106,59.3309179045861,20.4793555773301,NaN,NaN,NaN,22.8941243715542,21.0051065252076,NaN,NaN,NaN,NaN,NaN,NaN,23.6629224491734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.9400970539002,NaN,NaN,NaN,30.6945828958286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.48020096854722,NaN,15.5730386562896,NaN,NaN,20.0313130696768,NaN,NaN,29.0418111127827,123.006572649894,25.4932971175562,NaN,NaN,NaN,82.0616793931155,NaN,34.4952410782572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.42167427724717,10.4768831153015
601,NaN,27.0258875707052,59.7936994537951,21.9455812366232,NaN,NaN,NaN,24.5451001660749,22.2741854431313,NaN,NaN,NaN,NaN,NaN,NaN,25.1447474347425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.254576008847,NaN,NaN,NaN,32.3415152542434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.25738610780073,NaN,17.4393655997471,NaN,NaN,21.8059336987489,NaN,NaN,30.6236519609049,120.352898271829,26.8340874413869,NaN,NaN,NaN,82.3348808073435,NaN,36.0790426538937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.63410808226891,11.8349774789337
901,NaN,28.3879386978313,60.3002948566654,23.4956953114634,NaN,NaN,NaN,25.9625607258732,23.7156011452633,NaN,NaN,NaN,NaN,NaN,NaN,26.6002094042298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.6502745794041,NaN,NaN,NaN,34.0872647903511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.04840983251975,NaN,18.9530694671743,NaN,NaN,23.2540961725019,NaN,NaN,32.4054623113614,117.845383950075,28.3182985715504,NaN,NaN,NaN,82.5865489357942,NaN,37.7082820868019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.07898436209122,13.2907523204445
1201,NaN,30.0480954899698,60.7607643992769,25.0284844702072,NaN,NaN,NaN,27.3633072688471,25.2364852371538,NaN,NaN,NaN,NaN,NaN,NaN,28.2883052145772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.0906264727466,NaN,NaN,NaN,35.7266221488106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.14542684163196,NaN,20.5029876835151,NaN,NaN,24.4223811464493,NaN,NaN,33.5283575599017,115.475233029706,29.9821899386226,NaN,NaN,NaN,82.9079181139343,NaN,39.2404155754527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.37458352622896,14.5689870195204
1501,NaN,31.6074926128534,NaN,26.4682164500101,NaN,NaN,NaN,28.929115466004,26.8828808015091,NaN,NaN,NaN,NaN,NaN,NaN,30.1192371440672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.5383377397901,NaN,NaN,NaN,37.4047510254655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.98393283233463,NaN,22.1637893448382,NaN,NaN,25.7915644664846,NaN,NaN,34.9969936106096,113.020120318608,30.9727428999454,NaN,NaN,NaN,82.8151907604444,NaN,40.9471960104199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.61730479110137,16.1344574098928
1801,NaN,33.1849689850709,NaN,27.9044624779023,NaN,NaN,NaN,30.3646735876784,28.0343362147359,NaN,NaN,NaN,NaN,NaN,NaN,31.7356271239413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.8030486410255,NaN,NaN,NaN,39.3054052150593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.416519777267102,NaN,23.9732908087714,NaN,NaN,27.4290560479762,NaN,NaN,36.4981314520876,110.810394515617,32.0992828045238,NaN,NaN,NaN,82.9346136210074,NaN,42.3938854533671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.08404744727089,17.6428843931166
2101,30.3075399298378,34.9366668285256,NaN,29.3498635263553,NaN,NaN,NaN,31.8995323364931,29.7298787330625,NaN,NaN,NaN,NaN,NaN,NaN,33.3827765852736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.1125316853099,NaN,NaN,NaN,41.0409156875232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.56327363368574,NaN,25.5027232107686,NaN,NaN,28.9308718394701,NaN,NaN,37.8755046131599,NaN,33.2980087099615,NaN,NaN,NaN,82.8102982281492,NaN,43.8101395340754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.2580934368269,19.0770987785783
2401,31.9264080260407,36.5916682959244,NaN,30.601110059347,NaN,NaN,27.6223647947032,33.046000334332,31.1071196731213,NaN,NaN,NaN,NaN,NaN,NaN,35.3095938296604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.4181445843639,NaN,NaN,NaN,42.8299291515467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.86942935490114,NaN,27.1532263495622,NaN,NaN,30.2437374447096,NaN,NaN,39.3603261828021,NaN,34.7918730533366,NaN,NaN,NaN,82.7363797430773,NaN,45.1657753403614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6075860168464,20.4032598580856
2701,33.4736871361111,37.8842321898254,NaN,32.1424949571415,NaN,NaN,28.9971320535359,34.295927027245,32.5851098909507,NaN,NaN,NaN,NaN,NaN,NaN,37.1167233608713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.7391242231447,NaN,NaN,NaN,44.3469403697486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.89031750689585,NaN,28.9024136999894,NaN,NaN,31.8692718085552,NaN,NaN,40.8042093682243,NaN,36.2351984596813,NaN,NaN,NaN,82.6361551335434,NaN,46.6149058072287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.7088803925058,21.6027916899353
