Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13,C16
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,21.0469940579105,13.5326005110763,13.9505201419942,NaN,NaN,NaN,16.1393781493817,16.3949238145093,NaN,NaN,NaN,NaN,NaN,NaN,18.7457156783668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4684288619368,NaN,NaN,NaN,25.0767147252234,NaN,54.7084296208635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.3705915793981
601,NaN,22.450817673589,14.9757501802703,15.3375590579519,NaN,NaN,NaN,17.464999952428,17.5708384632198,NaN,NaN,NaN,NaN,NaN,NaN,20.3151279307769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6545327949552,NaN,NaN,NaN,26.8616754917649,NaN,55.9225450258254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.0866919994281
901,NaN,23.9301117861965,16.5142118161466,16.9126813978975,NaN,NaN,NaN,18.7675929890185,18.6984781838075,NaN,NaN,NaN,NaN,NaN,NaN,21.9054243818668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.0108556224363,NaN,NaN,NaN,28.6923639068259,NaN,57.2092335304877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.8496494619723
1201,NaN,25.3345130088839,18.027142380962,18.3647400154894,NaN,NaN,18.8682816027294,20.2410192945568,20.024556420368,NaN,NaN,NaN,NaN,NaN,NaN,23.3679603741967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.3866090056953,NaN,NaN,NaN,30.6806005091511,NaN,58.3498723948709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.7929378696545
1501,NaN,27.0319882541177,NaN,19.726608741924,NaN,NaN,20.2353065379861,21.5804254657467,21.3293105164173,NaN,NaN,NaN,NaN,NaN,NaN,25.0893792235326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.751156197213,NaN,NaN,NaN,NaN,NaN,59.447692039121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.6747945284356
1801,NaN,28.5216802837119,NaN,21.1474409641805,NaN,NaN,21.6727643036485,22.9436389982874,22.492180709699,NaN,NaN,NaN,NaN,NaN,NaN,26.4256267756199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.1642067896025,NaN,NaN,NaN,NaN,NaN,60.6191481542845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.3508960773565
2101,28.1229062608106,30.1763937674683,NaN,22.7605010166565,NaN,NaN,23.5365642398235,24.2808581289692,23.7869789209485,NaN,NaN,NaN,NaN,NaN,NaN,28.2947511463767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.343390727126,NaN,NaN,NaN,NaN,NaN,61.4824762501689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.4012141659094
2401,29.7180573477613,31.5851615711257,NaN,24.3660071858199,NaN,NaN,24.7920821711686,25.7396068922315,25.1712656373343,NaN,NaN,NaN,NaN,NaN,NaN,30.1531857150286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.6018094755956,NaN,NaN,NaN,NaN,NaN,62.3324997877758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.2673511718022
2701,31.699179345693,33.1514774805336,NaN,25.7959176366485,NaN,NaN,25.9015189349627,27.197185943808,26.6368429981088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9325153382353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.1016409780573
