Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,21.1291596556247,11.9111065728989,14.8689849565117,NaN,NaN,NaN,12.0165206359067,14.2426404807788,NaN,NaN,NaN,NaN,NaN,NaN,16.798709911775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.094346473162,NaN,NaN,NaN,24.5178616747509,NaN,-16.4689148644812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,22.5284293974048,13.4296439649726,16.365583817857,NaN,NaN,NaN,13.357764569152,15.5970296736813,NaN,NaN,NaN,NaN,NaN,NaN,18.5532307696414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1172338232926,NaN,NaN,NaN,26.3676616448561,NaN,-15.2310589535963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,23.9067850963632,15.0223745759757,17.7090940253373,NaN,NaN,NaN,14.6808997915351,16.683524673122,NaN,NaN,NaN,NaN,NaN,NaN,20.3048140725957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4031474361604,NaN,NaN,NaN,28.2852028075222,NaN,-14.1134633487083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,25.4996313563854,NaN,NaN,NaN,NaN,17.4621072062231,15.9683221654096,17.7399431648634,NaN,NaN,NaN,NaN,NaN,NaN,21.8261920604724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.5662226990662,NaN,NaN,NaN,30.2780532081635,NaN,-12.8112401193529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,26.9491138128331,NaN,20.3343018903374,NaN,NaN,18.862045700626,17.3840367792686,18.8423167604755,NaN,NaN,NaN,NaN,NaN,NaN,23.3083106052003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.9257484404943,NaN,NaN,NaN,NaN,NaN,-11.4630937180902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,28.4962370527492,NaN,21.8735007321514,NaN,NaN,20.2124540632263,18.7346714727212,19.9701447013964,NaN,NaN,NaN,NaN,NaN,NaN,24.8003591451647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.4380629757437,NaN,NaN,NaN,NaN,NaN,-9.9904225452658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,29.9616939515477,NaN,23.3146972183653,NaN,NaN,21.5085905792666,19.7980705294512,21.2498349557649,NaN,NaN,NaN,NaN,NaN,NaN,26.5021071425272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.6402727145003,NaN,NaN,NaN,NaN,NaN,-8.47163127528679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,30.5316443051744,31.4666662263331,NaN,24.7055485169597,NaN,NaN,23.1139803357589,21.2889399685258,22.3799329065757,NaN,NaN,NaN,NaN,NaN,NaN,28.479557526987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.8310207415386,NaN,NaN,NaN,NaN,NaN,-6.97119467126839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,32.3417077154753,33.0374645603718,NaN,26.2349474113401,NaN,NaN,24.2698954976495,22.6760672706431,23.8188176421623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.400845210896,NaN,NaN,NaN,NaN,NaN,-5.33205008885418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,34.0096207050352,34.7899925183318,NaN,27.5789744179791,NaN,NaN,25.2622918364583,23.8873974967447,25.2813869189214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.8274179733384,NaN,NaN,NaN,NaN,NaN,-3.75924940276842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,35.6901153879944,36.3809965020642,NaN,29.2209959836568,NaN,NaN,26.1792017160603,25.0832912180153,26.7648678960067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.0318726512131,NaN,NaN,NaN,NaN,NaN,-1.88618274358309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,36.114906900619,37.8169244557306,NaN,30.4789655447759,NaN,NaN,26.167764507214,26.6737021786269,27.7097865720662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.9084104841256,NaN,NaN,NaN,NaN,NaN,-0.101152724499688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,38.0861157524385,38.7001998323576,NaN,31.867516010554,NaN,NaN,27.8144091972333,27.981265202517,29.0374728919888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.2921127874949,NaN,NaN,NaN,NaN,NaN,1.72171199588955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,40.1545854678154,40.0109953376255,NaN,33.3275316578364,NaN,NaN,28.8699784962559,29.2371733335056,30.4572306405808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.4635446166342,NaN,NaN,NaN,NaN,NaN,3.62200258688084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,41.6119425220934,41.3926180377828,NaN,35.0455408687407,NaN,NaN,29.896770431279,30.3266407696684,31.8846994042386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.8887532200058,NaN,NaN,NaN,NaN,NaN,5.38691380569469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6130581096305,NaN,NaN,NaN
4801,42.9919316194002,42.5941396090542,NaN,36.474197936024,NaN,NaN,31.0241611519096,31.4383892910617,33.2071084872377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.3425219394542,NaN,NaN,NaN,NaN,NaN,7.37615201843508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7216048980691,NaN,NaN,NaN
