Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,21.2212048303553,12.683724883502,14.3124088582541,NaN,NaN,NaN,15.1864194765323,15.3015671302439,NaN,NaN,NaN,NaN,NaN,NaN,18.6630926738581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.4252780033745,NaN,NaN,NaN,25.2314438744376,NaN,-13.8120281461944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,22.7089542348409,14.1848833583397,15.7023379101408,NaN,NaN,NaN,16.5710618498024,16.426050181829,NaN,NaN,NaN,NaN,NaN,NaN,20.0727417479882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.6735579260784,NaN,NaN,NaN,27.0162033539236,NaN,-12.5135880580328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,24.0763200468549,15.7459046377742,17.3065494007652,NaN,NaN,NaN,17.8993481291591,17.5028314058605,NaN,NaN,NaN,NaN,NaN,NaN,21.5827630105599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.8662131592832,NaN,NaN,NaN,28.9044043192113,NaN,-11.2061123003018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,25.7295230251907,NaN,18.706078523906,NaN,NaN,18.2921112044838,19.2612065391624,18.6946375031004,NaN,NaN,NaN,NaN,NaN,NaN,23.0475446971224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2759363799835,NaN,NaN,NaN,30.8171777758677,NaN,-10.0127082214402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,27.1208099795292,NaN,19.9524090383941,NaN,NaN,19.6755302002511,20.525230035859,20.0066811376524,NaN,NaN,NaN,NaN,NaN,NaN,24.7851180117465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.7293680658733,NaN,NaN,NaN,32.885628571055,NaN,-8.59781441246798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,28.5439274289177,NaN,21.6171445025721,NaN,NaN,21.0891857907643,21.9185258511279,21.2323790776417,NaN,NaN,NaN,NaN,NaN,NaN,26.4296616634347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0238252417051,NaN,NaN,NaN,NaN,NaN,-7.05556023858454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,28.6847224606977,29.825163007406,NaN,23.1448680886465,NaN,NaN,22.6874590250773,23.1557474422199,22.6008702226343,NaN,NaN,NaN,NaN,NaN,NaN,28.3476269502599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.4552469603066,NaN,NaN,NaN,NaN,NaN,-5.32079301703617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,30.4577062325625,31.3162705304827,NaN,24.6630590501268,NaN,NaN,23.916209534924,24.5732637012078,23.8150291434441,NaN,NaN,NaN,NaN,NaN,NaN,30.1240240601559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4686720107416,NaN,NaN,NaN,NaN,NaN,-3.98380113435018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,32.2082526954341,32.9528505985944,NaN,26.1553503454415,NaN,NaN,24.9245730505414,26.0465977954054,25.3123142294124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.9437716352791,NaN,NaN,NaN,NaN,NaN,-2.31058121408972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,33.9040608826587,34.6462926790906,NaN,27.6715952951831,NaN,NaN,25.984311211228,27.1727112321075,26.5592848088849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.4630187798316,NaN,NaN,NaN,NaN,NaN,-0.699719072760008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,35.6474679735459,36.099259873563,NaN,29.217351118566,NaN,NaN,26.8388932314958,28.3255138583829,27.926964758608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.8925702511486,NaN,NaN,NaN,NaN,NaN,1.07174498779951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,35.9948729408245,37.7992398704472,NaN,31.4798386151192,NaN,NaN,27.7102306144298,29.875540895121,29.2200221277812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.1882798249059,NaN,NaN,NaN,NaN,NaN,2.83918188677843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,37.8676158006988,38.9530769321843,NaN,32.3760829855809,NaN,NaN,28.9481124352461,31.155486875282,30.410940932745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.6419231684676,NaN,NaN,NaN,NaN,NaN,4.72357918241104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,40.0647271966974,39.9192917972427,NaN,33.5783794433888,NaN,NaN,30.1173146736855,32.4115555074104,31.5330426607017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.9440474050798,NaN,NaN,NaN,NaN,NaN,6.58044747757956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,41.7344617767972,41.3513506749264,NaN,35.0867769585206,NaN,NaN,30.9928099944484,33.3721668288993,33.068488216953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.2983173943177,NaN,NaN,NaN,NaN,NaN,8.66070965955397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,43.0350593392639,42.5859263695343,NaN,36.7235845924179,NaN,NaN,32.3239008484325,34.5680763235615,34.2611420171803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.6972091511433,NaN,NaN,NaN,NaN,NaN,10.3072749012284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.5682989991761,NaN,NaN,NaN
