Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,20.953513098802,13.7772602265119,13.1486603168584,NaN,NaN,NaN,14.4174147242703,14.5059544798347,NaN,NaN,NaN,NaN,NaN,NaN,15.0123896507348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.7201879121396,NaN,NaN,NaN,24.6707467924551,NaN,-17.2417731328548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,22.2641503814309,13.5044987152432,14.5215202904965,NaN,NaN,NaN,15.6050513881864,15.9150931858929,NaN,NaN,NaN,NaN,NaN,NaN,16.5207667138812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.9855313970913,NaN,NaN,NaN,26.4780005491494,NaN,-16.2111003274822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,24.0738772870742,NaN,15.9011952359681,NaN,NaN,NaN,16.9428336678521,16.7443136270613,NaN,NaN,NaN,NaN,NaN,NaN,18.1588224717686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2765301792544,NaN,NaN,NaN,28.583550218766,NaN,-14.9641620890103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,25.6710128630078,NaN,17.477429270349,NaN,NaN,NaN,18.2439940342625,17.6739276648159,NaN,NaN,NaN,NaN,NaN,NaN,19.8046484798255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7772271981806,NaN,NaN,NaN,30.5712375685947,NaN,-13.5429391663006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,26.9818463639811,NaN,18.6117558941798,NaN,NaN,NaN,19.0881761274524,18.6733477981855,NaN,NaN,NaN,NaN,NaN,NaN,21.6004855517943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.1018066107273,NaN,NaN,NaN,32.5863137632129,NaN,-12.2967162577107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,28.4952337340439,NaN,19.7550774133912,NaN,NaN,NaN,20.0241034661668,19.9402724591563,NaN,NaN,NaN,NaN,NaN,NaN,23.2702770648846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.4978189424635,NaN,NaN,NaN,NaN,NaN,-10.8720852575308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,30.0267564974316,NaN,21.4941469239046,NaN,NaN,NaN,21.4039236815711,21.4580880337128,NaN,NaN,NaN,NaN,NaN,NaN,24.8915045796679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.744955093126,NaN,NaN,NaN,NaN,NaN,-9.34256863930898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,30.929811113176,31.5264958602526,NaN,22.7174815981055,NaN,NaN,NaN,22.8164937347076,22.8166721277443,NaN,NaN,NaN,NaN,NaN,NaN,26.5415737232466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.0192869589574,NaN,NaN,NaN,NaN,NaN,-7.6721652950093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.53804867801813,NaN,NaN,NaN
2701,32.6737534276662,33.1296483694282,NaN,24.3430992452986,NaN,NaN,24.7466314943196,23.7917717234709,24.2315801198989,NaN,NaN,NaN,NaN,NaN,NaN,28.0591625137762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.2701352435797,NaN,NaN,NaN,NaN,NaN,-5.75218277295668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.96674758686089,NaN,NaN,NaN
