Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,19.6951312043014,10.847482177332,10.3828675115356,NaN,NaN,NaN,11.9164456664585,12.361336365863,NaN,NaN,NaN,NaN,NaN,NaN,16.1661725346004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3461737765338,NaN,NaN,NaN,23.7529894277481,NaN,-28.7690909632733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21.066571666674,NaN,NaN,NaN
601,NaN,21.0355575298867,12.3679133763588,11.6554573381288,NaN,NaN,NaN,13.3572263475703,13.4856777350161,NaN,NaN,NaN,NaN,NaN,NaN,17.6515035102429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3562450512954,NaN,NaN,NaN,25.4090011603104,NaN,-27.8192360089806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.5022978691808,NaN,NaN,NaN
901,NaN,22.3564745686891,NaN,12.9560261200641,NaN,NaN,NaN,14.4391058008317,14.8338551990387,NaN,NaN,NaN,NaN,NaN,NaN,19.4602163140355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.5680142935815,NaN,NaN,NaN,27.2867151703713,NaN,-26.8926780311805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.4301639283249,NaN,NaN,NaN
1201,NaN,23.9617573913971,NaN,14.3859978159996,NaN,NaN,NaN,15.8252839471264,15.9805046233959,NaN,NaN,NaN,NaN,NaN,NaN,21.2855753960767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.943037360087,NaN,NaN,NaN,NaN,NaN,-25.6804911191826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.9458671749552,NaN,NaN,NaN
1501,NaN,25.66284877245,NaN,15.7721622106213,NaN,NaN,NaN,17.1157956760859,16.8386923690617,NaN,NaN,NaN,NaN,NaN,NaN,22.8879427407377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.157653190994,NaN,NaN,NaN,NaN,NaN,-24.4321872934387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17.8718820620904,NaN,NaN,NaN
1801,NaN,26.9850431424702,NaN,17.105852624876,NaN,NaN,NaN,18.1476832872738,17.9995717520058,NaN,NaN,NaN,NaN,NaN,NaN,24.6194060965421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3042324533091,NaN,NaN,NaN,NaN,NaN,-23.0077580709209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17.0571120686084,NaN,NaN,NaN
2101,NaN,28.4746579059748,NaN,18.5506797709452,NaN,NaN,NaN,19.5243978423234,19.1379274430593,NaN,NaN,NaN,NaN,NaN,NaN,26.3543955548898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.7817630552129,NaN,NaN,NaN,NaN,NaN,-21.5077221534759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.0400198937235,NaN,NaN,NaN
2401,NaN,29.9301173781225,NaN,20.1517856788007,NaN,NaN,NaN,20.8651759565651,20.2143736085822,NaN,NaN,NaN,NaN,NaN,NaN,28.0882640011336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0248275976656,NaN,NaN,NaN,NaN,NaN,-19.8553095792282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.2160076323385,NaN,NaN,NaN
2701,30.4833616391669,31.5275012019297,NaN,21.8280817041044,NaN,NaN,23.1791722550336,22.2320549407688,21.6677852213185,NaN,NaN,NaN,NaN,NaN,NaN,29.8061962734471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.3120156931672,NaN,NaN,NaN,NaN,NaN,-18.2456979177206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.0767610912052,NaN,NaN,NaN
3001,32.2052181061581,33.1458047550042,NaN,23.2834467126326,NaN,NaN,24.5152665671356,23.2879875702382,22.9166302930188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.8199099748839,NaN,NaN,NaN,NaN,NaN,-16.4264584117097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.3668898399757,NaN,NaN,NaN
3301,33.7902486728437,34.6724884177527,NaN,24.6489726824,NaN,NaN,25.1636984006423,24.5840501921024,24.1249027943014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.224095331503,NaN,NaN,NaN,NaN,NaN,-14.6754325477313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.9514623470918,NaN,NaN,NaN
