Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C22,C23,C24,C25,C27,C28,C29,C30,C32,C34,C35,C36,C37,C41,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,20.1469847157559,NaN,9.91436435983916,NaN,NaN,NaN,10.6296198041807,12.1123984308598,NaN,NaN,NaN,NaN,NaN,NaN,15.1875121118421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8575895872269,NaN,NaN,NaN,21.92341590691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.99289300047796,NaN,23.4705306729011,NaN,24.426828740876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.4177354968727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.1004751042888,23.2656098389657
601,NaN,21.6725930153087,NaN,11.2822306722796,NaN,NaN,NaN,11.5487501969786,12.9428385860021,NaN,NaN,NaN,NaN,NaN,NaN,16.7915618023933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.1466644495896,NaN,NaN,NaN,23.6020312986201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.19406960140189,NaN,24.8291407044104,NaN,26.1741547715534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.0086979832546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3352336666542,24.3436435803642
901,NaN,23.0241274884939,NaN,12.6727917303503,NaN,NaN,16.1388652621585,12.7398526832622,14.1188239424382,NaN,NaN,NaN,NaN,NaN,NaN,18.5757004888594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3084814893679,NaN,NaN,NaN,25.4629813517786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.22780358351967,NaN,26.095371615981,NaN,28.0227724719991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.6711406124584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3289708573137,25.4393901145505
1201,NaN,24.3348687588366,NaN,13.9593147399259,NaN,NaN,16.9719083082024,13.7653085130982,15.1916648260112,NaN,NaN,NaN,NaN,NaN,NaN,20.2480786882794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.4660158475932,NaN,NaN,NaN,27.2993586319292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1506500806733,NaN,27.3151746392356,NaN,29.9814318521129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.2717645589597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.2678085208587,26.384700400812
1501,NaN,25.7591291964568,NaN,15.1896382384129,NaN,NaN,18.1289425475126,14.7173195532449,16.3849544025118,NaN,NaN,NaN,NaN,NaN,NaN,22.0927620297549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.7050348051514,NaN,NaN,NaN,29.3403387608748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.851935974100874,NaN,28.4778044175635,NaN,31.7036507009778,NaN,NaN,NaN,38.9828263101984,NaN,NaN,NaN,87.8952016892124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.3475717476743,27.2399614387905
1801,NaN,27.1688041660313,NaN,16.3910075596761,NaN,NaN,19.4173584309921,15.4577505449587,17.4572772427091,NaN,NaN,NaN,NaN,NaN,NaN,23.5986429531712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1085533006758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92903023429371,NaN,29.9395966279395,NaN,33.5071722618228,NaN,NaN,NaN,39.9021345511187,NaN,NaN,NaN,87.4340121004092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4130725351702,28.2323658198605
2101,NaN,28.4226235439922,NaN,17.7861587287685,NaN,NaN,20.7103602782223,16.8595385309011,18.3871376322335,NaN,NaN,NaN,NaN,NaN,NaN,25.1823871335785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.4163209337449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.03098957785196,NaN,31.3776589034099,NaN,35.1203908285879,NaN,NaN,NaN,41.0238096149373,NaN,NaN,NaN,86.8675466762498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.6379641591116,29.3093240298367
2401,NaN,29.6147600497665,NaN,19.2135970474806,NaN,NaN,21.7381464286252,18.0462454850143,19.3759877423903,NaN,NaN,NaN,NaN,NaN,NaN,26.9393428826772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8349565208174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.90387237302612,NaN,32.8763585529832,NaN,36.953610577901,NaN,NaN,NaN,42.0959168626201,NaN,NaN,NaN,86.3956049380493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8200997514904,30.4678020055075
2701,NaN,30.6878255904116,NaN,20.7780890283438,NaN,NaN,23.0821328120238,19.0427233385026,20.6094777572157,NaN,NaN,NaN,NaN,NaN,NaN,28.7873866662336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.3747658311179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.91088285211352,NaN,34.3037454133399,NaN,38.8331749486622,NaN,NaN,NaN,43.1980989406868,NaN,NaN,NaN,86.0257896940716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.1455341651594,31.6160603049281
