Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,20.6465871170039,12.628340950677,18.1370885954052,NaN,NaN,NaN,17.3022635320338,16.148615232061,NaN,NaN,NaN,NaN,NaN,NaN,20.5558666874852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.5260848544022,NaN,NaN,NaN,25.3434991169462,NaN,-28.4844855729539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,22.2044486490784,13.731898338088,19.596355700358,NaN,NaN,NaN,18.7330057089502,17.3347722762636,NaN,NaN,NaN,NaN,NaN,NaN,21.9383082376336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.9582224077364,NaN,NaN,NaN,27.0229996286882,NaN,-27.0345733542839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,23.8211846601693,15.2142184514348,21.0181876445014,NaN,NaN,NaN,20.1697360472484,18.8303775265917,NaN,NaN,NaN,NaN,NaN,NaN,23.3329333962464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.0812498423379,NaN,NaN,NaN,28.9968029092039,NaN,-25.4196117730886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,25.3056584575956,16.6998153937036,22.3918765812614,NaN,NaN,NaN,21.6356144643343,20.0781716949298,NaN,NaN,NaN,NaN,NaN,NaN,24.973035497007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.3921018544903,NaN,NaN,NaN,30.8942674477649,NaN,-23.7991666039628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,25.6504790595987,26.6776249083479,17.9346044023485,23.9361696038089,NaN,NaN,20.2755873136023,23.2705222478425,21.4566244020856,NaN,NaN,NaN,NaN,NaN,NaN,26.8078920372032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.9031226618394,NaN,NaN,NaN,NaN,NaN,-22.1842827900351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,27.6543387665231,28.1715774948066,19.3129038968207,25.4449027481057,NaN,NaN,22.3762640941581,24.6736759021494,22.8140513450776,NaN,NaN,NaN,NaN,NaN,NaN,28.0179536205729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.2617932860499,NaN,NaN,NaN,NaN,NaN,-20.6438134628306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,29.1095495905358,29.9121522526655,NaN,26.7858209228505,NaN,NaN,24.1023702677845,26.1018870804808,24.2675710755448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.6945427214742,NaN,NaN,NaN,NaN,NaN,-18.8634128969985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,30.4356223596756,NaN,NaN,28.3145528233293,NaN,NaN,25.1327222469562,27.6460975889089,25.8458941133035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.1626200944332,NaN,NaN,NaN,NaN,NaN,-16.8367185230606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,32.0132788999205,32.9141525657493,NaN,29.6359080293316,NaN,NaN,26.252357246715,29.0437845363964,27.2027280901994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.5662599715734,NaN,NaN,NaN,NaN,NaN,-14.7712002559535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
