Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,NaN,16.2720036282146,15.6126045990754,NaN,NaN,NaN,18.3066083769087,16.9492236990135,NaN,NaN,NaN,NaN,NaN,NaN,18.4578294087629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.9108948240637,NaN,NaN,NaN,25.9979431706703,NaN,-12.2066706642223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,NaN,NaN,16.9719509810953,NaN,NaN,NaN,19.8629146763595,17.7572614351856,NaN,NaN,NaN,NaN,NaN,NaN,19.8417138719768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.1735791803229,NaN,NaN,NaN,27.9943505807244,NaN,-11.1332063590763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,NaN,NaN,18.3221073032447,NaN,NaN,NaN,21.0343140482809,18.3468484176976,NaN,NaN,NaN,NaN,NaN,NaN,21.2357839226823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7465458118947,NaN,NaN,NaN,29.9015020960133,NaN,-10.083587413923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.56046150807871,NaN,NaN,NaN
1201,NaN,27.9712536052211,NaN,19.6212450475612,NaN,NaN,NaN,21.9383229584091,19.4135563786203,NaN,NaN,NaN,NaN,NaN,NaN,23.1816511992555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.0053011857914,NaN,NaN,NaN,31.8365287856229,NaN,-8.75792089337811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.19074263711773,NaN,NaN,NaN
1501,NaN,29.5002869090459,NaN,21.2478094096768,NaN,NaN,21.5175420575903,23.2347479069395,20.768429786391,NaN,NaN,NaN,NaN,NaN,NaN,24.9235383241535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.2414640190726,NaN,NaN,NaN,33.958749523087,NaN,-7.34953922533541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.81334805260371,NaN,NaN,NaN
1801,NaN,30.8832875958616,NaN,22.8074040000674,NaN,NaN,23.1560066463921,24.534923357291,22.1610885297412,NaN,NaN,NaN,NaN,NaN,NaN,26.5451517379096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7915793421902,NaN,NaN,NaN,36.0064645522909,NaN,-6.11812646506283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.60931549896484,NaN,NaN,NaN
2101,NaN,32.6025901275669,NaN,24.3482621387392,NaN,NaN,24.3772542117472,25.886471394032,23.2527736173749,NaN,NaN,NaN,NaN,NaN,NaN,27.9803455500468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.2099910351243,NaN,NaN,NaN,37.9690117421115,NaN,-4.34852277083738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.38307016382374,NaN,NaN,NaN
2401,NaN,34.2383883697987,NaN,25.8845211685918,NaN,NaN,25.4453285076041,26.9221752565042,24.0900392990526,NaN,NaN,NaN,NaN,NaN,NaN,29.4695074676061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.5765242053339,NaN,NaN,NaN,NaN,NaN,-2.84982012533031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.70492654602675,NaN,NaN,NaN
2701,NaN,35.7364098479859,NaN,27.2415571337466,NaN,NaN,26.1010357637463,28.3871293180866,25.7607623218868,NaN,NaN,NaN,NaN,NaN,NaN,31.0825199891055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.0757870671168,NaN,NaN,NaN,NaN,NaN,-1.0578137136131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0666766457171,NaN,NaN,NaN
3001,NaN,37.2465970057701,NaN,28.4561187652264,NaN,NaN,27.1887393230778,29.3151034549799,27.3818045212286,NaN,NaN,NaN,NaN,NaN,NaN,32.9388025412976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6989878692591,NaN,NaN,NaN,NaN,NaN,0.597458702181723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.1792343972578,NaN,NaN,NaN
3301,NaN,38.5010107288121,NaN,30.14149691044,NaN,NaN,28.5782447739553,NaN,28.5532210163531,NaN,NaN,NaN,NaN,NaN,NaN,34.8178811720775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.3338245371596,NaN,NaN,NaN,NaN,NaN,2.30517257000803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3229862300119,NaN,NaN,NaN
