Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,17.6600109261856,20.3130978034901,48.5426099672291,20.4332931150077,NaN,NaN,NaN,19.8443539239975,18.386600628428,NaN,NaN,NaN,NaN,NaN,NaN,21.3387709616682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.3009534454639,NaN,NaN,NaN,28.4824224128995,NaN,-23.8055211328064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,19.311647240316,21.753666015032,49.1394900848633,21.9157162329284,NaN,NaN,NaN,21.6437078960682,19.9231337500995,NaN,NaN,NaN,NaN,NaN,NaN,23.3128632589989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.6607514932767,NaN,NaN,NaN,29.8819615045972,NaN,-22.1265032048365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,21.1362263301141,23.0254781279753,49.729914280115,23.3705626733555,NaN,NaN,NaN,23.0297004035278,21.4968365639634,NaN,NaN,NaN,NaN,NaN,NaN,25.1584684146905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.9329342585648,NaN,NaN,NaN,31.0211646584436,NaN,-20.485295670777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,22.8240507352707,24.5799723341329,50.3523870373203,24.7458335369981,NaN,NaN,NaN,24.6305078475712,23.0199761882065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.0472195152003,NaN,NaN,NaN,32.3439980911648,NaN,-18.7316841504444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.20832069969704,NaN,NaN,NaN
1501,NaN,25.9746245012666,50.7795101628497,26.0231245905639,NaN,NaN,NaN,26.0342275011638,24.5100459354167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.3136264602422,NaN,NaN,NaN,33.5448655253454,NaN,-16.6719698702743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.04181603346247,NaN,NaN,NaN
1801,25.7407171707025,27.380677308489,51.1915254703853,27.3618494672064,NaN,NaN,NaN,27.3546587595927,25.8058013651898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9602600639321,NaN,NaN,NaN,34.8906566400915,NaN,-14.7413843625939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.83016275543118,NaN,NaN,NaN
2101,26.9001324626038,28.8180557110097,51.5168692363371,28.366181864017,NaN,NaN,NaN,28.5243524865055,27.2293103909933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.5652152602908,NaN,NaN,NaN,NaN,NaN,-12.7663589440047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.74483624822346,NaN,NaN,NaN
2401,28.3269158419697,30.1128617239973,51.8383050485179,29.8548140712011,NaN,NaN,NaN,29.9364359249813,28.6849567425465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.0689155466888,NaN,NaN,NaN,NaN,NaN,-10.5149211666467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.86926440460122,NaN,NaN,NaN
2701,29.9453703227769,31.4721784296528,52.3703181480384,31.0047619046572,NaN,NaN,29.0262915452882,31.4967173752393,29.766970436105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.6619282349207,NaN,NaN,NaN,NaN,NaN,-8.0993201426543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.85185919940294,NaN,NaN,NaN
3001,31.3433980098592,33.0134695600876,52.9694470957319,32.2482415680967,NaN,NaN,30.7143959198089,32.8044648076692,31.1052544207362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.2224217141668,NaN,NaN,NaN,NaN,NaN,-5.66352869009104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.922576746343566,NaN,NaN,NaN
3301,32.5737590215738,34.6643056884589,53.7058460455468,33.3999533605597,NaN,NaN,32.8632041436754,34.1212985076759,32.9345098622344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.5526570743173,NaN,NaN,NaN,NaN,NaN,-3.03825968941341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.224883238169135,NaN,NaN,NaN
3601,33.1975505794528,36.0691232631611,55.3480342873647,34.7158954695132,NaN,NaN,33.5137357758735,36.0220680179037,33.479119621041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.3769311207383,NaN,NaN,NaN,NaN,NaN,-0.546488478746465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.793730188921899,NaN,NaN,NaN
