Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,20.0063330753214,11.4417600205515,13.2199021753604,NaN,NaN,NaN,12.5339879649703,13.2177661843146,NaN,NaN,NaN,NaN,NaN,NaN,16.7791613600013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.9783669682087,NaN,NaN,NaN,23.7601237505514,NaN,-15.4765388492229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,21.4127129782479,12.9224071900409,14.6249907853247,NaN,NaN,NaN,13.8708521868873,14.5320406047681,NaN,NaN,NaN,NaN,NaN,NaN,18.4619992064734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1389932973765,NaN,NaN,NaN,25.558616230844,NaN,-14.3558121148922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,22.6980457008218,14.522991274812,16.1218526047357,NaN,NaN,16.1061327644819,15.3294530783015,15.4929519577158,NaN,NaN,NaN,NaN,NaN,NaN,20.2379702092711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4197726200064,NaN,NaN,NaN,27.4027832368051,NaN,-13.083846139456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,24.0752902026365,NaN,17.4767460450178,NaN,NaN,17.3742947641319,16.7054718687431,16.6282969814722,NaN,NaN,NaN,NaN,NaN,NaN,21.7895942109102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7498990163531,NaN,NaN,NaN,NaN,NaN,-11.8565391924252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,25.6223595262805,NaN,18.8544975897841,NaN,NaN,18.5852440714786,17.9875530061749,17.8276723548811,NaN,NaN,NaN,NaN,NaN,NaN,23.2909677820244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.1309214444267,NaN,NaN,NaN,NaN,NaN,-10.5114353707397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,27.3855501874482,NaN,20.3201079830078,NaN,NaN,19.9986181758984,19.3520290981163,18.9768280438742,NaN,NaN,NaN,NaN,NaN,NaN,24.8589236652487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.6344877631436,NaN,NaN,NaN,NaN,NaN,-8.97998415108094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,28.7430693549803,NaN,21.8500895270324,NaN,NaN,21.5339257987985,20.5692089233459,20.1644327244568,NaN,NaN,NaN,NaN,NaN,NaN,26.6591437043115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7837001383856,NaN,NaN,NaN,NaN,NaN,-7.43707507648003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,29.4863994701416,30.2129207315968,NaN,23.4007604535253,NaN,NaN,23.1115707851067,21.9601151772659,21.4315395320129,NaN,NaN,NaN,NaN,NaN,NaN,28.5423366278971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.0917243984175,NaN,NaN,NaN,NaN,NaN,-6.03502310063488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,31.481901037645,31.7689441338088,NaN,24.763898000767,NaN,NaN,24.328019877529,23.4039946691533,22.742954703821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4373464091885,NaN,NaN,NaN,NaN,NaN,-4.61615784391532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
