Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,20.2771400714329,55.2456932803285,18.1869101762687,NaN,NaN,NaN,18.7582862187069,16.6518564906314,NaN,NaN,NaN,NaN,NaN,NaN,18.2915810873177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.4367949913629,NaN,NaN,NaN,26.9515119705902,NaN,-26.9991908155502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,21.8794041900992,55.477594572278,19.6613361207173,NaN,NaN,NaN,20.2458202237257,17.9486385430534,NaN,NaN,NaN,NaN,NaN,NaN,20.2267104444398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8568488911124,NaN,NaN,NaN,28.132784919066,NaN,-25.4930148227259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,21.144420736227,22.9759674819433,55.7947514575476,21.2407351071193,NaN,NaN,NaN,21.7632518058903,19.3953831760136,NaN,NaN,NaN,NaN,NaN,NaN,22.0989447296313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.288189631911,NaN,NaN,NaN,29.6113632126446,NaN,-23.8039418372873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,23.0152222569987,24.3774887359241,56.1532463211515,22.6541367987038,NaN,NaN,NaN,23.2072141149595,21.0600107049048,NaN,NaN,NaN,NaN,NaN,NaN,23.667239299377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.9685699401844,NaN,NaN,NaN,31.3024476359112,NaN,-22.0538961243368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,24.5373060320288,26.1549964152436,56.5610791708576,24.0542104674584,NaN,NaN,NaN,24.6382351008296,22.3603629034259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.5636862500508,NaN,NaN,NaN,NaN,NaN,-20.2516194421571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,25.7273389547734,27.4376106286199,56.9193090722737,25.2969619336747,NaN,NaN,NaN,26.00347417145,23.8227979134587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.9918999784836,NaN,NaN,NaN,NaN,NaN,-18.4194100305624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,NaN,28.7256662332058,57.2256175948525,26.6915667591083,NaN,NaN,24.0140885938325,27.4571225685296,25.3843832261196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.18140118279,NaN,NaN,NaN,NaN,NaN,-16.4157790257103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,28.8512684664122,30.0572490923159,57.4057138473098,28.0314689520676,NaN,NaN,25.6940185984825,29.1410564589986,26.9415910503029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.4965049559195,NaN,NaN,NaN,NaN,NaN,-14.3802028617955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,30.2020583542945,31.7527751966746,58.0940315064457,29.5578756081621,NaN,NaN,27.3419877608782,30.6275088100006,28.3245207650473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.8869130702454,NaN,NaN,NaN,NaN,NaN,-12.2905937696527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,31.5929068257142,33.2896682738696,NaN,30.9214530958422,NaN,NaN,28.7891314414445,NaN,29.5472235448376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.1672001172323,NaN,NaN,NaN,NaN,NaN,-9.98809972961927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,33.1208668286701,34.9149509987407,NaN,32.1663859983529,NaN,NaN,30.606768976541,33.0541443629019,30.9863050159718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.5612058388505,NaN,NaN,NaN,NaN,NaN,-7.48089301631407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,33.8564095627242,36.5736516639607,NaN,33.5118782852516,NaN,NaN,31.4884354798962,NaN,31.8580196281147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.2761051933359,NaN,NaN,NaN,NaN,NaN,-5.06061081335778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.870058812722705,NaN,NaN,NaN
3901,35.6598761044439,38.0651947987388,NaN,34.6317413402421,NaN,NaN,32.934786873557,35.8714728398196,32.9529838889613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.6097775068217,NaN,NaN,NaN,NaN,NaN,-2.81424821141961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,37.1512185999628,39.4162973447138,NaN,35.7922811169262,NaN,NaN,34.5173422779328,37.6021351337121,34.3748591606721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.881439472637,NaN,NaN,NaN,NaN,NaN,-0.606941861604786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,38.7823114210713,41.2776649189504,NaN,36.9636969732575,NaN,NaN,35.4207949549356,39.0791606003653,35.4331595653145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.1464455190787,NaN,NaN,NaN,NaN,NaN,1.81337047909615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,40.4120119064719,43.2338246626062,NaN,38.132823653701,NaN,NaN,36.8411677023566,39.8421755088423,36.8852935915584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.39829247533,NaN,NaN,NaN,NaN,NaN,4.10760602239141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,41.9847371308823,44.8244607817351,NaN,39.4715005465778,NaN,NaN,38.3799891545691,41.0724619024432,38.0304345438362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.5679927433069,NaN,NaN,NaN,NaN,NaN,6.42137132177671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5401,44.186753335621,46.2913972815631,NaN,41.0831565010069,NaN,NaN,39.7994591472169,42.0904411435409,39.1558577341211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.7014043912201,NaN,NaN,NaN,NaN,NaN,8.81147025069422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5701,46.2988949713401,47.7794694467571,NaN,42.7461522619069,NaN,NaN,NaN,43.2161573265178,40.1546280393328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0545369289826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.199938715911062,NaN,NaN,NaN
