Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,21.3293155117506,13.427901592417,15.6258940445248,NaN,NaN,NaN,15.6911068122504,17.0392484715688,NaN,NaN,NaN,NaN,NaN,NaN,18.9632009084008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.2371850804877,NaN,NaN,NaN,26.8375487380747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.03495717265004,NaN,15.0372831005675,NaN,NaN,19.2652238275018,NaN,NaN,29.1010166448233,114.974503118958,24.1809874632897,NaN,NaN,NaN,83.4273229894344,NaN,32.3930010833769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.82176213680961,14.3720486685451
601,NaN,22.7704530295722,14.8758921514671,17.0108144057587,NaN,NaN,NaN,17.049155334624,18.1772929814124,NaN,NaN,NaN,NaN,NaN,NaN,20.5257740917102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.4195789476236,NaN,NaN,NaN,28.5666086015154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.81305937304175,NaN,16.4103087546929,NaN,NaN,21.130561752769,NaN,NaN,30.7321522319803,112.489652448171,25.3988718258012,NaN,NaN,NaN,83.5747360286501,NaN,34.2024831478279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.12635844705821,15.7675831496597
901,NaN,24.197260124947,16.3984097717607,18.5873903788635,NaN,NaN,NaN,18.3694796618107,19.3539968580152,NaN,NaN,NaN,NaN,NaN,NaN,22.1099369907431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.7699553455927,NaN,NaN,NaN,30.3658432299441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.79696460043267,NaN,17.8938088357258,NaN,NaN,22.6403132218565,NaN,NaN,32.0942411407575,110.201985922138,26.7192820985436,NaN,NaN,NaN,83.5994047716711,NaN,35.6503386735316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.43713796874358,17.1279833204473
1201,NaN,25.6230939451716,17.9217167433595,20.0625994014854,NaN,NaN,18.9244076162709,19.8545198030346,20.7147266094261,NaN,NaN,NaN,NaN,NaN,NaN,23.6102035814881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.1171959917087,NaN,NaN,NaN,32.2841260904133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.8696022234682,NaN,19.6513047095438,NaN,NaN,24.3503083541929,NaN,NaN,33.4070273194368,108.081570698431,27.9781959005928,NaN,NaN,NaN,83.6262725140428,NaN,37.1437340728723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.71607745227935,18.364652310443
1501,NaN,27.3093599634185,NaN,21.4005936049628,NaN,NaN,20.2357610454858,21.1773105624574,22.0309531751899,NaN,NaN,NaN,NaN,NaN,NaN,25.2714652652101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.4470946143907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.9942047709906,NaN,21.1146291590743,NaN,NaN,25.9239966492981,NaN,NaN,34.4347550246856,NaN,29.3762747211934,NaN,NaN,NaN,83.5974760051004,NaN,38.5439315838568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.81228760267109,19.4552050186583
1801,NaN,28.8505707891949,NaN,22.8134596023665,NaN,NaN,21.7243499169926,22.5605208416703,23.254991211489,NaN,NaN,NaN,NaN,NaN,NaN,26.822951398548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.8357180109424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.81839400050101,NaN,22.5551631429698,NaN,NaN,27.5024893749679,NaN,NaN,35.6032380745015,NaN,30.7518913735371,NaN,NaN,NaN,83.5209859143002,NaN,39.92818794531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.06821996773635,20.8195613879415
2101,27.5539666504187,30.5471323072874,NaN,24.3596553024662,NaN,NaN,23.6224179639026,23.8572644683203,24.7149500687303,NaN,NaN,NaN,NaN,NaN,NaN,28.7222936401817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.9828619938952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.60706223270683,NaN,24.1248152115584,NaN,NaN,29.3338882150817,NaN,NaN,37.1736244066313,NaN,32.134769841148,NaN,NaN,NaN,83.4109364097915,NaN,41.3050944639194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3228036618384,22.0718688677837
2401,29.1679194004684,31.9350223604766,NaN,25.9577506983605,NaN,NaN,24.9100566550655,25.275409379735,25.9943631252225,NaN,NaN,NaN,NaN,NaN,NaN,30.5150537149658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.2203607675841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.283188647016211,NaN,25.9389845922453,NaN,NaN,31.0691003198709,NaN,NaN,38.512224092986,NaN,33.3665668633144,NaN,NaN,NaN,83.201137596003,NaN,42.6473778101631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7243820759611,23.3676567955691
2701,31.166385673517,33.4709443839371,NaN,27.4206562088936,NaN,NaN,26.0504306574291,26.7864765128221,27.5015480153066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5452843135427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.806113276004096,NaN,27.387707413893,NaN,NaN,32.5382886994816,NaN,NaN,39.8482713267287,NaN,34.7255793145554,NaN,NaN,NaN,82.8770189291805,NaN,44.1285349467502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.9262279692957,24.8088795035327
