Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,19.9231341255198,NaN,NaN,NaN,NaN,NaN,11.1706368255898,11.3210198105888,NaN,NaN,NaN,NaN,NaN,NaN,13.4890785753867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8827500162238,NaN,NaN,NaN,23.0031896927236,NaN,-18.5076948259759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,NaN,21.5137482752182,NaN,10.7290620010394,NaN,NaN,NaN,12.1088886746638,12.6339162846819,NaN,NaN,NaN,NaN,NaN,NaN,15.3497329821558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.1918990263461,NaN,NaN,NaN,24.6741740325118,NaN,-17.6716789162282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,NaN,22.8285028388442,NaN,12.033180074505,NaN,NaN,15.7078778820616,13.1751321211629,13.6159549828136,NaN,NaN,NaN,NaN,NaN,NaN,17.1627674123088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.4437619183226,NaN,NaN,NaN,26.6089519189594,NaN,-16.7430986916227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,NaN,24.1838748282072,NaN,13.3671340180643,NaN,NaN,16.7982117256748,14.3297544168147,14.5861545018533,NaN,NaN,NaN,NaN,NaN,NaN,18.9000275867242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.5629430495098,NaN,NaN,NaN,28.5141691283673,NaN,-15.6976100780465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,NaN,25.6654813294677,NaN,14.8198529603744,NaN,NaN,18.0446611649602,15.3561312133818,15.8550497418313,NaN,NaN,NaN,NaN,NaN,NaN,20.6379452300661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.8499844459973,NaN,NaN,NaN,30.5901872409787,NaN,-14.4675732928652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,NaN,27.1828594501839,NaN,16.1369568456738,NaN,NaN,19.3394528355533,16.2390886312401,16.6844072082506,NaN,NaN,NaN,NaN,NaN,NaN,22.1838533996591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.26080944811,NaN,NaN,NaN,NaN,NaN,-13.0359459032406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.00697522838515,NaN,NaN,NaN
2101,NaN,28.4400248788884,NaN,17.3512717360522,NaN,NaN,20.4766947960565,17.4630236651555,17.6709549490095,NaN,NaN,NaN,NaN,NaN,NaN,24.0211619338396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.6024070421974,NaN,NaN,NaN,NaN,NaN,-11.7914893105136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.21637536449525,NaN,NaN,NaN
2401,NaN,29.6560575548795,NaN,18.8285219788632,NaN,NaN,21.945953627485,18.7012781764303,18.7090810754673,NaN,NaN,NaN,NaN,NaN,NaN,25.7518997960853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.2466064920813,NaN,NaN,NaN,NaN,NaN,-10.236099072785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.142046694541913,NaN,NaN,NaN
2701,NaN,30.8121876174205,NaN,20.411513392283,NaN,NaN,NaN,19.8538798064427,20.1295041960771,NaN,NaN,NaN,NaN,NaN,NaN,27.6946299992466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7574012046085,NaN,NaN,NaN,NaN,NaN,-8.50327877208468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.977054436010363,NaN,NaN,NaN
