Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C43,C44,C45,C06,C07,C08,C09,C10,C13,C16,C38,C39,C40
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,18.6123529070568,NaN,8.78384477078849,NaN,NaN,11.1876235822602,9.94030624922422,9.73029476630114,NaN,NaN,NaN,NaN,NaN,NaN,14.7083985686581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4757621204795,NaN,NaN,NaN,21.9357367325678,NaN,-31.5549210985783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-25.2864966488342,NaN,NaN,NaN
601,NaN,19.9677054794366,NaN,10.2146264123901,NaN,NaN,12.9291004518004,11.1529125480431,10.7668531021454,NaN,NaN,NaN,NaN,NaN,NaN,16.2841070723699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7428956502076,NaN,NaN,NaN,23.4943557732082,NaN,-30.6849159824971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.3650521539245,NaN,NaN,NaN
901,NaN,21.6476386836045,NaN,11.3586902506234,NaN,NaN,14.2281276778379,12.1139482047415,11.7426653894322,NaN,NaN,NaN,NaN,NaN,NaN,18.0588849715791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0619868179061,NaN,NaN,NaN,25.2740831243557,NaN,-29.7619763334478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23.4270684158984,NaN,NaN,NaN
1201,NaN,23.0869500735693,NaN,12.6816126049697,NaN,NaN,15.4109684184503,13.1423910102886,12.893660794177,NaN,NaN,NaN,NaN,NaN,NaN,19.9123485641207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3054860819236,NaN,NaN,NaN,NaN,NaN,-28.7799241715027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.532022476179,NaN,NaN,NaN
1501,NaN,24.4879230762689,NaN,14.058022937284,NaN,NaN,16.5888909021061,14.2251711502064,14.0964571526077,NaN,NaN,NaN,NaN,NaN,NaN,21.744808764332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.5384475287405,NaN,NaN,NaN,NaN,NaN,-27.7648375414278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21.6669596122252,NaN,NaN,NaN
1801,NaN,25.8232693925868,NaN,15.5117616189938,NaN,NaN,17.674013417399,15.3495318411218,15.4727733546997,NaN,NaN,NaN,NaN,NaN,NaN,23.5873627934059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8402051355519,NaN,NaN,NaN,NaN,NaN,-26.5957219992592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.8668903555469,NaN,NaN,NaN
2101,NaN,27.0795879460633,NaN,16.9500788893022,NaN,NaN,18.8435475262327,16.2479445781714,16.4280552651195,NaN,NaN,NaN,NaN,NaN,NaN,25.3415927811878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.9406821169486,NaN,NaN,NaN,NaN,NaN,-25.4523588252452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.1656262568258,NaN,NaN,NaN
2401,NaN,28.4800345626959,NaN,18.4224041396916,NaN,NaN,19.8825965241069,17.2542270361246,17.5068145351615,NaN,NaN,NaN,NaN,NaN,NaN,26.9928769937936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2565631914612,NaN,NaN,NaN,NaN,NaN,-24.0117814510619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.415541528012,NaN,NaN,NaN
2701,NaN,29.9478528217895,NaN,19.8610738917874,NaN,NaN,21.0007214198285,18.460684006558,18.7613226128281,NaN,NaN,NaN,NaN,NaN,NaN,28.1516104829571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.5721994662761,NaN,NaN,NaN,NaN,NaN,-22.2854354167435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.46356458473,NaN,NaN,NaN
