Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0149319577485316,0.00601816274232253,0.0131220897051569,NaN,NaN,NaN,0.010305138419617,NaN,0.00458173442859823,NaN,NaN,NaN,0.0119980635545021,NaN,NaN,0.0159009414908378,NaN,0.00753145015004837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0199514157558967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139277808015872,0.0206262725892221,0.0246423098292329,NaN,NaN,0.0143501047984099,NaN,NaN,NaN,NaN,0.0224013928022382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026007752778664,0.0104169083531481,NaN
601,0.0232913142017247,0.0173861367535739,0.0291142341033821,NaN,NaN,NaN,0.00999294544111437,NaN,0.00582651755614191,NaN,NaN,NaN,0.03442802628588,NaN,NaN,0.0253930169543203,NaN,0.00948299876280731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00731371730307553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0128167324222517,0.00425177322194222,0.0145723102432965,NaN,NaN,0.0111990203296815,NaN,NaN,NaN,NaN,0.0171674323446245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0128470420972708,0.0110538963457424,NaN
901,0.0218556023558733,0.0145490783036972,0.0259555603836324,NaN,NaN,NaN,0.0257939985031577,NaN,0.0110607528652159,NaN,NaN,NaN,0.00763273064883965,NaN,NaN,0.0077889685447186,NaN,0.0401384905836462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0174786769073031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0306313807973082,0.0164965584152843,0.0106813695978429,NaN,NaN,0.0220411372200565,NaN,NaN,NaN,NaN,0.0107692093293003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00809092976728126,0.0126309931700224,NaN
1201,0.0294479872442732,0.0105460926326953,0.0422215489336772,NaN,NaN,NaN,0.0194465561741062,NaN,0.0152821135696868,NaN,NaN,NaN,0.0108335493685796,NaN,NaN,0.0115223074800107,NaN,0.0346306223261795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101666723317475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00656458340539151,0.013991905572694,0.0161453189668299,NaN,NaN,0.0345816760680091,NaN,NaN,NaN,NaN,0.00974779645436735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0414948204745725,0.0239230099867674,NaN
1501,0.00891659748685455,0.024142096668218,0.0200875785382565,NaN,NaN,NaN,0.00827601834541521,NaN,0.0140263794749639,NaN,NaN,NaN,0.00776733658079984,NaN,NaN,0.00578254759515094,NaN,0.037341979182831,NaN,NaN,0.0140577216208991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0137871045419807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0163223170149417,0.0263916606024771,NaN,NaN,0.0307229445260727,NaN,NaN,NaN,NaN,0.0107035644892851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0304120300747551,0.00834396922256971,NaN
1801,0.00980772539836572,0.0239550206265038,0.0484684215563404,NaN,NaN,NaN,0.0399254312763329,NaN,0.0158102465473419,NaN,NaN,NaN,0.0120325687469929,NaN,NaN,0.025683233909285,NaN,0.0222615221682684,NaN,NaN,0.0239472108383187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149222729260741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111305072090426,0.0212109785853662,0.00441441797969034,NaN,NaN,0.0162125863683972,NaN,NaN,NaN,NaN,0.0143742448873572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020598573410936,0.0146038857759103,NaN
2101,0.0160065812714749,0.0261574762575062,0.0281313003552114,NaN,NaN,0,0.0174729239239633,NaN,0.00633212604732728,NaN,NaN,NaN,0.0173852980336793,NaN,NaN,0.0107434549446182,NaN,0.02651259795173,NaN,NaN,0.0353803035658615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0200311629416451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00981670051488998,0.00616689006600789,0.0146246328404831,NaN,NaN,0.016676662732214,NaN,NaN,NaN,NaN,0.0110861919631561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221165667002825,0.01347964189922,NaN
2401,0.0316845440470702,0.0177892363004962,0.0143604483990708,NaN,NaN,0.0308772637935288,0.0212654764420803,NaN,NaN,NaN,NaN,NaN,0.0110570928579472,NaN,NaN,0.0135916786557845,NaN,0.0335619402479423,NaN,NaN,0.0227641872899145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00368238119096494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122366801941083,0.00474992278736435,0.0222817425523709,NaN,NaN,0.030084250277613,NaN,NaN,NaN,NaN,0.0273704455113353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0162878159117115,0.012432640899131,NaN
2701,0.0128480996576397,0.0140373992865928,0.0246168364689383,NaN,NaN,0.0521084224596489,0.0188678754673837,NaN,NaN,NaN,NaN,NaN,0.0105759930467889,NaN,NaN,0.0200476968433386,NaN,0.03434024389409,NaN,NaN,0.016338620822028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197000717282303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0108088598015266,0.0400920007842828,0.00646367415986743,NaN,NaN,0.0162363590660769,NaN,NaN,NaN,NaN,0.01739071133925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0328797459011314,0.0117885345969862,NaN
3001,0.0148789340578917,0.0128821798060642,0.0497018522878913,NaN,NaN,0.03675910604971,0.0149086937650661,NaN,NaN,NaN,NaN,NaN,0.023584614227669,NaN,NaN,0.0254318449313268,NaN,0.0492914154057255,NaN,NaN,0.0100279262243551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012425478534909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0130052430836178,0.0105775447664212,0.0175750773525891,NaN,NaN,0.0518227458787703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221499028117764,0.0279906655600663,NaN
3301,0.0159836110945084,NaN,0.0191210474479882,NaN,NaN,0.0156361746223985,0.00756609197329942,NaN,NaN,NaN,NaN,NaN,0.0234962664791835,NaN,NaN,0.0331421667206109,NaN,0.0172595415827496,NaN,NaN,0.0129972943578438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00882049673417959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00198860369371037,0.00346243746693163,0.0199499086471903,NaN,NaN,0.0280052340360689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0159975002050859,0.0186434989763888,NaN
3601,0.0142090421940365,NaN,0.0176867789471717,NaN,NaN,0.0301918218174502,0.0237336021987941,NaN,NaN,NaN,NaN,NaN,0.0108562292994121,NaN,NaN,0.00672346731160549,NaN,0.0373589310245853,NaN,NaN,0.0150580342815666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0211833738035198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109511554788956,0.0183860135252374,0.00976189145678505,NaN,NaN,0.0237578273544241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119186631055838,0.0169822719286542,NaN
3901,0.013319747776921,NaN,0.0288345373708334,NaN,NaN,0.0440627704039498,0.0231034977234449,NaN,NaN,NaN,NaN,NaN,0.0105925009758087,NaN,NaN,0.047555412222069,NaN,0.0390925904680367,NaN,NaN,0.0225218791789492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0204852384091094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0198131497719437,NaN,0.0138472924377252,NaN,NaN,0.0262453387105421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0236224439221607,0.012796107718711,NaN
4201,0.0206923731471828,NaN,0.0411669195883737,NaN,NaN,0.0322555440199342,0.0198479015564955,NaN,NaN,NaN,NaN,NaN,0.0171743679396057,NaN,NaN,0.0110949816434268,NaN,0.0654902407591046,NaN,NaN,0.0117626335578349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0117148141924868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0120673523233127,NaN,0.0169622266651487,NaN,NaN,0.02745750692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0233038898050482,0.0103182381929073,NaN
4501,0.00667415913688186,NaN,0.0327720070918011,NaN,NaN,0.0216749054543092,0.044610594869287,NaN,NaN,NaN,NaN,NaN,0.0206723733680243,NaN,NaN,0.00646204397791512,NaN,0.0383884469070513,NaN,NaN,0.0225083537612229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020734756765283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0132159523261548,NaN,0.0155553909564241,NaN,NaN,0.0266324589703553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0204100763570396,0.0247856912337929,NaN
4801,0.0113997235753761,NaN,0.0351806140596394,NaN,NaN,0.0218019260078329,0.0184488564226252,NaN,NaN,NaN,NaN,NaN,0.0325234074135347,NaN,NaN,0.010546097137864,NaN,0.0283626858196458,NaN,NaN,0.0244700395927217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0179685569227433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0367523728841982,NaN,0.0185817057034588,NaN,NaN,0.0463135195133981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0313877894886547,0.0180296803741268,NaN
5101,0.0159659709230477,NaN,0.0267952937680992,NaN,NaN,0.0147935087505845,0.0167531337778527,NaN,NaN,NaN,NaN,NaN,0.0246231520516933,NaN,NaN,0.00252627791382816,NaN,0.0181557936015731,NaN,NaN,0.00376129489862743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0060556374528455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0335190057778157,NaN,0.0108186952787454,NaN,NaN,0.0130358233168078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0151077516606233,0.0141669829384903,NaN
5401,0.0203284841820602,NaN,0.00429124170867048,NaN,NaN,0.0232790015280042,0.011995288416538,NaN,NaN,NaN,NaN,NaN,0.0269045181807504,NaN,NaN,0.00995664171745908,NaN,0.0172361962777223,NaN,NaN,0.0120384482903182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0195637234296363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0173537345089565,NaN,0.0100683152505577,NaN,NaN,0.0173199065221053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0144342241422684,0.0244255526112054,NaN
5701,0.0164646089191996,NaN,0.0094474211847896,NaN,NaN,0.0350542265636908,0.0380726230524605,NaN,NaN,NaN,NaN,NaN,0.0220500921160115,NaN,NaN,0.00811582620264916,NaN,0.0136387630385549,NaN,NaN,0.0111148994194705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0147676702083773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00872737999925424,NaN,0.00711017824907901,NaN,NaN,0.0239641327280179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0235140944098971,0.00637445637253823,NaN
6001,0.00899684815750579,NaN,0.0252020040302965,NaN,NaN,0.0214123988457823,0.0132071202166563,NaN,NaN,NaN,NaN,NaN,0.00235671737930661,NaN,NaN,0.0129990923165372,NaN,0.029524697688252,NaN,NaN,0.0257579701237399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00732776740919321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101689292994812,NaN,0.0174130162885077,NaN,NaN,0.0133352547022834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0106654685567012,0.00702337804491395,NaN
6301,0.0127908501424539,NaN,0.0143538482523745,NaN,NaN,0.0210248171462184,0.0217089092542221,NaN,NaN,NaN,NaN,NaN,0.0203856580598508,NaN,NaN,0.0279355670620485,NaN,0.0662626469670115,NaN,NaN,0.0166481079237699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116883020310731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0198310024902983,NaN,0.005163742060537,NaN,0.0560572658303251,0.0148923306678713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00311709769567788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0121980326826759,0.0209319035511526,NaN
6601,0.019594890835877,NaN,0.0138730779456252,NaN,NaN,0.00850723744419233,0.0123686092170975,NaN,NaN,NaN,NaN,NaN,0.0117321881141612,NaN,NaN,0.0166676884785349,NaN,0.0264543164939065,NaN,NaN,0.00881795414643126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139560807606467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00904727031941347,NaN,0.0177811264680148,NaN,0.0202524783114173,0.0276442325266531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0193493131423788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015751600138012,0.0278692222360153,NaN
6901,0.01611601666916,NaN,0.0160194493374663,NaN,NaN,0.0255053091843265,0.0265378830929107,NaN,NaN,NaN,NaN,NaN,0.00936278979529565,NaN,NaN,0.0175178340342822,NaN,0.0763209952275594,NaN,NaN,0.00988960612686957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0157018145995277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00812654652243101,NaN,0.0122768945276886,NaN,0.0133215633655036,0.0259062724308089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0283500684490171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0222690878162864,0.0207644424046306,NaN
7201,0.014069744516871,NaN,0.0109313822512883,NaN,NaN,0.0151169787816148,0.0576704823254177,NaN,NaN,NaN,NaN,NaN,0.0215363646296784,NaN,NaN,0.00916451111283403,NaN,0.0473612483977798,NaN,NaN,0.00704861247637411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024951808459725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0712982348846077,NaN,0.0231932087668108,NaN,0.025815859558531,0.0258662125035756,NaN,NaN,NaN,0.008277151722772,NaN,NaN,NaN,0.0143871291347285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0184081255543189,0.0149942664240178,NaN
7501,0.0223336503778297,NaN,0.0127405902094591,NaN,NaN,0.00723421156097422,0.0422648936098823,NaN,NaN,NaN,NaN,NaN,0.0104019855347884,NaN,NaN,0.0204046107667159,NaN,0.0516420030240908,NaN,NaN,0.0221190824025735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0209544351184803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09972638105959,NaN,0.0120897642458655,NaN,0.0115001879997123,0.00625468497887436,NaN,NaN,NaN,0.0315571266809964,NaN,NaN,NaN,0.0206455368448764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0124394122945485,0.0209387513682724,NaN
7801,0.0180093242179503,NaN,0.0238494363745219,NaN,NaN,0.00951886008502428,0.032983417894642,NaN,NaN,NaN,NaN,NaN,0.00792678825023458,NaN,NaN,0.00606585065969852,NaN,0.0128899026001508,NaN,NaN,0.011571151982652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011744060667028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.104068223769549,NaN,0.0108676886223819,NaN,0.0278285289803713,0.0138734449455082,NaN,NaN,NaN,0.0298615262864435,NaN,NaN,NaN,0.0327759577152033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197120942221024,0.00462612531090008,NaN
8101,NaN,NaN,0.00971438537344819,NaN,NaN,0.0121593323083661,0.028258726144921,NaN,NaN,NaN,0.00749397884109421,NaN,0.0219138203837653,NaN,NaN,0.0165122604655617,NaN,0.0280045139816272,NaN,NaN,0.013121865113288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0154881342363992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0303016947335146,NaN,0.0107899265351544,NaN,0.0299133938326918,0.011839567057232,NaN,NaN,NaN,0.035942159118468,NaN,NaN,NaN,0.0128559234678874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0183580822633508,0.0105339332259293,NaN
