Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.013452409988883,0.00985834341177865,NaN,NaN,NaN,NaN,0.0484361705291893,NaN,0.129527960066543,NaN,NaN,NaN,0.00709460353324846,NaN,NaN,0.0232096669097288,NaN,0.0613070741925168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0037373742608642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0222693586277173,0.0187962004615953,NaN,NaN,NaN,NaN,0.0337773414415989,NaN,0.0606460638043063,NaN,NaN,NaN,0.0143232474970278,NaN,NaN,0.0120067541178518,NaN,0.0245359840451825,NaN,NaN,0.0290721070309511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0108906844477686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0181013552464964,0.0082663361468296,0.0255120154322324,NaN,NaN,NaN,0.0173374015078443,NaN,0.0698911488533752,NaN,NaN,NaN,0.00956986342284637,NaN,NaN,0.0266818122997625,NaN,0.0412867414723387,NaN,NaN,0.0137088594734762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00532902406882789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0168267060129484,0.0155367933413832,0.0202041584425124,NaN,NaN,NaN,0.0325254275165694,NaN,0.100408626200791,NaN,NaN,NaN,0.0126544753222533,NaN,NaN,0.0413556050156958,NaN,0.0160035992402966,NaN,NaN,0.010096741003026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00824594704643077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0134500337597087,0.0148923701185403,0.018985239563992,NaN,NaN,NaN,0.0332590788534687,NaN,NaN,NaN,NaN,NaN,0.0126927224740787,NaN,NaN,0.0187353796685422,NaN,0.0250081642534499,NaN,NaN,0.020052111745746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0157932245478328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.027699921563206,0.0158307289625645,0.0374482778752843,NaN,NaN,NaN,0.00410153403856335,NaN,0.0550790825747775,NaN,NaN,NaN,0.023305324038109,NaN,NaN,0.0228217534979511,NaN,0.0377812057820351,NaN,NaN,0.0315608359751438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131483799856814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0184088169924855,0.0215776304808844,0.0249731290132148,NaN,NaN,0.00093542514258469,0.0161778230199968,NaN,NaN,NaN,NaN,NaN,0.00351033579944159,NaN,NaN,0.0186369421972073,NaN,0.0671739896812019,NaN,NaN,0.030751574018181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00765502644698334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0224395120148148,0.0140176156267552,0.0405535974535862,NaN,NaN,0.0965533388387825,0.022527475306337,NaN,NaN,NaN,NaN,NaN,0.0150879472115386,NaN,NaN,0.0221232253290738,NaN,0.0453028564099824,NaN,NaN,0.02958251614984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00451588685121527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.00858148076888803,0.032477215836464,0.0580210663289172,NaN,NaN,0.0405776250201736,0.0207873583269472,NaN,NaN,NaN,NaN,NaN,0.0179639957207994,NaN,NaN,0.0325749303092285,NaN,0.0237550402457311,NaN,NaN,0.00922811763500622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014965606090601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
