Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0179067922622738,0.0567977131980241,NaN,NaN,NaN,NaN,0.0472759960229083,NaN,0.0122480637707407,NaN,NaN,NaN,0.0125252475467583,NaN,NaN,0.0079889055847993,NaN,0.0471338521537053,NaN,NaN,0.051743503562746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0272653380208578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0170020563422852,0.0189770823161519,0.0110286302508461,NaN,NaN,0.0325668898094214,NaN,NaN,NaN,NaN,0.0228010164554348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0130123813737517,0.00980702697013321,NaN
601,0.0272331737304981,0.0395072813102299,NaN,NaN,NaN,NaN,0.0161123021920966,NaN,0.0216940798060151,NaN,NaN,NaN,0.0146261128901116,NaN,NaN,0.0266529728246667,NaN,0.026640004629713,NaN,NaN,0.038266254862907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0150832419558368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0259867117404419,0.00321653463948053,0.0108395215246612,NaN,NaN,0.0155383536916785,NaN,NaN,NaN,NaN,0.00372529025117821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012184599943993,0.0180270693938542,NaN
901,0.0103363767544082,0.0298968453088175,NaN,NaN,NaN,NaN,0.0190801007108849,NaN,0.0341915163071149,NaN,NaN,NaN,0.0164236229133012,NaN,NaN,0.0272480802444744,NaN,0.0227605013386691,NaN,NaN,0.0247888648994672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0137121301296746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133371590704351,0.0262661911826761,0.0312616875576997,NaN,NaN,0.00527533627027373,NaN,NaN,NaN,NaN,0.0184837785981854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00383384776318735,0.00758297152561961,NaN
1201,0.0437312422314839,0.0116354499424086,NaN,NaN,NaN,NaN,0.0255703705599595,NaN,NaN,NaN,NaN,NaN,0.0262509329333389,NaN,NaN,0.0157476533304815,NaN,0.0312951931041581,NaN,NaN,0.0247027036931748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0413981620595482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116004417688789,0.0218530157866011,0.0170340522814017,NaN,NaN,0.0141643668031484,NaN,NaN,NaN,NaN,0.020887585913509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0124820185482575,0.016887872397236,NaN
1501,0.0326288193958157,0.0300362910930233,0,NaN,NaN,NaN,0.0356837526154675,NaN,NaN,NaN,NaN,NaN,0.0487670894422273,NaN,NaN,0.016778456727402,NaN,0.0266551277725766,NaN,NaN,0.0197252187166682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0239299032748263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0387482881418011,0.0135885093636906,0.0230407358302543,NaN,NaN,0.00935423558360175,NaN,NaN,NaN,NaN,0.0138933178475492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0161810463191647,0.0105741218369811,NaN
1801,0.00572585709592659,0.0247408691580859,0.0235165233240737,NaN,NaN,NaN,0.0154192542780815,NaN,NaN,NaN,NaN,NaN,0.0377671566333094,NaN,NaN,0.00744954889343326,NaN,0.0266658956881256,NaN,NaN,0.0276386449790407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0270698562375401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0320962630110584,0.0213161792702669,0.0394722299160388,NaN,NaN,0.00940528500203545,NaN,NaN,NaN,NaN,0.0328246131813826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00747896143244099,0.0159788321027475,NaN
2101,0.0166211285977728,0.0300471627111605,0.0553105690272516,NaN,NaN,NaN,0.0251841941642324,NaN,NaN,NaN,NaN,NaN,0.042495426328258,NaN,NaN,0.0216098334310195,NaN,0.024664527759697,NaN,NaN,0.06608539168174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114022842585677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0220591558695442,0.0179175049354016,0.010635019825125,NaN,NaN,0.0222428237068102,NaN,NaN,NaN,NaN,0.0102015008526056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00935405260786917,0.0247411056095702,NaN
2401,0.0349313982981676,0.026156661116108,0.0134877014659212,NaN,NaN,NaN,0.0190344935612916,NaN,NaN,NaN,NaN,NaN,0.0327305747614566,NaN,NaN,0.0251488425960316,NaN,0.0484939523423139,NaN,NaN,0.0222971520582354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0104356889500403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0135353513134997,0.0120127513601114,0.0228322787310798,NaN,NaN,0.0136404898018663,NaN,NaN,NaN,NaN,0.0141297480582141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149200205189611,0.0260968334125014,NaN
2701,0.0277625442318178,0.0118473492055242,0.0386581868340035,NaN,NaN,0.024871914558502,0.0191523691163503,NaN,NaN,NaN,NaN,NaN,0.0239083828274834,NaN,NaN,0.0412655986065156,NaN,0.0289947019377013,NaN,NaN,0.022384992138687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0456865275473649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00644981901908675,NaN,0.00364025576363597,NaN,NaN,0.0100718172268345,NaN,NaN,NaN,NaN,0.00927549204208447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0107025714964139,0.0252969133990541,NaN
