Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0130143041950635,0.017598095619896,NaN,NaN,NaN,NaN,0.00700455033894265,NaN,0.0086301677414274,NaN,NaN,NaN,0.0187008829363619,NaN,NaN,0.0262384187682502,NaN,0.0276033540224059,NaN,NaN,0.0523706382508525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025974306935051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0100475279734374,0.0106676934918665,NaN,NaN,NaN,NaN,0.0203492194870578,NaN,0.0122398294099674,NaN,NaN,NaN,0.0221238947659344,NaN,NaN,0.016027875697215,NaN,0.0478214012872562,NaN,NaN,0.0262842691127353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0175083239644452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0160856202792826,0.0119176562272289,NaN,NaN,NaN,NaN,0.043073281959028,NaN,0.00852383373840346,NaN,NaN,NaN,0.00892487701616368,NaN,NaN,0.0180605368639792,NaN,0.00984006285850659,NaN,NaN,0.0553324419262996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0136742086422568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0131826405951858,0.0181061830995571,NaN,NaN,NaN,NaN,0.0102811601945873,NaN,0.0146516278302752,NaN,NaN,NaN,0.0155851844368159,NaN,NaN,0.015141032401929,NaN,0.0143796925412511,NaN,NaN,0.0213450591253246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197296555584057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0149797767734651,0.00898810294457433,0.068368539772511,NaN,NaN,NaN,0.0244846064299092,NaN,0.00163237059908061,NaN,NaN,NaN,0.0170839656497855,NaN,NaN,0.0193602270782549,NaN,0.0157583794675959,NaN,NaN,0.0212815934909318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00489533743691193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0240874717558559,0.0194171436591807,0.038624546003251,NaN,NaN,NaN,0.0453525016778173,NaN,NaN,NaN,NaN,NaN,0.0258847578811065,NaN,NaN,0.0164199046146823,NaN,0.0180123088267365,NaN,NaN,0.0358789107167186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0070977625490616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.00617316868514853,0.00781431364794248,0.063746681467295,NaN,NaN,0,0.00768835122561404,NaN,NaN,NaN,NaN,NaN,0.0105883531644379,NaN,NaN,0.0273445519611292,NaN,0.033866175291234,NaN,NaN,0.0502135149811102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0136186213056629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0127616242757574,0.0202037502331838,0.0374033675450779,NaN,NaN,0.00622923647610152,0.0125683883508139,NaN,NaN,NaN,NaN,NaN,0.0213620747529736,NaN,NaN,0.0205700673116171,NaN,0.0391474919570265,NaN,NaN,0.0103918405922364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101419962371005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0224688035890874,0.0131983641119521,0.0228363039449799,NaN,NaN,0.0501264600468903,0.0334973077262809,NaN,NaN,NaN,NaN,NaN,0.0156411555054708,NaN,NaN,0.0330540805127658,NaN,0.023281513061871,NaN,NaN,0.0170981287914024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0160697935328549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.00847336473837516,0.0268804036857726,0.0389788425487638,NaN,NaN,0.0144720330623527,0.0121698357317978,NaN,NaN,NaN,NaN,NaN,0.0092105886369595,NaN,NaN,0.0307487711426061,NaN,0.0287122714549484,NaN,NaN,0.0152017572494049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0096295089640834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
