Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0190327169737397,0.0320877449253211,NaN,NaN,NaN,NaN,0.0212438169335423,NaN,0.13594384064642,NaN,NaN,NaN,0.0368891514293187,NaN,NaN,0.0707103546750159,NaN,0.0192596433020407,NaN,NaN,0.0254634627214767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0237333743518046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0191042941441898,0.0379367721651978,NaN,NaN,NaN,NaN,0.0251276540546485,NaN,0.0236526027313507,NaN,NaN,NaN,0.0211976626449121,NaN,NaN,0.171293627835695,NaN,0.0104829783369876,NaN,NaN,0.0260425129296462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0264793642061031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0239583642156109,0.0320914899725321,NaN,NaN,NaN,NaN,0.0441527456457894,NaN,0.0285334061005937,NaN,NaN,NaN,0.013603295423463,NaN,NaN,0.0304010217477705,NaN,0.105746652210572,NaN,NaN,0.0475984000243343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0206053084003976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0103395531986894,0.0300613715906224,NaN,NaN,NaN,NaN,0.0177520476067013,NaN,0.0385793331735552,NaN,NaN,NaN,0.0302731056035907,NaN,NaN,0.0236216607130451,NaN,0.0673448729895497,NaN,NaN,0.00604738994447249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0190354555989015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0350946073475756,0.0291929076884407,0.0504525694491339,NaN,NaN,NaN,0.0154744542723375,NaN,0.0214864541320483,NaN,NaN,NaN,0.0158718563382287,NaN,NaN,0.0209267058076174,NaN,NaN,NaN,NaN,0.027593705847373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0295802887086453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0481241196074399,0.031695777034829,0.044084266962011,NaN,NaN,NaN,0.0180210848191613,NaN,NaN,NaN,NaN,NaN,0.022333673079104,NaN,NaN,0.0510791811997323,NaN,0.0562996919845907,NaN,NaN,0.0235377622400509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0481718691093198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0252304228908133,0.0616475067705783,0.0419537849240472,NaN,NaN,NaN,0.00817024157094268,NaN,NaN,NaN,NaN,NaN,0.0295566099549191,NaN,NaN,0.0393126131159233,NaN,0.0949827345322971,NaN,NaN,0.0324738290479719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0252010633224165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.023022938614915,0.0347286848107158,0.00666341685218889,NaN,NaN,0,0.0136333003634309,NaN,NaN,NaN,NaN,NaN,0.0642824893897712,NaN,NaN,0.0474136391036725,NaN,0.0367169261076618,NaN,NaN,0.0165846454366485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0110600787571142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0303691491484293,0.0250861393783774,0.0397122747860451,NaN,NaN,0.0469851983309371,0.04462262070184,NaN,NaN,NaN,NaN,NaN,0.038629026990889,NaN,NaN,0.0342135889573911,NaN,0.0417815610116628,NaN,NaN,0.0111876193031766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0126869911676763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
