Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0356742742113321,0.0169234448476012,NaN,NaN,NaN,NaN,0.0222143772672339,NaN,0.0326285549875365,NaN,NaN,NaN,0.035989259951755,NaN,NaN,NaN,NaN,0.141118495716332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0200447466166153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.00717309059163646,0.0108978593714239,NaN,NaN,NaN,NaN,0.0158749486215882,NaN,0.0119788531382515,NaN,NaN,NaN,0.0409213265703155,NaN,NaN,0.0132830122855688,NaN,0.0071546080839187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0174346628864302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0147341573249982,0.0262221645026181,NaN,NaN,NaN,NaN,0.0228028084060958,NaN,0.021685859997899,NaN,NaN,NaN,0.0129990629741433,NaN,NaN,0.0426257126624487,NaN,0.0502588001199885,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0061879809006968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0399447672485637,0.0227395557121647,NaN,NaN,NaN,NaN,0.0396851200430819,NaN,0.00521976564594535,NaN,NaN,NaN,0.0159749230020599,NaN,NaN,0.0213303170437878,NaN,0.0255478642791224,NaN,NaN,0.00926850985205656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0118019933322697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0256792142639721,0.031117569168512,0.0364322529744657,NaN,NaN,NaN,0.0147634492597258,NaN,NaN,NaN,NaN,NaN,0.00947137472491972,NaN,NaN,0.0167967379621955,NaN,NaN,NaN,NaN,0.0221623439014904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0137532299883921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0224895386588828,0.0102294114729692,0.0246174598519214,NaN,NaN,NaN,0.0113597895967211,NaN,NaN,NaN,NaN,NaN,0.0189528236917198,NaN,NaN,0.0173641982660559,NaN,0.0296445390815566,NaN,NaN,0.0212816139967749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0148673844600904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0192387447362581,0.0153352648907801,0.0259745780542247,NaN,NaN,NaN,0.00411878298247185,NaN,NaN,NaN,NaN,NaN,0.0170981542926033,NaN,NaN,0.0077509871145852,NaN,0.0165704151765666,NaN,NaN,0.0142857766858905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0118223334350239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.012427048986722,0.0237332319104661,0.0280221437766179,NaN,NaN,NaN,0.0128579559746078,NaN,NaN,NaN,NaN,NaN,0.0121183881611171,NaN,NaN,0.00889394804751576,NaN,0.0284117887450543,NaN,NaN,0.0312083928944046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0164036829846233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0172436744246223,0.0257799109199668,0.0206794446478558,NaN,NaN,0,0.0288281996691072,NaN,NaN,NaN,NaN,NaN,0.0133045845932557,NaN,NaN,0.0517878471864451,NaN,0.0248062040002628,NaN,NaN,0.0068165231043687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133999383381409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
