Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0827447660123362,0.0105813436776618,NaN,NaN,NaN,NaN,0.0643664305072243,NaN,0.0620561490671238,NaN,NaN,NaN,0.0335336188707398,NaN,NaN,0.0277327332342545,NaN,0.0170986237679246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0237838848057955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0131104096676327,0.0166742741167818,NaN,NaN,NaN,NaN,0.0439251757174253,NaN,0.0688475522316092,NaN,NaN,NaN,0.0276988175823973,NaN,NaN,0.0468239727519467,NaN,0.0220692027904337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0341441375931031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.111680341263533,0.0252360765728443,NaN,NaN,NaN,NaN,0.0487704613270895,NaN,0.00831899247926018,NaN,NaN,NaN,0.0234899657825972,NaN,NaN,0.0369778808860074,NaN,0.0881467887088465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0277768143792358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.114629361425653,0.0118494860912772,NaN,NaN,NaN,NaN,0.0392766577773169,NaN,0.0384462016715292,NaN,NaN,NaN,0.0101761869975283,NaN,NaN,0.0295360925629742,NaN,0.0590022490195383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0630080429896795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.11389289250638,0.0149378950804219,NaN,NaN,NaN,NaN,0.0411436183596687,NaN,NaN,NaN,NaN,NaN,0.0193402314470734,NaN,NaN,0.0274613414647431,NaN,0.0161216026663511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0138706062315537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.114185774357407,0.0318609506362555,NaN,NaN,NaN,NaN,0.0209253603899247,NaN,NaN,NaN,NaN,NaN,0.00946870449240304,NaN,NaN,0.0297002649852865,NaN,0.0233579791716504,NaN,NaN,0.0548562793451196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0206885640076105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.209615064751821,0.0222106967254076,0.0477913728104923,NaN,NaN,NaN,0.0479672601754771,NaN,NaN,NaN,NaN,NaN,0.00323738201156835,NaN,NaN,0.0417473114778603,NaN,0.0199947898208895,NaN,NaN,0.0574596316829638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0411823331702024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0559885451049231,0.0144104879663734,0.0323647111671439,NaN,NaN,0,0.023723352651338,NaN,NaN,NaN,NaN,NaN,0.0141818968395518,NaN,NaN,0.0451103272100978,NaN,0.0435382476129657,NaN,NaN,0.00843086025076909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0913435400399581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.168729408529511,0.00584971713948893,0.0374125829875121,NaN,NaN,0.0401959520216789,0.0195866253926723,NaN,NaN,NaN,NaN,NaN,0.0286348521308578,NaN,NaN,0.0324816314432272,NaN,0.0529705297169445,NaN,NaN,0.020443680621195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0436936441292701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
