Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0179132382416419,0.0336897501842308,NaN,NaN,NaN,NaN,0.0150631697929811,NaN,0.0227233164870532,NaN,NaN,NaN,0.0403719995900531,NaN,NaN,0.0110500357845319,NaN,0.0429338688649411,NaN,NaN,0.0324682503283026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0087855521539084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0209534944517023,0.0143358061264218,0.0169873282414821,NaN,NaN,0.0251836884858003,NaN,NaN,NaN,NaN,0.0911582771321092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0481299912188702,0.0336062957414022,NaN
601,0.0281941984302626,0.0204220517181693,NaN,NaN,NaN,NaN,0.0299047443393547,NaN,0.0879140466225097,NaN,NaN,NaN,0.0220853228006964,NaN,NaN,0.0513796965302298,NaN,0.0386393007473748,NaN,NaN,0.0469987753169026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0189746486402374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0372767661416964,0.00948516441076633,0.0115365135118077,NaN,NaN,0.0428751209879816,NaN,NaN,NaN,NaN,0.0582748806027307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0432200054230377,0.0202413376474159,NaN
901,0.0373173345232757,0.0242397962493763,NaN,NaN,NaN,NaN,0.0381029890844182,NaN,NaN,NaN,NaN,NaN,0.0292158961323136,NaN,NaN,0.054334859808069,NaN,0.0313095927164131,NaN,NaN,0.0108691218378509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0271469260416735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0216036171567127,0.197959323483349,0.00845785001291622,NaN,NaN,0.0339342250333664,NaN,NaN,NaN,NaN,0.00476561950412433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0163801968445376,0.0491442122906624,NaN
1201,0.0311749316561063,0.0450788895570845,NaN,NaN,NaN,NaN,0.0211214838136802,NaN,NaN,NaN,NaN,NaN,0.0339557498429226,NaN,NaN,0.0112347432150881,NaN,0.0225700257501787,NaN,NaN,0.0424038245485701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0220695240734407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0160413405967776,0.0887513300278964,0.0275513599324829,NaN,NaN,0.0248860616354594,NaN,NaN,NaN,NaN,0.0156322793500702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014349629244907,NaN,NaN
1501,0.0215841327504789,0.0458111508349284,NaN,NaN,NaN,NaN,0.0029713787140835,NaN,NaN,NaN,NaN,NaN,0.0252264894442516,NaN,NaN,0.035515086314168,NaN,0.0264824308297483,NaN,NaN,0.0250552087179137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0277484544245834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0308985413244125,0.00487818914271363,0.0198965445996844,NaN,NaN,0.0509544882448585,NaN,NaN,NaN,NaN,0.00219894488392523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0239618793328551,0.0824906979255526,NaN
1801,0.0372298684161816,0.0472429626443301,0,NaN,NaN,NaN,0.0401512981131239,NaN,NaN,NaN,NaN,NaN,0.033110962570947,NaN,NaN,0.0268849921846425,NaN,0.0307597605713248,NaN,NaN,0.018482753836715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197893481607636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022602861383214,0.0125369735407555,0.0426026243245297,NaN,NaN,0.0185936197860696,NaN,NaN,NaN,NaN,0.00901562052088492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0110516864475384,0.0149410671620269,NaN
2101,0.0295036915334944,0.0164256378978492,0.0342054634667609,NaN,NaN,NaN,0.0479372514946741,NaN,NaN,NaN,NaN,NaN,0.021525534215295,NaN,NaN,0.0403069290972731,NaN,0.0204491692291867,NaN,NaN,0.0117885654149268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0342347719670699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0365801216703529,0.00595935220093718,0.0252015043542397,NaN,NaN,0.0201763175633056,NaN,NaN,NaN,NaN,0.0310174574308132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0452752342392344,0.0464590392050213,NaN
2401,0.04725875530801,0.0356607941681528,0.0393771628389401,NaN,NaN,NaN,0.0241987157643,NaN,NaN,NaN,NaN,NaN,0.0274004898744936,NaN,NaN,0.0502307874214121,NaN,0.0304041562040902,NaN,NaN,0.0232405989093058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0559239921698838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0156156464180755,NaN,0.0287911412000448,NaN,NaN,0.0371909613960028,NaN,NaN,NaN,NaN,0.0208793065125887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00157054268337278,0.0557043247728383,NaN
2701,0.0263924412690566,0.0222703140165788,0.0358916717568223,NaN,NaN,NaN,0.0378451646778994,NaN,NaN,NaN,NaN,NaN,0.0137526775091085,NaN,NaN,0.0467957716119381,NaN,0.0140266964786612,NaN,NaN,0.0324094454742292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0126366553560058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0306489353104859,NaN,0.0261654524273523,NaN,NaN,0.0254604035672599,NaN,NaN,NaN,NaN,0.00998605880239463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0274000686205823,0.023264236805071,NaN
