Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0184872234815197,0.0125647989282542,NaN,NaN,NaN,NaN,0.0743910409870542,NaN,0.0436645950014706,NaN,NaN,NaN,0.00356112633944936,NaN,NaN,0.0154073197878168,NaN,0.0131738132080408,NaN,NaN,0.0357555773041667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0151842763011298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0261375479761541,0.0109151506461556,NaN,NaN,NaN,NaN,0.0180021454665504,NaN,0.0165932290139479,NaN,NaN,NaN,0.0159296085382891,NaN,NaN,0.0194693268497592,NaN,0.004404051805514,NaN,NaN,0.0473619552652096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133929971922026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0150252274037244,0.0365570720920822,NaN,NaN,NaN,NaN,0.0133937020156919,NaN,NaN,NaN,NaN,NaN,0.0108558026940113,NaN,NaN,0.0147733791838503,NaN,0.00557468680960646,NaN,NaN,0.0426020983683732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0120077916831199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.00879947628442288,0.0338353319941601,0,NaN,NaN,NaN,0.0778013292176395,NaN,0.0176145120744409,NaN,NaN,NaN,0.0142740887161288,NaN,NaN,0.022027147152009,NaN,0.0188908915672646,NaN,NaN,0.0108376126314328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122963472956175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.015177108919333,0.0761270352709387,0.0864417862659201,NaN,NaN,NaN,0.0283171932474314,NaN,0.046294381418535,NaN,NaN,NaN,0.0227875101531544,NaN,NaN,0.0182496766656783,NaN,0.0262737888817321,NaN,NaN,0.0295158787891012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0138441552150219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0173362991062081,0.0234253437101484,0.0409679551096392,NaN,NaN,0,0.00321837882971103,NaN,0.126131277871435,NaN,NaN,NaN,0.016715536486955,NaN,NaN,0.00968691128363689,NaN,0.0182669420066072,NaN,NaN,0.0457535167439715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013271777553651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0292083640436508,0.0270365235620405,0.0349640430811204,NaN,NaN,0.0234216578110485,0.00789008120273327,NaN,0.0685647073758578,NaN,NaN,NaN,0.0222115810228774,NaN,NaN,0.0160479053896424,NaN,0.0408359528269483,NaN,NaN,0.047995128123823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00820517095887835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0154550492437973,0.07721918514651,0.0513873476021681,NaN,NaN,0.0206623623278294,0.0148141569649647,NaN,NaN,NaN,NaN,NaN,0.0126844018987262,NaN,NaN,0.0301463184870906,NaN,0.0279410085007648,NaN,NaN,0.0451876206030868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0230698926401337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0224236534295116,NaN,0.0771232722898254,NaN,NaN,0.0202220760708881,0.0406068743801666,NaN,NaN,NaN,NaN,NaN,0.0200105490323273,NaN,NaN,0.0116165483604041,NaN,0.0262531415181671,NaN,NaN,0.0173030684225525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0235132078673938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0145543200538317,NaN,0.0439984926095814,NaN,NaN,0.0139214492899217,0.0112701308205502,NaN,NaN,NaN,NaN,NaN,0.0224168370995973,NaN,NaN,0.0237661126881087,NaN,0.0492138983545668,NaN,NaN,0.025307927618104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0072940675426566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0210482869865319,NaN,0.0271673198418216,NaN,NaN,0.0504647831427875,0.0153094037057932,NaN,NaN,NaN,NaN,NaN,0.0155131746645425,NaN,NaN,0.00666439556938196,NaN,0.0319411285936826,NaN,NaN,0.0288866376119256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115580009449354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.0234530265180245,NaN,0.0168438692478719,NaN,NaN,0.0229714556886165,0.00992331810076659,NaN,NaN,NaN,NaN,NaN,0.0525476081514433,NaN,NaN,0.0198891722033359,NaN,0.0165018312918486,NaN,NaN,0.0268329545047321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119634722585606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,0.00690156093076219,NaN,0.0238690757194409,NaN,NaN,0.00657177875308702,0.0364084181441481,NaN,NaN,NaN,NaN,NaN,0.0261950796008654,NaN,NaN,0.0600977782193011,NaN,0.023776625048713,NaN,NaN,0.00724964938165549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0155312040086001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,0.0083817091453336,NaN,0.0209026209593959,NaN,NaN,0.0184218091682461,0.0326385612242455,NaN,NaN,NaN,NaN,NaN,0.0205468245696085,NaN,NaN,0.0100976616625481,NaN,0.0313993883470701,NaN,NaN,0.0113892032804028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01050379766317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,0.0174710653134576,NaN,0.0118248213499984,NaN,NaN,0.0392066244086168,0.0261196699817047,NaN,NaN,NaN,NaN,NaN,0.0279875927136888,NaN,NaN,0.0207319296013565,NaN,0.0208523411848978,NaN,NaN,0.0226191526885443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0072970433216061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,0.0126203789222534,NaN,0.0142225694769396,NaN,NaN,0.0275682028016135,0.0402503662044379,NaN,NaN,NaN,NaN,NaN,0.0187667255018229,NaN,NaN,0.0230777012657249,NaN,0.0550639869132371,NaN,NaN,0.024296210542113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115662297445976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,0.0289789398306627,NaN,0.0212226156112623,NaN,NaN,0.0146196693249611,0.0244032559839258,NaN,NaN,NaN,NaN,NaN,0.0271013651280906,NaN,NaN,0.0165060495761534,NaN,0.0601048441310186,NaN,NaN,0.0153578703325385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0126877597262087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5401,0.041245281655592,NaN,0.025460128958343,NaN,NaN,0.0304460229256994,0.0141769916137111,NaN,NaN,NaN,NaN,NaN,0.0365364168296702,NaN,NaN,0.0241400052467421,NaN,0.00401981784715709,NaN,NaN,0.0144852205041344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0166151712208634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5701,0.0238544163273035,NaN,0.0270343908088311,NaN,NaN,0.0349100692201995,0.00712526095092332,NaN,NaN,NaN,NaN,NaN,0.0193331286792545,NaN,NaN,0.0144221878541335,NaN,0.0163419798510196,NaN,NaN,0.0137430148947577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139600966941035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
