Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0162637662525266,0.00742014613425252,0.0351035095761667,NaN,NaN,NaN,0.009791495894636,NaN,0.0270319788995925,NaN,NaN,NaN,0.00945326658763227,NaN,NaN,0.0129505279993089,NaN,0.0238650696461719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00751009293469265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0198592916407901,0.0168974455308229,0.0301859882961369,NaN,NaN,NaN,0.0137840316483647,NaN,0.0256921519249909,NaN,NaN,NaN,0.00550496597626866,NaN,NaN,0.00715450819190248,NaN,0.0192924144093758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0210167651988649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0136630507838471,0.018304081896031,0.0116270715744653,NaN,NaN,NaN,0.0261583410063009,NaN,0.0231086101980429,NaN,NaN,NaN,0.0223475538683829,NaN,NaN,0.0159285029243069,NaN,0.0162087646713549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0258535532794137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.02534433937067,0.0126398976817119,0.0130529151361103,NaN,NaN,0,0.0158420558744763,NaN,0.0211187374901777,NaN,NaN,NaN,0.0330015047272048,NaN,NaN,0.0121303345983689,NaN,0.0261651101838536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0282944797270775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0112695678319006,0.026883216780184,0.0253621971387392,NaN,NaN,0.0248244373293453,0.0878826770420836,NaN,0.0274627696843796,NaN,NaN,NaN,0.0182845502896977,NaN,NaN,0.0259234502782127,NaN,0.0105865413251369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0475180396618165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0229962983734613,0.0219635943266718,0.0281167601242073,NaN,NaN,0.0312366160089487,0.0347220930101779,NaN,0.0445982459002646,NaN,NaN,NaN,0.0232956451110133,NaN,NaN,0.0068670245390333,NaN,0.0118409110410892,NaN,NaN,0.0197430429966882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0298111199880332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0180520862393695,NaN,0.0401897610584316,NaN,NaN,0.0187788623418606,0.0490799172089962,NaN,0.0138046343340249,NaN,NaN,NaN,0.0218698362782734,NaN,NaN,0.0196622628716543,NaN,0.0323264097763467,NaN,NaN,0.00411954074712218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0447966596889248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0233665023623687,NaN,0.0119946948628045,NaN,NaN,0.0328490154117547,0.0328345954025273,NaN,0.101997416610769,NaN,NaN,NaN,0.0403269378513984,NaN,NaN,0.0396470718769593,NaN,0.0209819837443183,NaN,NaN,0.0208097453594011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0369956598464444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.014229163979386,NaN,0.0290603794756999,NaN,NaN,0.0450248578396758,0.0964139463095174,NaN,0.103170909835181,NaN,NaN,NaN,0.00552746361362,NaN,NaN,0.00950707914077869,NaN,0.00540162504308845,NaN,NaN,0.0406951080272413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122406566900287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
