Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0295967253598644,0.0285287637560999,NaN,NaN,NaN,NaN,0.0390764500009444,NaN,0.0188142405831841,NaN,NaN,NaN,0.0186031949097349,NaN,NaN,0.0189517920142764,NaN,0.0195387322140963,NaN,NaN,0.0327669979383716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0357811075550402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.00591173509533233,0.035234599860328,NaN,NaN,NaN,NaN,0.0180122433854153,NaN,0.0625769330234034,NaN,NaN,NaN,0.0275081710198673,NaN,NaN,0.0407481900272096,NaN,0.020942290362162,NaN,NaN,0.0332894291588057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0544230225784557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.00889947952688642,0.0346478212382496,NaN,NaN,NaN,NaN,0.0298725640644324,NaN,0.0218838173405349,NaN,NaN,NaN,0.0375037056732544,NaN,NaN,0.0395986686722916,NaN,0.0290893156825203,NaN,NaN,0.0273457555988145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0429485976954571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0225246845100359,0.017888441853434,NaN,NaN,NaN,NaN,0.0220977843796932,NaN,0.0162715807967401,NaN,NaN,NaN,0.0569836485842549,NaN,NaN,0.0450487382070356,NaN,0.0219456988118512,NaN,NaN,0.0374220327397751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0285999598529862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0125429037590313,0.0151310838511524,NaN,NaN,NaN,NaN,0.0273409242394472,NaN,0.119926930403952,NaN,NaN,NaN,0.0734017163290715,NaN,NaN,0.027659792595505,NaN,0.0343735890347598,NaN,NaN,0.0207166940906164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0640467869150339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0238363046358027,0.0271719089092554,0.0383870768025173,NaN,NaN,NaN,0.0242493970446719,NaN,NaN,NaN,NaN,NaN,0.0380665449810069,NaN,NaN,0.0296750623511662,NaN,0.0112802823816509,NaN,NaN,0.0567024980652799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0336693152750999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.013919742475473,0.0167336680199765,0.0380686096242399,NaN,NaN,NaN,0.0192173022889538,NaN,NaN,NaN,NaN,NaN,0.0526685335248059,NaN,NaN,0.0396495530033192,NaN,0.0187029407097646,NaN,NaN,0.0710642983917666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0175391164686012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0278851360562995,0.0259974569757808,0.0380950248016192,NaN,NaN,0.0485339335079068,0.0188586801030627,NaN,NaN,NaN,NaN,NaN,0.0492339067898561,NaN,NaN,0.0467660016480516,NaN,0.0537299456507994,NaN,NaN,0.0561610073443881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0314586637278267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0211622493543827,0.00832460981622727,0.0860190261240017,NaN,NaN,0.0305829297040584,0.0366871459386507,NaN,NaN,NaN,NaN,NaN,0.0668220522303884,NaN,NaN,0.0196130970299123,NaN,0.0394740310118524,NaN,NaN,0.0401319663252465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00715156961463911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0427819040105428,0.0298663263310756,0.106005888145577,NaN,NaN,0.00737047640517259,0.022774192095439,NaN,NaN,NaN,NaN,NaN,0.0635024545101489,NaN,NaN,0.0329748498902992,NaN,0.0503905555541349,NaN,NaN,0.0503746831574895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0230777915190936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0279046678390467,NaN,0.0345768968493192,NaN,NaN,0.0380529978379064,0.0234015394141987,NaN,NaN,NaN,NaN,NaN,0.0265230502618112,NaN,NaN,0.00815403735990594,NaN,0.0170882569837293,NaN,NaN,0.0413054725650996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0105421823215213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.0159700697851656,NaN,0.0570430168991902,NaN,NaN,0.0228395886978551,0.00854071364312092,NaN,NaN,NaN,NaN,NaN,0.050536220801034,NaN,NaN,0.0314874386304313,NaN,0.0154517288684081,NaN,NaN,0.0378185824590521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0275859677512172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,0.0421585661891771,NaN,0.0287924275277971,NaN,NaN,0.037242634974554,0.0271257330089373,NaN,NaN,NaN,NaN,NaN,0.047785919173215,NaN,NaN,0.0238952688601324,NaN,0.0305771152168211,NaN,NaN,0.0797449315903736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038014581027375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,0.0483821539037924,NaN,0.0184303150259738,NaN,NaN,0.0199927651831625,0.0253023543105825,NaN,NaN,NaN,NaN,NaN,0.0495875252244111,NaN,NaN,0.0418729500686343,NaN,0.0321775716966681,NaN,NaN,0.0174605436141525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00937455551311719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,0.0302777803913956,NaN,0.0741645946745348,NaN,NaN,0.0246367487553981,0.0114238274452703,NaN,NaN,NaN,NaN,NaN,0.0512384552228789,NaN,NaN,0.0200738603692199,NaN,0.0330936018663606,NaN,NaN,0.0387573466589223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00461831493560663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,0.0414409323573429,NaN,0.0432256602622992,NaN,NaN,0.0433772176554075,0.0233807808727187,NaN,NaN,NaN,NaN,NaN,0.0548758478368659,NaN,NaN,0.0233306240493035,NaN,0.0253548660300396,NaN,NaN,0.0608711632575149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0222389593914419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,0.0258473473834461,NaN,0.0312094110343871,NaN,NaN,0.0347051118290347,0.0242615661264771,NaN,NaN,NaN,NaN,NaN,0.0519992150454794,NaN,NaN,0.0467292146117386,NaN,0.0245738579624332,NaN,NaN,0.0431369433619426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0160579033527527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
