Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0234702827480203,0.0367475846326686,NaN,NaN,NaN,NaN,0.0320078908897831,NaN,0.0201981876469281,NaN,NaN,NaN,0.0299109385597133,NaN,NaN,0.0283269685206208,NaN,0.0104500094804736,NaN,NaN,0.0118317971803669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0233788653880509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0204804878188505,0.0100632094549289,NaN,NaN,NaN,NaN,0.0151582032979965,NaN,0.00600959918825321,NaN,NaN,NaN,0.0159910203888367,NaN,NaN,0.00246347210720226,NaN,0.022040683387733,NaN,NaN,0.0641189102893414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0313393199770281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0146884421392637,0.0170356014765672,NaN,NaN,NaN,NaN,0.0173075887564527,NaN,NaN,NaN,NaN,NaN,0.0259920869630097,NaN,NaN,0.0186690979160001,NaN,0.0232036018847582,NaN,NaN,0.035867758262548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0442611096789385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.00985869697446866,0.0225620663762817,NaN,NaN,NaN,NaN,0.0434161644808994,NaN,NaN,NaN,NaN,NaN,0.0431054948744718,NaN,NaN,0.0220675978648269,NaN,0.0383521041164673,NaN,NaN,0.0120259214513428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116153898520757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0178407008452083,0.0123888642019482,NaN,NaN,NaN,NaN,0.0298584529463174,NaN,NaN,NaN,NaN,NaN,0.0253548769697478,NaN,NaN,0.018726733193237,NaN,0.0256464754980491,NaN,NaN,0.0123385491489734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00736045048631426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0103898079406539,0.0231554270438575,NaN,NaN,NaN,NaN,0.0453663522575178,NaN,NaN,NaN,NaN,NaN,0.0117733778831364,NaN,NaN,0.0198084610990731,NaN,0.0132523052512115,NaN,NaN,0.0318231840454908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0206794330419174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.00977386024068581,0.00569794479992055,NaN,NaN,NaN,NaN,0.00591250309180083,NaN,NaN,NaN,NaN,NaN,0.0147739137972862,NaN,NaN,0.0164301216895937,NaN,0.0354411626871872,NaN,NaN,0.0176567741221204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0169097354682457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0124179094040047,0.0162330396571672,0,NaN,NaN,NaN,0.0537626840645296,NaN,NaN,NaN,NaN,NaN,0.0293334399722069,NaN,NaN,0.00954610793183243,NaN,0.0425823016581781,NaN,NaN,0.0106807875011198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122237693404168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.018559211634858,0.0120606780518879,0.0466642773255166,NaN,NaN,0.0010022901417287,0.0106071834138472,NaN,NaN,NaN,NaN,NaN,0.0145936551417244,NaN,NaN,0.0191758828813963,NaN,0.0143893219549011,NaN,NaN,0.0225150064927909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0158461683185997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
