Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,14.4120073290605,12.9993010616001,NaN,NaN,NaN,NaN,10.2500484561115,NaN,11.2899716124329,NaN,NaN,NaN,12.6221261717023,NaN,NaN,10.6360379188606,NaN,10.9608392848599,NaN,NaN,12.8652785120371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.1723270614656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,14.8544182788721,13.4532242616568,NaN,NaN,NaN,NaN,10.8836821292408,NaN,11.9325379325322,NaN,NaN,NaN,12.8838276664976,NaN,NaN,11.3961036534547,NaN,12.0082142076078,NaN,NaN,13.431583723266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.630979884319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,15.3805108096634,13.9095210860081,NaN,NaN,NaN,NaN,11.6781285103756,NaN,12.607695071285,NaN,NaN,NaN,13.1766713427422,NaN,NaN,12.0740491552997,NaN,12.7582038920368,NaN,NaN,13.9478364553773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1043338458754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,16.0253140999768,14.4106190076712,21.6806491435778,NaN,NaN,NaN,12.5744419627303,NaN,13.3368872533561,NaN,NaN,NaN,13.6582757386758,NaN,NaN,12.6197783259431,NaN,13.4894825060784,NaN,NaN,14.3549270447286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6351057649955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,16.4584495307745,15.0235321106493,23.0690345778141,NaN,NaN,NaN,13.2764375498165,NaN,14.0944732963366,NaN,NaN,NaN,NaN,NaN,NaN,13.1509339698668,NaN,14.4110169262715,NaN,NaN,14.6628612032941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.2726754038803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,16.8443117996195,15.6719131634787,24.245210279189,NaN,NaN,NaN,14.1414838330652,NaN,14.9629238773948,NaN,NaN,NaN,14.342857822168,NaN,NaN,13.6763237245068,NaN,14.9880995542585,NaN,NaN,15.0604560181561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.9348651052281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,17.5457771596651,16.3634261717386,24.8528159157786,NaN,NaN,14.6055555830965,14.8801041208308,NaN,NaN,NaN,NaN,NaN,14.9041521370534,NaN,NaN,14.1676027630874,NaN,15.6724222253664,NaN,NaN,15.4381222854144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.6438493451937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,18.1597248353559,17.025054298716,25.2709214787973,NaN,NaN,15.8766613351842,15.9894324850083,NaN,NaN,NaN,NaN,NaN,15.372078645254,NaN,NaN,14.8332729516575,NaN,16.4168366447842,NaN,NaN,15.9475265836302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3841301091118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,18.7939058752107,17.7537921542969,26.3183076061225,NaN,NaN,17.1252080036411,16.96202343518,NaN,NaN,NaN,NaN,NaN,15.9869114422901,NaN,NaN,15.3558947647704,NaN,17.0697627308195,NaN,NaN,16.4524388344246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1521074856037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
