Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,13.6478779661038,12.4878631518668,NaN,NaN,NaN,NaN,9.7062214941084,NaN,11.0875122562118,NaN,NaN,NaN,13.1307834500327,NaN,NaN,10.7362739799486,NaN,NaN,NaN,NaN,13.0919428331421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.85728919409488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,14.0527441653981,13.0919314853884,NaN,NaN,NaN,NaN,10.3917499095555,NaN,11.7999872830331,NaN,NaN,NaN,13.5004969039181,NaN,NaN,11.4334440861329,NaN,NaN,NaN,NaN,13.5285667704853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4599893458911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,14.6194180564515,13.5871852251176,NaN,NaN,NaN,NaN,11.2359260798779,NaN,12.4450061509401,NaN,NaN,NaN,13.8262322316676,NaN,NaN,12.098366721392,NaN,NaN,NaN,NaN,14.1296998702738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8481986798075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,15.2094309347287,14.0940557423219,NaN,NaN,NaN,NaN,11.9743266343883,NaN,13.1493384734735,NaN,NaN,NaN,14.1315889865606,NaN,NaN,12.6900918057165,NaN,NaN,NaN,NaN,14.5192290282191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.4706579006936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,15.5768240271189,14.6843589351351,22.9024373465644,NaN,NaN,NaN,12.7348406841035,NaN,13.9491884175838,NaN,NaN,NaN,14.5737609297936,NaN,NaN,13.3428707637951,NaN,14.3986334275082,NaN,NaN,14.8255033959147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9298370646348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,16.1007478503014,15.2924869156844,23.9498496315222,NaN,NaN,NaN,13.4569159138007,NaN,NaN,NaN,NaN,NaN,14.9048287633552,NaN,NaN,13.8731745197817,NaN,14.9334439922449,NaN,NaN,15.2230655919962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5118272902172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,16.6757321892207,15.9319907161248,24.2920216940813,NaN,NaN,NaN,14.3521427041933,NaN,NaN,NaN,NaN,NaN,15.3744082839726,NaN,NaN,14.3415344109079,NaN,15.6989840106994,NaN,NaN,15.6086200352101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2153350937098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,17.3272414090574,16.6858723754513,25.0406393800111,NaN,NaN,NaN,15.2934669902528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8272488072936,NaN,16.2187385984966,NaN,NaN,16.0316588021469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8693864154384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,18.04781633626,17.455353552493,26.0794088650587,NaN,NaN,NaN,16.3601560764488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.4976122001063,NaN,16.9984776349872,NaN,NaN,16.5821740051037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6367621616008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
