Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,14.054314184789,16.9547917341378,24.2114278219235,NaN,NaN,NaN,15.371148984768,NaN,14.4119437837499,NaN,NaN,NaN,14.5554968509653,NaN,NaN,14.5021865785591,NaN,13.7207879624218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.5392391842209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.450367468510072,18.4850059798649,22.9116451014056,NaN,NaN,23.9021660823008,NaN,NaN,NaN,NaN,25.1724528330479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.55678475779051,42.4297289704695,NaN
601,14.3059943636259,17.435717465497,NaN,NaN,NaN,NaN,16.1048164424072,NaN,15.0558261506104,NaN,NaN,NaN,14.9831781606386,NaN,NaN,14.9861869445142,NaN,14.5742159821179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1068110302397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.395339235410158,19.4414399480869,23.8477311016259,NaN,NaN,25.117958103492,NaN,NaN,NaN,NaN,25.2752769941102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.2172195213527,42.8602564517946,NaN
901,14.9782744904325,18.0181913437271,NaN,NaN,NaN,NaN,16.8467196278016,NaN,15.738612667544,NaN,NaN,NaN,15.3318382310305,NaN,NaN,15.4473899658682,NaN,15.3498533759335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.7672249050978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.387143419907442,20.5406744651058,NaN,NaN,NaN,26.2823606528427,NaN,NaN,NaN,NaN,25.6022835942732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8692587771075,43.206203903041,NaN
1201,15.5484626789868,18.7525632898031,NaN,NaN,NaN,NaN,17.5572701260039,NaN,16.4534034801295,NaN,NaN,NaN,15.7389140535467,NaN,NaN,15.9831945804774,NaN,16.1818080694525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.606705953163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.389246455601101,21.5491684924787,25.2730451636381,NaN,NaN,27.2886888330153,NaN,NaN,NaN,NaN,25.9663506021013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.2901808128198,43.5249495743319,NaN
1501,16.1682448205785,19.4113139457204,NaN,NaN,NaN,NaN,18.3099969542147,NaN,17.1078137970571,NaN,NaN,NaN,16.162858866272,NaN,NaN,16.9205976642905,NaN,16.846619369419,NaN,NaN,17.453934924215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4401447935363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.552942395894921,22.5084087185197,26.2219095310423,NaN,NaN,28.4875371612305,NaN,NaN,NaN,NaN,26.3635035789308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7842842898472,44.1406164178344,NaN
1801,16.9264962664991,19.9431544172156,27.0528023784987,NaN,NaN,NaN,19.1259716862383,NaN,18.0197830145052,NaN,NaN,NaN,16.9002531515482,NaN,NaN,17.6538576971889,NaN,17.3510660826943,NaN,NaN,17.8644565565785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.3483102949735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.749228814257182,23.5574848876515,27.4081750445561,NaN,NaN,29.4648406702624,NaN,NaN,NaN,NaN,26.8121866812539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5117902241304,44.6325812455449,NaN
2101,17.8247315249373,20.7422509325016,27.9196468705032,NaN,NaN,17.5548272857684,20.2047587289296,NaN,19.0041188911414,NaN,NaN,NaN,17.5966831144144,NaN,NaN,18.40194032175,NaN,17.9168604026349,NaN,NaN,18.4166246978354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3192977795646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1596199943684,24.6455315866415,28.4932087681449,NaN,NaN,30.1758097626113,NaN,NaN,NaN,NaN,27.4190443297449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.4335026162618,45.1643294087769,NaN
2401,18.6269238449351,21.5548337460296,29.1518571512223,NaN,NaN,18.4794385233466,21.2475659283062,NaN,NaN,NaN,NaN,NaN,18.5068073273186,NaN,NaN,19.1570096481814,NaN,18.8336410027214,NaN,NaN,19.0632036984637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.1522033293547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.55742093605855,25.9325299232894,29.6948674802816,NaN,NaN,31.2076210067686,NaN,NaN,NaN,NaN,28.065446919365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.247971606681,45.6055975962955,NaN
2701,19.4802317287163,22.3042124512563,29.9698985277569,NaN,NaN,19.6155600973025,22.2735358532346,NaN,NaN,NaN,NaN,NaN,19.4057039752917,NaN,NaN,19.7603552431205,NaN,19.8057744209346,NaN,NaN,19.7451244638499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.1178428595816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.98285162754171,27.2854408347429,30.8622540458161,NaN,NaN,32.8693437579109,NaN,NaN,NaN,NaN,28.8460232398114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.2053831787718,46.1204115218325,NaN
