Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,11.0431080182099,12.2371368074735,NaN,NaN,NaN,NaN,10.153374012053,NaN,10.9056761726975,NaN,NaN,NaN,11.6164552360403,NaN,NaN,10.413135761814,NaN,9.7545881073678,NaN,NaN,12.3097387810454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.75118932717454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,11.4590564943036,12.8655238871707,NaN,NaN,NaN,NaN,10.7754660327883,NaN,11.6049490389599,NaN,NaN,NaN,11.8505413794714,NaN,NaN,11.108451960511,NaN,10.7761414925058,NaN,NaN,12.7136764377285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.27690686270722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,12.0001936869231,13.3558415258287,NaN,NaN,NaN,NaN,11.5828928553004,NaN,12.2771931433736,NaN,NaN,NaN,12.1603650322643,NaN,NaN,11.7723134596838,NaN,11.359284602945,NaN,NaN,13.3101391616493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.71050438270361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,12.6429678852137,13.88978853084,NaN,NaN,NaN,NaN,12.3620761771377,NaN,12.9874173672348,NaN,NaN,NaN,12.5305738140789,NaN,NaN,12.3223075829326,NaN,12.0877706761987,NaN,NaN,13.705483927157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.2752599316444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,13.078676641909,14.456540350071,23.0601599646576,NaN,NaN,NaN,13.1047858353934,NaN,13.7510262947553,NaN,NaN,NaN,12.8474942783754,NaN,NaN,12.9760230909504,NaN,12.9956508425652,NaN,NaN,13.9639910802822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7574207921423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,13.539438122343,15.0440044907865,24.1421737004607,NaN,NaN,NaN,13.7985981704247,NaN,NaN,NaN,NaN,NaN,13.1532802926534,NaN,NaN,13.507560614428,NaN,13.4532119813431,NaN,NaN,14.3332161342155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.3598220325693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,14.2323232910632,15.7861294678103,24.5280667288714,NaN,NaN,14.8064846692606,14.7805041330583,NaN,NaN,NaN,NaN,NaN,13.6123955856995,NaN,NaN,14.2006687342248,NaN,14.27108962501,NaN,NaN,14.7231617476809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0336020682971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,14.8859866344397,16.4788014748864,25.2218347119738,NaN,NaN,16.1264223662544,15.6947188330611,NaN,NaN,NaN,NaN,NaN,14.0782494670093,NaN,NaN,14.6622329677373,NaN,14.7907586098649,NaN,NaN,15.1375480020578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.6903489511869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,15.6498220960257,17.2571891325763,26.2643999015638,NaN,NaN,17.1766100124242,16.6981160629229,NaN,NaN,NaN,NaN,NaN,14.6238027153961,NaN,NaN,15.4210480903742,NaN,15.5432541206024,NaN,NaN,15.6819867465657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.4664775691693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,16.3296400908486,17.9358917022217,27.7226583871622,NaN,NaN,17.8690354734247,17.5442848195965,NaN,NaN,NaN,NaN,NaN,15.1886811986099,NaN,NaN,15.9596379368022,NaN,16.0203536653681,NaN,NaN,16.0000291361153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3026614198225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,17.0611458718946,NaN,28.4962666676774,NaN,NaN,18.9745899101513,18.3533152540302,NaN,NaN,NaN,NaN,NaN,15.8247583585472,NaN,NaN,16.6506310309131,NaN,16.7156966512015,NaN,NaN,16.4656006083924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1155646990454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,18.2257012410104,NaN,29.1489632889365,NaN,NaN,19.8185988749124,19.4160421193264,NaN,NaN,NaN,NaN,NaN,16.211518464035,NaN,NaN,17.3293837998268,NaN,17.2059238190961,NaN,NaN,16.6449289417439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.8419516208616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,19.0629039091559,NaN,29.8603317143939,NaN,NaN,20.9433142353628,20.5854753377578,NaN,NaN,NaN,NaN,NaN,16.9197747122528,NaN,NaN,17.9320660951544,NaN,17.7624236118839,NaN,NaN,17.116922969029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.6741332479199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
