Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,12.3940536938274,12.8239522727049,NaN,NaN,NaN,NaN,9.16533212652011,NaN,11.7767010990819,NaN,NaN,NaN,13.2641421682154,NaN,NaN,9.85934700278231,NaN,11.6278461386038,NaN,NaN,12.9391222893115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.19151767394976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,12.9604783286367,13.4014234889364,NaN,NaN,NaN,NaN,9.81188177213308,NaN,12.5109617888243,NaN,NaN,NaN,13.5842517643994,NaN,NaN,10.6169487239922,NaN,12.3222005105245,NaN,NaN,13.2851350850504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.63759101092418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,13.4254203329817,13.8974083259427,NaN,NaN,NaN,NaN,10.6534838740384,NaN,13.2319129535013,NaN,NaN,NaN,13.7388958094251,NaN,NaN,11.0956783242845,NaN,13.0697889958416,NaN,NaN,13.757614032483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.1033077150429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,13.8856244727872,14.4657979264542,NaN,NaN,NaN,NaN,11.3429344063465,NaN,13.9300681212463,NaN,NaN,NaN,14.0936010991206,NaN,NaN,11.6847156671756,NaN,13.4466782705387,NaN,NaN,14.1755142957475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.5699039384971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,14.4003475565219,15.0504647795987,23.2415456621728,NaN,NaN,NaN,12.1396016431358,NaN,14.6756017569504,NaN,NaN,NaN,14.4631687066429,NaN,NaN,12.2279352220747,NaN,NaN,NaN,NaN,14.4423303244589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1491021930032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,14.9273295883811,15.6243312233619,23.7683163887785,NaN,NaN,NaN,12.9783023938773,NaN,NaN,NaN,NaN,NaN,14.9119700987654,NaN,NaN,12.7468822860595,NaN,14.6168989122944,NaN,NaN,14.5830072705253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6448088249316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,15.5472889992685,16.4119279493939,24.2849331999584,NaN,NaN,NaN,13.7815433503523,NaN,NaN,NaN,NaN,NaN,15.2538377233498,NaN,NaN,13.3580890233154,NaN,15.2948487656164,NaN,NaN,14.9516954477945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.3639602951544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,16.1023830399791,17.1069151266372,25.1313037660855,NaN,NaN,15.8860719291652,14.7884142607797,NaN,NaN,NaN,NaN,NaN,15.7037349586878,NaN,NaN,13.7486038964323,NaN,15.8815973891632,NaN,NaN,15.3175955348252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.9963581490838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,16.9013487284387,17.8499531419142,26.538063233568,NaN,NaN,16.6959500765304,15.7683013128944,NaN,NaN,NaN,NaN,NaN,16.419095574321,NaN,NaN,14.3424676304671,NaN,16.5033352932828,NaN,NaN,15.7816857778684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.7491304173674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,17.5153233270535,18.4668438363709,27.4122490551993,NaN,NaN,17.3333718927935,16.5623382553288,NaN,NaN,NaN,NaN,NaN,17.0052291672992,NaN,NaN,14.9472288752427,NaN,16.9902588709699,NaN,NaN,16.2662454788177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6516259896233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,18.3255758697995,NaN,28.4521912593565,NaN,NaN,18.5040062915536,17.2149103214281,NaN,NaN,NaN,NaN,NaN,17.7446700543071,NaN,NaN,15.6150747597598,NaN,17.7453512724042,NaN,NaN,16.6147991522376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.5164796056384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,19.4189277303038,NaN,28.8546799681666,NaN,NaN,19.3543450727724,18.725271888894,NaN,NaN,NaN,NaN,NaN,18.0569898213498,NaN,NaN,NaN,NaN,18.2590028287231,NaN,NaN,16.6845179080503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.294860125866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
