Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,13.49466987635,13.0386239700687,NaN,NaN,NaN,NaN,10.4610721129537,NaN,10.282574854216,NaN,NaN,NaN,12.6717199132035,NaN,NaN,9.51437312122251,NaN,10.0315328115657,NaN,NaN,12.6120901601359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.79848388822955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,13.7984381240242,13.583290218032,NaN,NaN,NaN,NaN,11.0395038149109,NaN,10.9485237334722,NaN,NaN,NaN,13.2969362683443,NaN,NaN,10.1260075336434,NaN,10.993041920436,NaN,NaN,13.1383466090552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3880888873088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,14.3409450140173,14.2861694441129,NaN,NaN,NaN,NaN,11.8159368561833,NaN,NaN,NaN,NaN,NaN,13.7931273460605,NaN,NaN,10.7288952654803,NaN,11.8809685049024,NaN,NaN,13.7039853512759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9573132684177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,14.8863555611726,14.8050166340787,19.8854670555438,NaN,NaN,NaN,12.1897274088921,NaN,12.0214603348089,NaN,NaN,NaN,14.2787139633564,NaN,NaN,11.371516020977,NaN,12.7243150252087,NaN,NaN,14.2715442402372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.5622517988397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,15.6827586397537,15.3346186953959,20.9807748064136,NaN,NaN,NaN,12.9561414059737,NaN,12.7552504759237,NaN,NaN,NaN,14.7963270084637,NaN,NaN,12.2669729264376,NaN,13.4437242503017,NaN,NaN,14.8581450205558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0528980981859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,16.2454902254193,16.0100277368359,22.1674325050084,NaN,NaN,12.9987223044301,13.7311694276776,NaN,13.4048875552196,NaN,NaN,NaN,15.280078665357,NaN,NaN,12.9481340651892,NaN,14.1904977375867,NaN,NaN,15.4109449799561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.7579084114109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,16.8799736201944,16.715567209036,23.5204664816626,NaN,NaN,13.8861529033162,14.6354960705948,NaN,14.0095409665828,NaN,NaN,NaN,15.7215112789206,NaN,NaN,13.7628100407778,NaN,15.0792783572138,NaN,NaN,15.9245163109456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.5955001805812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,17.6773405060714,17.5004928960227,24.6235940029186,NaN,NaN,14.9619539125692,15.6734896416087,NaN,NaN,NaN,NaN,NaN,16.2386798222734,NaN,NaN,14.4170623497597,NaN,15.9126434620883,NaN,NaN,16.4770414240572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3812903045597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,18.4006299599157,NaN,25.1516970171867,NaN,NaN,16.1269125210853,16.6849335834409,NaN,NaN,NaN,NaN,NaN,16.8684946410232,NaN,NaN,15.2595634566795,NaN,16.5608672757947,NaN,NaN,16.9798170343763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1240915715756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,19.0537614390324,NaN,25.8170762840867,NaN,NaN,17.4543774193105,17.5398669876695,NaN,NaN,NaN,NaN,NaN,17.5691715454895,NaN,NaN,15.8391913520444,NaN,17.3106138629027,NaN,NaN,17.5201020221322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.9588695166252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,19.708660627607,NaN,27.3551856502827,NaN,NaN,18.4986245158933,18.6042083066797,NaN,NaN,NaN,NaN,NaN,18.308581585917,NaN,NaN,16.3717359289187,NaN,18.0474300901985,NaN,NaN,18.1844807660046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7025658169915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,20.9572057111053,NaN,28.058450479272,NaN,NaN,19.282128110097,20.3751878069767,NaN,NaN,NaN,NaN,NaN,18.6880216046226,NaN,NaN,16.984754370471,NaN,18.8220497869252,NaN,NaN,18.4292146165641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4961632959813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,21.6786818736319,NaN,29.4832894485374,NaN,NaN,20.3961325303742,21.536741013205,NaN,NaN,NaN,NaN,NaN,19.2842571162923,NaN,NaN,17.7585247723755,NaN,19.67896223613,NaN,NaN,19.0407641517483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.6121128320959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,22.3398067785264,NaN,30.5274798209683,NaN,NaN,21.0699971974692,22.4882157681243,NaN,NaN,NaN,NaN,NaN,19.8199766872624,NaN,NaN,18.5182351533733,NaN,20.3304822802609,NaN,NaN,19.5672853241269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6630246430385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,23.0532193047173,NaN,31.4136479586165,NaN,NaN,22.2603341658555,23.343645110206,NaN,NaN,NaN,NaN,NaN,20.6082946956491,NaN,NaN,19.3164226492007,NaN,21.0147173271708,NaN,NaN,19.9386235593882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.5733889326956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,23.8318521339862,NaN,32.3224131942243,NaN,NaN,22.8180766522602,24.3358298261632,NaN,NaN,NaN,NaN,NaN,21.7912570860982,NaN,NaN,19.943807060543,NaN,21.6086741099745,NaN,NaN,20.5671828458626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.6655707459778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,24.7456449793804,NaN,33.0477583984968,NaN,NaN,23.7179327650512,25.4841456152414,NaN,NaN,NaN,NaN,NaN,22.813594403388,NaN,NaN,20.6486519202854,NaN,22.2090425035528,NaN,NaN,21.3438134933253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.6453324875482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5401,25.6393770584719,NaN,33.8967162639993,NaN,NaN,24.2760016258486,26.5654878958277,NaN,NaN,NaN,NaN,NaN,23.6768413188061,NaN,NaN,21.3647256234869,NaN,22.8373467005647,NaN,NaN,22.1153036940414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.7237648892576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
