Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,10.3747585579771,11.7409723555951,NaN,NaN,NaN,NaN,11.3942638734025,NaN,12.5970646831877,NaN,NaN,NaN,17.1204641356598,NaN,NaN,17.6003000154942,NaN,15.984008015732,NaN,NaN,17.9422505656959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.786618481092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,10.7072121791771,12.1375171184755,NaN,NaN,NaN,NaN,12.0800277647459,NaN,13.3517377509658,NaN,NaN,NaN,17.2976049971637,NaN,NaN,18.1493614492554,NaN,16.7602090514985,NaN,NaN,18.3005081119148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.271800047951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,11.0987353919726,12.623952439291,NaN,NaN,NaN,NaN,12.857795410171,NaN,14.0972698488661,NaN,NaN,NaN,17.6196944058883,NaN,NaN,18.8138653821364,NaN,17.7749629918782,NaN,NaN,18.4560492793427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.7876974720211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,11.3685623081469,13.122749277375,25.1540319416263,NaN,NaN,NaN,13.3466700266257,NaN,14.8545658025102,NaN,NaN,NaN,17.9304606569933,NaN,NaN,19.3337542756766,NaN,18.4985871447661,NaN,NaN,18.8976710168317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2913928927678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,11.764301343747,13.8346706962929,25.7879485172154,NaN,NaN,NaN,14.1972878989477,NaN,NaN,NaN,NaN,NaN,18.3349232276259,NaN,NaN,19.894107547881,NaN,19.3495008193666,NaN,NaN,19.2245550614303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.9187557454576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,12.3607388640544,14.5938431916152,26.3868026587955,NaN,NaN,NaN,14.9930963999875,NaN,NaN,NaN,NaN,NaN,18.8169156768592,NaN,NaN,20.475351008149,NaN,20.0529970339942,NaN,NaN,19.6436440227302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6579064527238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,12.9588610750684,15.3212132103133,27.1459619423091,NaN,NaN,NaN,15.8114627654043,NaN,NaN,NaN,NaN,NaN,19.3986972590185,NaN,NaN,20.954249971516,NaN,20.6389680719609,NaN,NaN,20.0387812846395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.4384118526676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,13.7134593347064,16.1177688284869,28.1639647145705,NaN,NaN,22.666949431383,16.7552629892687,NaN,NaN,NaN,NaN,NaN,19.915888683021,NaN,NaN,21.5719441240922,NaN,21.4243190898454,NaN,NaN,20.4689165563814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2085929057565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,14.4551954354182,16.9340284671213,29.1193084117825,NaN,NaN,23.5914255468671,17.7120498576334,NaN,NaN,NaN,NaN,NaN,20.5409884741896,NaN,NaN,22.1178166473798,NaN,21.850148214644,NaN,NaN,20.9778880710976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.1182247973592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
