Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,9.59328677338173,12.8629820781224,NaN,NaN,NaN,NaN,7.52421118682665,NaN,10.9789903207897,NaN,NaN,NaN,12.0344740735489,NaN,NaN,9.11286714004142,NaN,9.87245165176522,NaN,NaN,12.8438839164572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.09418027424379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,9.9101574408345,13.0820934755203,NaN,NaN,NaN,NaN,8.00396118894608,NaN,11.8305639372286,NaN,NaN,NaN,12.1117650621065,NaN,NaN,9.48836638008764,NaN,10.7712258536014,NaN,NaN,13.3828004326365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.19816897005648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,10.1376042597542,13.4307408988661,NaN,NaN,NaN,NaN,8.55196880113698,NaN,NaN,NaN,NaN,NaN,12.1629637612868,NaN,NaN,9.89656107664821,NaN,11.3218953101309,NaN,NaN,13.807621240781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.34181665450995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,10.4705693391774,13.8534561491385,NaN,NaN,NaN,NaN,9.18544407346811,NaN,NaN,NaN,NaN,NaN,12.1983192741146,NaN,NaN,10.1972710333438,NaN,11.9134645766528,NaN,NaN,13.8457721213953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.61617706150261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,10.83522651282,14.363702666858,NaN,NaN,NaN,NaN,9.91853882249313,NaN,NaN,NaN,NaN,NaN,12.2194589275906,NaN,NaN,10.7930524793159,NaN,12.4218847381964,NaN,NaN,14.0664689071578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.94100774372871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,11.2470375604478,14.8120315931314,NaN,NaN,NaN,NaN,10.3935332953257,NaN,NaN,NaN,NaN,NaN,12.3096180366977,NaN,NaN,11.0364782746783,NaN,12.8152990815663,NaN,NaN,14.1065600138011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.41259710330342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,11.6085266941042,15.3932752232155,NaN,NaN,NaN,NaN,11.1563855994282,NaN,NaN,NaN,NaN,NaN,12.5719745085146,NaN,NaN,11.4758338348375,NaN,13.214514988396,NaN,NaN,14.1783290866181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.87910246798432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,12.133163334884,15.9944098278907,24.3171933625831,NaN,NaN,NaN,12.0282517015218,NaN,NaN,NaN,NaN,NaN,12.7681155788931,NaN,NaN,11.9979212990407,NaN,13.9122596791501,NaN,NaN,14.4096255094439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4979361385742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,12.6786514872443,16.5242461965851,25.161813538313,NaN,NaN,16.3221857905691,12.9406068026383,NaN,NaN,NaN,NaN,NaN,13.020513047828,NaN,NaN,12.4455670503837,NaN,14.1667784652438,NaN,NaN,14.5832153262923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1029802235996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,13.1214543038252,17.100983529301,25.6630387947057,NaN,NaN,17.2436833651319,13.9212909544928,NaN,NaN,NaN,NaN,NaN,13.2755469257035,NaN,NaN,12.8925105056699,NaN,14.6823430211163,NaN,NaN,14.6593674595333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.8497397074822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,13.8694728428427,17.8118355522951,26.5429729171985,NaN,NaN,17.6151334177401,14.8324594263604,NaN,NaN,NaN,NaN,NaN,13.695597903493,NaN,NaN,13.3855498526179,NaN,15.2449668857529,NaN,NaN,14.8965519340945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5801192828282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,14.8286309881515,18.510606938248,26.8474913596849,NaN,NaN,18.0788115493137,16.1538793229526,NaN,NaN,NaN,NaN,NaN,13.9316551548991,NaN,NaN,13.9017424200545,NaN,15.5525972498457,NaN,NaN,14.9155644785084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.4427551706759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
